5	2226.9	0.599895
10	1877.77	0.687303
20	1490.16	0.755359
30	1256.08	0.78763
40	1093.79	0.807563
50	970.609	0.82142
60	868.273	0.831854
70	788.995	0.840079
80	725.602	0.846767
90	672.275	0.852207
100	624.549	0.857005
110	584.934	0.861165
120	550.357	0.864861
130	528.06	0.868037
140	500.525	0.871154
150	475.235	0.873835
160	469.812	0.876376
170	431.932	0.878726
180	412.9	0.880901
190	395.775	0.882827
200	394.623	0.884633
240	339.555	0.891161
280	298.384	0.896478
320	264.322	0.900841
360	236.958	0.904376
400	215.42	0.907429
500	167.54	0.913398
600	152.226	0.917449
700	127.854	0.920487
800	118.917	0.92263
900	99.9155	0.924201
1000	97.5317	0.925335
1100	86.2213	0.926154
1200	84.6031	0.926708
1300	76.4819	0.927052
1400	75.1026	0.927257
1500	68.2735	0.927373
2000	64.8675	0.927419
2500	64.8631	0.927419
