dataset,algorithm,avg,max,min,recall,knn,n_queries,num_measure_runs,avg_all,max_all,min_all,ef_search,M,ef_construction,ivf_nprobe
nytimes-16-angular,ivf_faiss,0.12037013705134235,0.13375282287597656,0.10704994201660156,0.9049399999999544,10,10000,1,0.12047035694122314,0.1621246337890625,0.09584426879882812,0,0,0,24
nytimes-16-angular,ivf_faiss,0.11084242637113015,0.12326240539550781,0.09846687316894531,0.892349999999958,10,10000,1,0.11106159687042236,0.26679039001464844,0.09059906005859375,0,0,0,22
nytimes-16-angular,ivf_faiss,0.10152470333693536,0.11301040649414062,0.09012222290039062,0.8780999999999616,10,10000,1,0.10156338214874268,0.14019012451171875,0.08273124694824219,0,0,0,20
nytimes-16-angular,ivf_faiss,0.09215540760671793,0.102996826171875,0.08130073547363281,0.8605299999999663,10,10000,1,0.09223036766052246,0.12946128845214844,0.07462501525878906,0,0,0,18
nytimes-16-angular,ivf_faiss,0.0830177621943454,0.09298324584960938,0.07319450378417969,0.8404499999999722,10,10000,1,0.0831897497177124,0.19121170043945312,0.06532669067382812,0,0,0,16
nytimes-16-angular,ivf_faiss,0.0741241000882576,0.08368492126464844,0.06461143493652344,0.8157699999999786,10,10000,1,0.07427451610565186,0.11897087097167969,0.06103515625,0,0,0,14
nytimes-16-angular,ivf_faiss,0.06452195838724535,0.07319450378417969,0.05602836608886719,0.7861399999999832,10,10000,1,0.06458282470703125,0.09918212890625,0.0514984130859375,0,0,0,12
nytimes-16-angular,ivf_faiss,0.05533530518317079,0.0629425048828125,0.0476837158203125,0.7476599999999916,10,10000,1,0.05538606643676758,0.09012222290039062,0.04291534423828125,0,0,0,10
nytimes-16-angular,ivf_faiss,0.046184618840984376,0.05316734313964844,0.03910064697265625,0.6987599999999952,10,10000,1,0.04624326229095459,0.09417533874511719,0.03409385681152344,0,0,0,8
nytimes-16-angular,ivf_faiss,0.037375546663179084,0.043392181396484375,0.031232833862304688,0.6359200000000002,10,10000,1,0.03751647472381592,0.07081031799316406,0.027179718017578125,0,0,0,6
nytimes-16-angular,ivf_faiss,0.027764813354245455,0.032901763916015625,0.022649765014648438,0.5459800000000018,10,10000,1,0.02780649662017822,0.0591278076171875,0.019788742065429688,0,0,0,4
nytimes-16-angular,ivf_faiss,0.018434807776820782,0.021696090698242188,0.0152587890625,0.40377999999999964,10,10000,1,0.018479061126708985,0.05245208740234375,0.012874603271484375,0,0,0,2
glove-50-angular,ivf_faiss,13.553565887974445,16.051054000854492,10.98322868347168,0.9991899999999987,10,10000,1,13.574775218963623,37.149906158447266,8.777379989624023,0,0,0,512
glove-50-angular,ivf_faiss,7.122424372686156,8.898258209228516,4.909753799438477,0.9944799999999939,10,10000,1,7.116559362411499,22.237062454223633,3.7620067596435547,0,0,0,256
glove-50-angular,ivf_faiss,6.263476311771779,8.097171783447266,4.171848297119141,0.9927799999999919,10,10000,1,6.260368514060974,19.438982009887695,3.2355785369873047,0,0,0,224
glove-50-angular,ivf_faiss,5.415955877587851,7.463693618774414,3.442525863647461,0.9904299999999894,10,10000,1,5.518876528739929,14.533042907714844,2.750873565673828,0,0,0,192
glove-50-angular,ivf_faiss,4.450285751419258,6.175994873046875,2.724885940551758,0.9865599999999871,10,10000,1,4.450196385383606,13.481616973876953,2.027273178100586,0,0,0,160
glove-50-angular,ivf_faiss,4.00796947290099,5.391120910644531,2.4137496948242188,0.9838399999999862,10,10000,1,4.004879426956177,5.391120910644531,1.7971992492675781,0,0,0,144
glove-50-angular,ivf_faiss,3.57035653931754,4.957914352416992,2.0978450775146484,0.9806999999999844,10,10000,1,3.570609927177429,11.483907699584961,1.5342235565185547,0,0,0,128
glove-50-angular,ivf_faiss,3.1356518258291,4.506587982177734,1.781463623046875,0.9765099999999842,10,10000,1,3.1397318601608277,10.497808456420898,1.2905597686767578,0,0,0,112
glove-50-angular,ivf_faiss,2.690088685366636,3.9865970611572266,1.4314651489257812,0.9707599999999827,10,10000,1,2.75562424659729,9.533166885375977,1.1317729949951172,0,0,0,96
glove-50-angular,ivf_faiss,2.2416621491380138,3.2782554626464844,1.1734962463378906,0.9632699999999813,10,10000,1,2.240123081207275,3.329038619995117,0.9186267852783203,0,0,0,80
