5	2883.61	0.566192
10	2540.59	0.688584
20	2143.33	0.779415
30	1885.24	0.816044
40	1694.02	0.835216
50	1545.6	0.846868
60	1435.11	0.854526
70	1343.78	0.860061
80	1266.66	0.864215
90	1199.49	0.867282
100	1137.53	0.869839
110	1081.57	0.871689
120	1031.85	0.873256
130	988.754	0.874531
140	948.467	0.87563
150	908.709	0.876559
160	880.899	0.877288
170	849.011	0.877943
180	819.958	0.87853
190	792.745	0.878992
200	771.035	0.879452
240	685.912	0.880666
280	615.148	0.881537
320	559.851	0.882124
360	514.251	0.882552
400	473.755	0.882844
500	404.195	0.883327
600	352.95	0.883623
700	312.836	0.883802
800	281.747	0.883915
900	256.307	0.883975
1000	235.654	0.88404
1100	218.189	0.884081
1200	203.336	0.884111
1300	191.917	0.884125
1400	178.961	0.884134
