dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_100k,pdx-bond,12.4444,18.7708,6.67743,1,144,0,10,1000,0.2,1,12.45,20.31,6.677,0,12.3365
instructorxl-arxiv-768_100k,pdx-bond,11.7763,17.6352,6.42566,1,128,0,10,1000,0.2,1,11.8,23.39,6.426,0,11.6862
instructorxl-arxiv-768_100k,pdx-bond,10.8517,15.9295,5.62718,1,112,0,10,1000,0.2,1,10.87,19.16,5.627,0,10.7522
instructorxl-arxiv-768_100k,pdx-bond,9.74798,14.1098,5.0474,1,96,0,10,1000,0.2,1,9.755,16.43,5.047,0,9.6414
instructorxl-arxiv-768_100k,pdx-bond,8.52232,12.746,4.42351,1,80,0,10,1000,0.2,1,8.523,13.07,4.319,0,8.41072
instructorxl-arxiv-768_100k,pdx-bond,7.23796,10.5705,3.92979,0.9994,64,0,10,1000,0.2,1,7.248,16.2,3.517,0,7.13751
instructorxl-arxiv-768_100k,pdx-bond,6.60053,9.63514,3.57444,0.999,56,0,10,1000,0.2,1,6.608,13.05,3.168,0,6.49842
instructorxl-arxiv-768_100k,pdx-bond,5.80065,8.38934,3.3088,0.9984,48,0,10,1000,0.2,1,5.798,8.792,2.606,0,5.68977
instructorxl-arxiv-768_100k,pdx-bond,5.04624,7.00352,3.00577,0.9969,40,0,10,1000,0.2,1,5.047,7.841,2.214,0,4.94128
instructorxl-arxiv-768_100k,pdx-bond,4.24149,5.79487,2.67867,0.9946,32,0,10,1000,0.2,1,4.235,6.943,1.811,0,4.13355
instructorxl-arxiv-768_100k,pdx-bond,3.85447,5.394,2.37672,0.9923,28,0,10,1000,0.2,1,3.858,6.968,1.577,0,3.75772
instructorxl-arxiv-768_100k,pdx-bond,3.64883,5.05557,2.2589,0.9904,26,0,10,1000,0.2,1,3.655,7.005,1.374,0,3.55342
instructorxl-arxiv-768_100k,pdx-bond,3.38761,4.63017,2.10215,0.9889,24,0,10,1000,0.2,1,3.393,6.687,1.262,0,3.29478
instructorxl-arxiv-768_100k,pdx-bond,3.18045,4.37952,1.9513,0.9875,22,0,10,1000,0.2,1,3.173,5.331,1.239,0,3.07649
instructorxl-arxiv-768_100k,pdx-bond,2.98116,4.24938,1.76239,0.984101,20,0,10,1000,0.2,1,3.037,6.419,1.225,0,2.94132
instructorxl-arxiv-768_100k,pdx-bond,2.79862,3.90153,1.66796,0.980701,18,0,10,1000,0.2,1,2.793,5.312,1.061,0,2.69628
instructorxl-arxiv-768_100k,pdx-bond,2.60269,3.6477,1.55665,0.975801,16,0,10,1000,0.2,1,2.594,4.938,0.9476,0,2.49987
instructorxl-arxiv-768_100k,pdx-bond,2.33751,3.27558,1.37759,0.970801,14,0,10,1000,0.2,1,2.334,4.757,0.8127,0,2.24037
instructorxl-arxiv-768_100k,pdx-bond,2.07254,2.93494,1.21143,0.960001,12,0,10,1000,0.2,1,2.069,3.478,0.6878,0,1.97643
instructorxl-arxiv-768_100k,pdx-bond,1.76127,2.5728,0.950509,0.946301,10,0,10,1000,0.2,1,1.768,4.067,0.5907,0,1.67537
instructorxl-arxiv-768_100k,pdx-bond,1.4752,2.16467,0.755071,0.924801,8,0,10,1000,0.2,1,1.479,3.625,0.4802,0,1.38821
instructorxl-arxiv-768_100k,pdx-bond,1.17135,1.81594,0.563508,0.890201,6,0,10,1000,0.2,1,1.17,1.842,0.3729,0,1.08115
instructorxl-arxiv-768_100k,pdx-bond,0.842744,1.33621,0.413642,0.821901,4,0,10,1000,0.2,1,0.8443,1.409,0.2539,0,0.755668
instructorxl-arxiv-768_100k,pdx-bond,0.481976,0.794466,0.15611,0.678,2,0,10,1000,0.2,1,0.4842,0.9496,0.1291,0,0.396612
