dataset,efsearch,recall,per_query_us,pruing_rate
instructorxl-arxiv-768_1000k,5,80.38,1003.13,0.732392
instructorxl-arxiv-768_1000k,10,89.74,1489.11,1.23891
instructorxl-arxiv-768_1000k,20,95.27,2257.79,2.01956
instructorxl-arxiv-768_1000k,30,97.04,2913.6,2.67129
instructorxl-arxiv-768_1000k,40,97.79,3501.31,3.26875
instructorxl-arxiv-768_1000k,50,98.39,4029.39,3.79196
instructorxl-arxiv-768_1000k,60,98.9,4530.12,4.30552
instructorxl-arxiv-768_1000k,70,99.13,4980.89,4.71413
instructorxl-arxiv-768_1000k,80,99.29,5397.81,5.15424
instructorxl-arxiv-768_1000k,90,99.41,5769.81,5.51583
instructorxl-arxiv-768_1000k,200,99.85,9121.11,8.69656
instructorxl-arxiv-768_100k,5,81.41,426.023,0.239042
instructorxl-arxiv-768_100k,10,90.67,561.125,0.367688
instructorxl-arxiv-768_100k,20,96.46,746.424,0.549124
instructorxl-arxiv-768_100k,30,98.17,885.442,0.684577
instructorxl-arxiv-768_100k,40,98.92,1000.22,0.796053
instructorxl-arxiv-768_100k,50,99.27,1105.04,0.897456
instructorxl-arxiv-768_100k,60,99.48,1180.82,0.96998
instructorxl-arxiv-768_100k,70,99.57,1259.46,1.04552
instructorxl-arxiv-768_10k,5,85.22,230.728,0.0672841
instructorxl-arxiv-768_10k,10,94.22,271.305,0.106746
instructorxl-arxiv-768_10k,20,98.68,306.869,0.1382
instructorxl-arxiv-768_10k,30,99.45,334.753,0.164328
instructorxl-arxiv-768_10k,40,99.72,353.232,0.185065
instructorxl-arxiv-768_1k,5,89.55,181.715,0.0269588
instructorxl-arxiv-768_1k,10,97.56,190.768,0.0355563
instructorxl-arxiv-768_1k,20,99.73,199.592,0.0438546
