dataset,efsearch,recall,per_query_us,pruing_rate
instructorxl-arxiv-768_1000k,5,80.59,1620.24,1.49582
instructorxl-arxiv-768_1000k,10,90.1,3072.02,2.95572
instructorxl-arxiv-768_1000k,20,95.11,5956.47,5.81092
instructorxl-arxiv-768_1000k,30,97.21,9100.03,10.8785
instructorxl-arxiv-768_1000k,40,98.16,11343.8,11.1124
instructorxl-arxiv-768_1000k,50,98.7,14050.1,13.8086
instructorxl-arxiv-768_1000k,60,99.01,16708.5,16.465
instructorxl-arxiv-768_1000k,70,99.26,19384.4,19.1344
instructorxl-arxiv-768_1000k,80,99.48,22004.2,21.7637
instructorxl-arxiv-768_1000k,90,99.57,24612.0,24.364
instructorxl-arxiv-768_100k,5,82.05,505.114,0.462808
instructorxl-arxiv-768_100k,10,91.15,934.628,0.892962
instructorxl-arxiv-768_100k,20,96.43,1779.23,1.72971
instructorxl-arxiv-768_100k,30,98.45,2589.24,2.53461
instructorxl-arxiv-768_100k,40,99.21,3398.78,3.33375
instructorxl-arxiv-768_100k,50,99.47,4183.58,4.11043
instructorxl-arxiv-768_100k,60,99.72,4965.95,4.88835
instructorxl-arxiv-768_10k,5,85.95,113.632,0.102291
instructorxl-arxiv-768_10k,10,94.58,207.973,0.192582
instructorxl-arxiv-768_10k,20,98.76,385.187,0.368094
instructorxl-arxiv-768_10k,30,99.64,553.615,0.537514
instructorxl-arxiv-768_1k,5,89.61,32.585,0.0302255
instructorxl-arxiv-768_1k,10,97.73,51.796,0.0478771
instructorxl-arxiv-768_1k,20,99.93,90.423,0.0886702
