5	3502.76	0.203077
10	2582.32	0.260798
20	1799.45	0.346504
30	1433.75	0.416677
40	1204.21	0.47839
50	1041.41	0.527791
60	918.063	0.570313
70	824.281	0.605453
80	753.835	0.636767
90	696.351	0.661038
100	645.008	0.684811
110	602.203	0.705696
120	564.222	0.724961
130	521.233	0.742682
140	511.313	0.757546
150	462.851	0.770969
160	444.398	0.783681
170	424.02	0.794557
180	427.829	0.804144
190	387.585	0.814246
200	371.641	0.822694
240	331.955	0.84608
280	298.081	0.85804
320	271.071	0.864962
360	247.622	0.868492
400	230.136	0.870135
500	197.112	0.871828
600	163.283	0.872059
700	155.308	0.872122
800	144.276	0.872138
900	138.183	0.872144
