dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate
sift-128-euclidean,pdx-bsa,0.562391,0.928803,0.233866,0.87605,22,8,10,10000,0.2,1,0.5694,4.562,0.2339,0
sift-128-euclidean,pdx-bsa,0.519573,0.857524,0.217724,0.863809,20,8,10,10000,0.2,1,0.5261,4.575,0.2177,0
sift-128-euclidean,pdx-bsa,0.475959,0.783365,0.207919,0.848848,18,8,10,10000,0.2,1,0.4828,4.305,0.2079,0
sift-128-euclidean,pdx-bsa,0.431363,0.712111,0.180748,0.830686,16,8,10,10000,0.2,1,0.4394,4.428,0.1807,0
sift-128-euclidean,pdx-bsa,0.386985,0.639717,0.168042,0.808858,14,8,10,10000,0.2,1,0.3953,4.134,0.168,0
sift-128-euclidean,pdx-bsa,0.341321,0.562917,0.151505,0.78153,12,8,10,10000,0.2,1,0.3505,4.132,0.1515,0
sift-128-euclidean,pdx-bsa,0.296069,0.487034,0.136164,0.746971,10,8,10,10000,0.2,1,0.3048,4.148,0.1362,0
sift-128-euclidean,pdx-bsa,0.249185,0.405583,0.11853,0.702704,8,8,10,10000,0.2,1,0.2576,4.154,0.1185,0
sift-128-euclidean,pdx-bsa,0.201858,0.3245,0.10193,0.642616,6,8,10,10000,0.2,1,0.2093,3.993,0.1019,0
sift-128-euclidean,pdx-bsa,0.153275,0.241578,0.079297,0.553337,4,8,10,10000,0.2,1,0.1591,3.965,0.0793,0
sift-128-euclidean,pdx-bsa,0.099906,0.1503,0.05534,0.404061,2,8,10,10000,0.2,1,0.1031,3.862,0.05019,0
gist-960-euclidean,pdx-bsa,28.7504,57.4474,2.38481,0.9971,512,8,10,1000,0.2,1,28.79,67.99,2.385,0
gist-960-euclidean,pdx-bsa,21.8288,44.8331,1.82974,0.993801,256,8,10,1000,0.2,1,21.9,56.91,1.83,0
gist-960-euclidean,pdx-bsa,20.323,39.0847,1.74753,0.992501,224,8,10,1000,0.2,1,20.32,39.08,1.748,0
gist-960-euclidean,pdx-bsa,18.2494,38.4328,1.32293,0.990101,192,8,10,1000,0.2,1,18.28,47.82,1.323,0
gist-960-euclidean,pdx-bsa,16.4624,32.3306,1.45347,0.985601,160,8,10,1000,0.2,1,16.48,38.79,1.453,0
gist-960-euclidean,pdx-bsa,15.7162,31.012,1.29777,0.983501,144,8,10,1000,0.2,1,15.72,31.01,1.298,0
gist-960-euclidean,pdx-bsa,14.856,27.8473,1.17685,0.981001,128,8,10,1000,0.2,1,14.86,27.85,1.177,0
gist-960-euclidean,pdx-bsa,13.7305,28.8088,1.12502,0.975401,112,8,10,1000,0.2,1,13.77,36.5,1.125,0
gist-960-euclidean,pdx-bsa,12.5044,24.4784,1.04008,0.967902,96,8,10,1000,0.2,1,12.52,28.75,1.04,0
gist-960-euclidean,pdx-bsa,11.5236,24.1563,0.977484,0.955901,80,8,10,1000,0.2,1,11.52,24.16,0.9775,0
