10	53516	0.6984	
20	38022.5	0.7864	
30	29547	0.8241	
40	24146.2	0.8461	
50	20207.9	0.8587	
60	17300.3	0.8658	
70	14582.2	0.8704	
80	13368.8	0.8741	
90	11920.1	0.8764	
100	10717.9	0.8782	
110	8978.07	0.8793	
120	8439.09	0.8816	
130	7653.01	0.8832	
140	7027.56	0.8836	
150	6495.33	0.8848	
160	5948.62	0.8853	
170	5618.28	0.8868	
180	5250.69	0.8869	
190	5094.04	0.8873	
200	4810.25	0.8878	
240	3896.8	0.8894	
280	3250.08	0.8907	
320	2911.15	0.8912	
360	2553.98	0.8921	
400	2273.65	0.8924	
500	1762.98	0.8928	
600	1504.71	0.8933	
700	1261.95	0.8935	
800	1090.64	0.8935	
900	953.112	0.894	
1000	845.589	0.8941	
1100	799.891	0.8941	
1200	727.539	0.8942	
1300	666.655	0.8942	
1400	614.705	0.8943	
1500	567.659	0.8945	
2000	412.576	0.8951	
2500	341.873	0.8953	
3000	280.721	0.8953	
3500	235.873	0.8953	
4000	203.607	0.8954	
6000	126.821	0.8955	
10000	75.8462	0.8958	
15000	45.8882	0.8959	
