dataset,efsearch,recall,per_query_us,pruing_rate
instructorxl-arxiv-768,90,98.54,6553.15,0.14
instructorxl-arxiv-768,100,98.72,7056.42,0.14
instructorxl-arxiv-768,110,98.92,7561.16,0.15
instructorxl-arxiv-768,120,99.01,8053.13,0.15
instructorxl-arxiv-768,130,99.1,8535.3,0.15
instructorxl-arxiv-768,140,99.16,8998.84,0.17
instructorxl-arxiv-768,150,99.22,9437.84,0.17
instructorxl-arxiv-768,160,99.31,9883.01,0.17
instructorxl-arxiv-768,170,99.35,10339.1,0.17
instructorxl-arxiv-768,180,99.45,10777.5,0.18
instructorxl-arxiv-768,190,99.53,11241.8,0.18
msong-420,5,80.72,620.885,0.1
msong-420,10,92.16,991.442,0.12
msong-420,20,97.37,1666.12,0.12
msong-420,30,98.78,2303.67,0.12
msong-420,40,99.25,2913.48,0.12
msong-420,50,99.44,3499.79,0.12
msong-420,60,99.56,4072.06,0.12
openai-1536-angular,5,74.76,1956.32,0.02
openai-1536-angular,10,81.49,2407.87,0.04
openai-1536-angular,20,86.65,3169.63,0.05
openai-1536-angular,30,89.15,3860.63,0.05
openai-1536-angular,40,91.01,4502.49,0.05
openai-1536-angular,50,92.46,5112.66,0.06
openai-1536-angular,60,93.33,5706.45,0.07
openai-1536-angular,70,94.26,6261.9,0.07
openai-1536-angular,80,94.74,6804.05,0.07
openai-1536-angular,90,95.26,7330.54,0.07
openai-1536-angular,100,95.62,7835.99,0.1
openai-1536-angular,110,95.92,8333.13,0.1
openai-1536-angular,120,96.29,8824.15,0.11
openai-1536-angular,130,96.52,9298.44,0.11
openai-1536-angular,140,96.77,9760.75,0.12
openai-1536-angular,150,97.05,10210.9,0.12
openai-1536-angular,160,97.25,10668.4,0.12
openai-1536-angular,170,97.48,11119.2,0.12
openai-1536-angular,180,97.65,11543.1,0.12
openai-1536-angular,190,97.75,11992.2,0.12
openai-1536-angular,200,97.91,12413.3,0.12
openai-1536-angular,240,98.26,14042.8,0.12
openai-1536-angular,280,98.49,15578.6,0.14
openai-1536-angular,320,98.73,17030.2,0.15
openai-1536-angular,360,98.9,18413.5,0.16
openai-1536-angular,400,98.99,19735.2,0.16
openai-1536-angular,500,99.23,22850.2,0.17
openai-1536-angular,600,99.39,25840.7,0.18
openai-1536-angular,700,99.49,28677.4,0.19
openai-1536-angular,800,99.55,31427.0,0.19
sift-128-euclidean,5,68.45,204.104,0.02
sift-128-euclidean,10,82.12,328.756,0.02
sift-128-euclidean,20,91.55,552.56,0.03
sift-128-euclidean,30,95.37,781.129,0.06
sift-128-euclidean,40,96.84,998.288,0.07
sift-128-euclidean,50,97.98,1212.94,0.08
sift-128-euclidean,60,98.56,1423.0,0.08
sift-128-euclidean,70,98.91,1626.61,0.08
sift-128-euclidean,80,99.14,1839.11,0.11
sift-128-euclidean,90,99.33,2040.66,0.11
sift-128-euclidean,100,99.4,2239.75,0.12
sift-128-euclidean,110,99.51,2443.64,0.12
