dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,5,84.02,1824.57,2377447328
contriever-768,10,91.25,3175.84,4344947456
contriever-768,20,95.14,5852.15,7947008864
contriever-768,30,96.68,8316.41,11228859520
contriever-768,40,97.27,10701.3,14317781312
contriever-768,50,97.75,13010.2,17248374496
contriever-768,60,97.99,15291.1,20100288032
contriever-768,70,98.23,17573.8,22905462976
contriever-768,80,98.48,19814.9,25638421472
contriever-768,90,98.63,22355.7,28301228864
contriever-768,100,98.8,24681.7,30947455680
contriever-768,110,98.94,26907.5,33567827488
contriever-768,120,99.05,28923.9,36177905984
contriever-768,130,99.17,30841.0,38757260544
contriever-768,140,99.25,33146.4,41327366976
contriever-768,150,99.31,35430.3,43857437120
contriever-768,160,99.35,37617.0,46365576480
contriever-768,170,99.44,39806.3,48881214976
contriever-768,180,99.49,41958.0,51361230784
contriever-768,190,99.53,44063.8,53812892064
deep-image-96-angular,5,10.67,293.475,159507808
deep-image-96-angular,10,11.6,379.041,312684608
deep-image-96-angular,20,12.28,545.447,611186432
deep-image-96-angular,30,12.52,696.523,898024960
deep-image-96-angular,40,12.58,853.533,1182754400
deep-image-96-angular,50,12.74,1018.33,1465139808
deep-image-96-angular,60,12.79,1168.09,1744094240
deep-image-96-angular,70,12.81,1321.76,2019289696
deep-image-96-angular,80,12.82,1470.03,2292630656
deep-image-96-angular,90,12.82,1620.38,2564702016
gist-960-euclidean,5,51.98,1723.08,1886934336
gist-960-euclidean,10,67.28,2804.34,3560322208
gist-960-euclidean,20,80.53,4884.93,6639150208
gist-960-euclidean,30,86.85,6814.03,9516686400
gist-960-euclidean,40,90.29,8677.66,12267547680
gist-960-euclidean,50,92.98,10434.9,14875198336
gist-960-euclidean,60,94.59,12118.9,17393161888
gist-960-euclidean,70,95.65,13817.6,19817768256
gist-960-euclidean,80,96.52,15457.8,22163565888
gist-960-euclidean,90,97.23,17082.7,24445765504
gist-960-euclidean,100,97.71,18665.5,26667050784
