10	9147.1	0.7534	
20	7116.78	0.8697	
30	6150.53	0.9166	
40	5422.22	0.941	
50	4854.41	0.9534	
60	4428.83	0.9612	
70	4115.7	0.9655	
80	3823.81	0.9701	
90	3594.56	0.9728	
100	3424	0.9754	
110	3216.76	0.9765	
120	3058.74	0.9776	
130	2924.52	0.9783	
140	2799.15	0.9792	
150	2694.6	0.9799	
160	2595.62	0.9802	
170	2516.57	0.9807	
180	2419.51	0.9809	
190	2340.06	0.9811	
200	2269.15	0.9816	
240	2024.8	0.9828	
280	1797.82	0.9835	
320	1642.47	0.9838	
360	1500.19	0.9838	
400	1401.35	0.9841	
500	1183.32	0.9845	
600	1015.09	0.9847	
700	904.041	0.9849	
800	809.047	0.985	
900	731.417	0.985	
1000	665.498	0.9851	
1100	616.446	0.9851	
1200	570.386	0.9852	
1300	530.576	0.9852	
1400	496.871	0.9852	
1500	427.463	0.9852	
2000	355.934	0.9852	
2500	292.061	0.9852	
3000	244.087	0.9852	
3500	208.344	0.9852	
4000	180.936	0.9852	
