dataset,method,bit,efsearch,recall,per_query_us
contriever-768,hnsw,9,10,8791.71,0.62595
contriever-768,hnsw,9,20,6442.29,0.76251
contriever-768,hnsw,9,40,4498.93,0.85182
contriever-768,hnsw,9,50,3907.05,0.8727
contriever-768,hnsw,9,60,3150.88,0.8864
contriever-768,hnsw,9,80,2849.61,0.90535
contriever-768,hnsw,9,100,2417.92,0.91756
contriever-768,hnsw,9,150,1726.41,0.93357
contriever-768,hnsw,9,170,1554.73,0.93731
contriever-768,hnsw,9,190,1412.19,0.9402
contriever-768,hnsw,9,200,1350.76,0.94171
contriever-768,hnsw,9,250,1104.73,0.947
contriever-768,hnsw,9,300,921.769,0.95084
contriever-768,hnsw,9,400,693.49,0.95738
contriever-768,hnsw,9,500,552.542,0.9603
contriever-768,hnsw,9,600,455.211,0.96257
contriever-768,hnsw,9,700,388.681,0.96432
contriever-768,hnsw,9,800,337.168,0.96567
contriever-768,hnsw,9,1000,264.362,0.96741
contriever-768,hnsw,9,1500,170.383,0.97075
contriever-768,hnsw,9,2000,123.528,0.97209
contriever-768,hnsw,9,2500,99.0523,0.97311
contriever-768,hnsw,9,3000,81.334,0.97392
deep-image-96-angular,hnsw,9,10,15073.0,0.60626
deep-image-96-angular,hnsw,9,20,10680.0,0.74397
deep-image-96-angular,hnsw,9,40,7123.31,0.85202
deep-image-96-angular,hnsw,9,50,6151.26,0.88063
deep-image-96-angular,hnsw,9,60,5455.05,0.89977
deep-image-96-angular,hnsw,9,80,4454.98,0.92418
deep-image-96-angular,hnsw,9,100,3803.15,0.93972
deep-image-96-angular,hnsw,9,150,2786.15,0.96128
deep-image-96-angular,hnsw,9,170,2537.02,0.96631
deep-image-96-angular,hnsw,9,190,2345.49,0.97015
deep-image-96-angular,hnsw,9,200,2252.47,0.97141
deep-image-96-angular,hnsw,9,250,1885.49,0.97692
deep-image-96-angular,hnsw,9,300,1614.79,0.98032
deep-image-96-angular,hnsw,9,400,1264.6,0.98444
deep-image-96-angular,hnsw,9,500,1035.41,0.98682
deep-image-96-angular,hnsw,9,600,873.564,0.98831
deep-image-96-angular,hnsw,9,700,754.24,0.98933
deep-image-96-angular,hnsw,9,800,661.896,0.98999
deep-image-96-angular,hnsw,9,1000,531.418,0.9909
deep-image-96-angular,hnsw,9,1500,350.105,0.99179
deep-image-96-angular,hnsw,9,2000,256.494,0.99234
deep-image-96-angular,hnsw,9,2500,202.324,0.99269
deep-image-96-angular,hnsw,9,3000,165.894,0.99281
gist-960-euclidean,hnsw,9,10,8053.53,0.4101
gist-960-euclidean,hnsw,9,20,5897.46,0.5398
