dataset,method,bit,efsearch,recall,per_query_us
gist-960-euclidean,hnsw,7,1300,273.403,0.9754
gist-960-euclidean,hnsw,7,1400,254.201,0.9759
gist-960-euclidean,hnsw,7,1500,237.517,0.9771
gist-960-euclidean,hnsw,7,2000,184.234,0.9786
gist-960-euclidean,hnsw,7,2500,146.141,0.9801
gist-960-euclidean,hnsw,7,3000,121.236,0.9803
gist-960-euclidean,hnsw,7,3500,108.231,0.9809
gist-960-euclidean,hnsw,7,4000,95.3287,0.981
glove-200-angular,hnsw,7,10,14051.9,0.37
glove-200-angular,hnsw,7,20,10343.7,0.48656
glove-200-angular,hnsw,7,30,8555.68,0.55062
glove-200-angular,hnsw,7,40,7398.53,0.59102
glove-200-angular,hnsw,7,50,6578.48,0.62222
glove-200-angular,hnsw,7,60,5886.56,0.64516
glove-200-angular,hnsw,7,70,5345.97,0.66312
glove-200-angular,hnsw,7,80,4910.16,0.67784
glove-200-angular,hnsw,7,90,4541.76,0.68982
glove-200-angular,hnsw,7,100,4230.91,0.70174
glove-200-angular,hnsw,7,110,3883.41,0.71163
glove-200-angular,hnsw,7,120,3658.64,0.72
glove-200-angular,hnsw,7,130,3406.8,0.7277
glove-200-angular,hnsw,7,140,3221.83,0.7342
glove-200-angular,hnsw,7,150,3060.75,0.74033
glove-200-angular,hnsw,7,160,2907.83,0.74619
glove-200-angular,hnsw,7,170,2760.4,0.75145
glove-200-angular,hnsw,7,180,2634.82,0.75583
glove-200-angular,hnsw,7,190,2518.3,0.76022
glove-200-angular,hnsw,7,200,2409.37,0.76386
glove-200-angular,hnsw,7,240,2040.86,0.7761
glove-200-angular,hnsw,7,280,1795.39,0.78563
glove-200-angular,hnsw,7,320,1576.85,0.79324
glove-200-angular,hnsw,7,360,1392.41,0.7994
glove-200-angular,hnsw,7,400,1243.8,0.80474
glove-200-angular,hnsw,7,500,999.951,0.81515
glove-200-angular,hnsw,7,600,813.174,0.82325
glove-200-angular,hnsw,7,700,675.236,0.82918
glove-200-angular,hnsw,7,800,605.833,0.83472
glove-200-angular,hnsw,7,900,530.55,0.83949
glove-200-angular,hnsw,7,1000,468.183,0.84336
glove-200-angular,hnsw,7,1100,416.38,0.84695
glove-200-angular,hnsw,7,1200,373.303,0.84942
glove-200-angular,hnsw,7,1300,356.792,0.85239
glove-200-angular,hnsw,7,1400,329.422,0.85457
glove-200-angular,hnsw,7,1500,300.493,0.85666
glove-200-angular,hnsw,7,2000,213.72,0.86532
glove-200-angular,hnsw,7,2500,166.907,0.87039
glove-200-angular,hnsw,7,3000,148.803,0.8744
glove-200-angular,hnsw,7,3500,124.508,0.87743
glove-200-angular,hnsw,7,4000,107.497,0.87945
glove-200-angular,hnsw,7,6000,73.054,0.88494
glove-200-angular,hnsw,7,10000,38.1295,0.8893
glove-200-angular,hnsw,7,15000,20.9704,0.89179
instructorxl-arxiv-768,hnsw,7,10,6078.61,0.7388
instructorxl-arxiv-768,hnsw,7,20,5155.86,0.8505
instructorxl-arxiv-768,hnsw,7,30,4660.5,0.8962
instructorxl-arxiv-768,hnsw,7,40,4271.89,0.9225
instructorxl-arxiv-768,hnsw,7,50,3853.52,0.9377
instructorxl-arxiv-768,hnsw,7,60,3608.73,0.9478
instructorxl-arxiv-768,hnsw,7,70,3437.25,0.955
instructorxl-arxiv-768,hnsw,7,80,3182.94,0.9592
instructorxl-arxiv-768,hnsw,7,90,2993.9,0.9628
instructorxl-arxiv-768,hnsw,7,100,2855.93,0.9657
instructorxl-arxiv-768,hnsw,7,110,2708.99,0.9678
instructorxl-arxiv-768,hnsw,7,120,2573.24,0.9703
instructorxl-arxiv-768,hnsw,7,130,2431.12,0.974
instructorxl-arxiv-768,hnsw,7,140,2359.34,0.9754
instructorxl-arxiv-768,hnsw,7,150,2231.64,0.9761
instructorxl-arxiv-768,hnsw,7,160,2154.59,0.9771
instructorxl-arxiv-768,hnsw,7,170,2088.05,0.9779
instructorxl-arxiv-768,hnsw,7,180,1990.35,0.9784
instructorxl-arxiv-768,hnsw,7,190,1927.51,0.9793
instructorxl-arxiv-768,hnsw,7,200,1870.52,0.9803
instructorxl-arxiv-768,hnsw,7,240,1631.77,0.9832
instructorxl-arxiv-768,hnsw,7,280,1469.71,0.9844
instructorxl-arxiv-768,hnsw,7,320,1334.42,0.9859
instructorxl-arxiv-768,hnsw,7,360,1212.85,0.9863
instructorxl-arxiv-768,hnsw,7,400,1117.29,0.9868
instructorxl-arxiv-768,hnsw,7,500,920.977,0.9875
instructorxl-arxiv-768,hnsw,7,600,778.18,0.9877
instructorxl-arxiv-768,hnsw,7,700,672.786,0.9883
instructorxl-arxiv-768,hnsw,7,800,594.304,0.9886
instructorxl-arxiv-768,hnsw,7,900,525.528,0.9886
instructorxl-arxiv-768,hnsw,7,1000,473.158,0.9886
instructorxl-arxiv-768,hnsw,7,1100,432.556,0.9886
instructorxl-arxiv-768,hnsw,7,1200,395.87,0.989
instructorxl-arxiv-768,hnsw,7,1300,364.577,0.989
instructorxl-arxiv-768,hnsw,7,1400,337.806,0.9891
instructorxl-arxiv-768,hnsw,7,1500,313.668,0.9894
instructorxl-arxiv-768,hnsw,7,2000,234.575,0.9897
instructorxl-arxiv-768,hnsw,7,2500,183.449,0.9897
instructorxl-arxiv-768,hnsw,7,3000,147.877,0.9897
instructorxl-arxiv-768,hnsw,7,3500,126.719,0.9898
instructorxl-arxiv-768,hnsw,7,4000,108.936,0.9898
msong-420,hnsw,7,10,9147.1,0.7534
msong-420,hnsw,7,20,7116.78,0.8697
msong-420,hnsw,7,30,6150.53,0.9166
msong-420,hnsw,7,40,5422.22,0.941
msong-420,hnsw,7,50,4854.41,0.9534
msong-420,hnsw,7,60,4428.83,0.9612
msong-420,hnsw,7,70,4115.7,0.9655
msong-420,hnsw,7,80,3823.81,0.9701
msong-420,hnsw,7,90,3594.56,0.9728
msong-420,hnsw,7,100,3424.0,0.9754
msong-420,hnsw,7,110,3216.76,0.9765
msong-420,hnsw,7,120,3058.74,0.9776
msong-420,hnsw,7,130,2924.52,0.9783
msong-420,hnsw,7,140,2799.15,0.9792
msong-420,hnsw,7,150,2694.6,0.9799
msong-420,hnsw,7,160,2595.62,0.9802
msong-420,hnsw,7,170,2516.57,0.9807
msong-420,hnsw,7,180,2419.51,0.9809
msong-420,hnsw,7,190,2340.06,0.9811
msong-420,hnsw,7,200,2269.15,0.9816
msong-420,hnsw,7,240,2024.8,0.9828
msong-420,hnsw,7,280,1797.82,0.9835
msong-420,hnsw,7,320,1642.47,0.9838
msong-420,hnsw,7,360,1500.19,0.9838
msong-420,hnsw,7,400,1401.35,0.9841
msong-420,hnsw,7,500,1183.32,0.9845
msong-420,hnsw,7,600,1015.09,0.9847
msong-420,hnsw,7,700,904.041,0.9849
msong-420,hnsw,7,800,809.047,0.985
msong-420,hnsw,7,900,731.417,0.985
msong-420,hnsw,7,1000,665.498,0.9851
msong-420,hnsw,7,1100,616.446,0.9851
msong-420,hnsw,7,1200,570.386,0.9852
msong-420,hnsw,7,1300,530.576,0.9852
msong-420,hnsw,7,1400,496.871,0.9852
msong-420,hnsw,7,1500,427.463,0.9852
msong-420,hnsw,7,2000,355.934,0.9852
msong-420,hnsw,7,2500,292.061,0.9852
msong-420,hnsw,7,3000,244.087,0.9852
msong-420,hnsw,7,3500,208.344,0.9852
msong-420,hnsw,7,4000,180.936,0.9852
openai-1536-angular,hnsw,7,10,3899.02,0.7606
openai-1536-angular,hnsw,7,20,3433.39,0.8637
openai-1536-angular,hnsw,7,30,3067.82,0.8953
openai-1536-angular,hnsw,7,40,2842.85,0.9212
openai-1536-angular,hnsw,7,50,2634.3,0.9354
openai-1536-angular,hnsw,7,60,2475.89,0.948
openai-1536-angular,hnsw,7,70,2320.19,0.9556
openai-1536-angular,hnsw,7,80,2186.02,0.9591
openai-1536-angular,hnsw,7,90,2097.86,0.9641
openai-1536-angular,hnsw,7,100,1978.99,0.9689
openai-1536-angular,hnsw,7,110,1887.14,0.9715
openai-1536-angular,hnsw,7,120,1798.81,0.9724
openai-1536-angular,hnsw,7,130,1727.45,0.9744
openai-1536-angular,hnsw,7,140,1642.8,0.9769
openai-1536-angular,hnsw,7,150,1588.91,0.9774
openai-1536-angular,hnsw,7,160,1522.72,0.9783
openai-1536-angular,hnsw,7,170,1465.11,0.9798
openai-1536-angular,hnsw,7,180,1421.17,0.981
openai-1536-angular,hnsw,7,190,1359.4,0.9822
openai-1536-angular,hnsw,7,200,1327.21,0.9824
openai-1536-angular,hnsw,7,240,1181.74,0.9846
openai-1536-angular,hnsw,7,280,1059.61,0.9857
openai-1536-angular,hnsw,7,320,958.18,0.9867
openai-1536-angular,hnsw,7,360,873.114,0.9878
openai-1536-angular,hnsw,7,400,803.409,0.9879
openai-1536-angular,hnsw,7,500,659.65,0.9898
openai-1536-angular,hnsw,7,600,564.75,0.9902
openai-1536-angular,hnsw,7,700,490.416,0.9906
openai-1536-angular,hnsw,7,800,431.23,0.9908
openai-1536-angular,hnsw,7,900,386.084,0.9912
openai-1536-angular,hnsw,7,1000,356.999,0.9918
openai-1536-angular,hnsw,7,1100,281.307,0.9919
openai-1536-angular,hnsw,7,1200,294.374,0.9921
openai-1536-angular,hnsw,7,1300,272.214,0.9921
openai-1536-angular,hnsw,7,1400,253.093,0.9921
openai-1536-angular,hnsw,7,1500,236.206,0.9921
openai-1536-angular,hnsw,7,2000,179.409,0.9926
openai-1536-angular,hnsw,7,2500,141.177,0.993
openai-1536-angular,hnsw,7,3000,117.949,0.9933
openai-1536-angular,hnsw,7,3500,101.131,0.9934
openai-1536-angular,hnsw,7,4000,87.8042,0.9935
sift-128-euclidean,hnsw,7,10,17137.1,0.70702
sift-128-euclidean,hnsw,7,20,12424.9,0.83477
sift-128-euclidean,hnsw,7,30,10096.7,0.88881
sift-128-euclidean,hnsw,7,40,8614.29,0.91849
sift-128-euclidean,hnsw,7,50,7540.36,0.93673
sift-128-euclidean,hnsw,7,60,6721.91,0.94872
sift-128-euclidean,hnsw,7,70,6066.23,0.95702
sift-128-euclidean,hnsw,7,80,5562.96,0.96268
sift-128-euclidean,hnsw,7,90,5140.86,0.96659
sift-128-euclidean,hnsw,7,100,4777.05,0.97031
sift-128-euclidean,hnsw,7,110,4404.62,0.97263
sift-128-euclidean,hnsw,7,120,4134.71,0.97444
sift-128-euclidean,hnsw,7,130,3859.62,0.97588
sift-128-euclidean,hnsw,7,140,3665.63,0.97694
sift-128-euclidean,hnsw,7,150,3479.08,0.97798
sift-128-euclidean,hnsw,7,160,3304.71,0.97857
sift-128-euclidean,hnsw,7,170,3158.06,0.97912
sift-128-euclidean,hnsw,7,180,3016.69,0.97976
sift-128-euclidean,hnsw,7,190,2887.15,0.98029
sift-128-euclidean,hnsw,7,200,2766.06,0.98075
sift-128-euclidean,hnsw,7,240,2406.88,0.9819
sift-128-euclidean,hnsw,7,280,2106.36,0.98264
sift-128-euclidean,hnsw,7,320,1849.06,0.9831
sift-128-euclidean,hnsw,7,360,1653.67,0.9833
sift-128-euclidean,hnsw,7,400,1479.05,0.98344
sift-128-euclidean,hnsw,7,500,1199.16,0.98376
sift-128-euclidean,hnsw,7,600,1021.96,0.98395
sift-128-euclidean,hnsw,7,700,877.857,0.98407
sift-128-euclidean,hnsw,7,800,768.421,0.98414
sift-128-euclidean,hnsw,7,900,681.842,0.98418
sift-128-euclidean,hnsw,7,1000,621.31,0.98419
sift-128-euclidean,hnsw,7,1100,567.125,0.98418
sift-128-euclidean,hnsw,7,1200,519.693,0.9842
sift-128-euclidean,hnsw,7,1300,478.398,0.9842
sift-128-euclidean,hnsw,7,1400,443.538,0.98422
sift-128-euclidean,hnsw,7,1500,412.087,0.98423
sift-128-euclidean,hnsw,7,2000,315.932,0.98424
sift-128-euclidean,hnsw,7,2500,247.021,0.98425
sift-128-euclidean,hnsw,7,3000,201.751,0.98425
sift-128-euclidean,hnsw,7,3500,178.437,0.98425
sift-128-euclidean,hnsw,7,4000,155.055,0.98425
