dataset,method,bit,efsearch,recall,per_query_us
contriever-768,ivf,9,5,2092.35,0.602897
contriever-768,ivf,9,10,1753.59,0.694092
contriever-768,ivf,9,20,1395.94,0.768256
contriever-768,ivf,9,30,1182.49,0.805143
contriever-768,ivf,9,40,1031.86,0.828706
contriever-768,ivf,9,50,914.181,0.845427
contriever-768,ivf,9,60,822.332,0.858282
contriever-768,ivf,9,70,750.99,0.868473
contriever-768,ivf,9,80,692.819,0.876834
contriever-768,ivf,9,90,643.272,0.883831
contriever-768,ivf,9,100,600.377,0.890051
contriever-768,ivf,9,110,564.106,0.895497
contriever-768,ivf,9,120,531.469,0.900248
contriever-768,ivf,9,130,504.021,0.904503
contriever-768,ivf,9,140,479.195,0.908535
contriever-768,ivf,9,150,457.286,0.912159
contriever-768,ivf,9,160,457.221,0.915534
contriever-768,ivf,9,170,417.578,0.918639
contriever-768,ivf,9,180,400.752,0.921543
contriever-768,ivf,9,190,385.424,0.9241
contriever-768,ivf,9,200,385.452,0.926648
contriever-768,ivf,9,240,333.327,0.935531
contriever-768,ivf,9,280,293.462,0.942962
contriever-768,ivf,9,320,262.154,0.949251
contriever-768,ivf,9,360,236.384,0.954562
contriever-768,ivf,9,400,214.621,0.9593
contriever-768,ivf,9,500,165.727,0.969045
contriever-768,ivf,9,600,150.452,0.976277
contriever-768,ivf,9,700,126.254,0.98205
contriever-768,ivf,9,800,118.209,0.986423
contriever-768,ivf,9,900,101.67,0.989784
contriever-768,ivf,9,1000,96.8713,0.992383
contriever-768,ivf,9,1100,84.4728,0.994222
contriever-768,ivf,9,1200,84.4903,0.995501
contriever-768,ivf,9,1300,76.2654,0.996325
contriever-768,ivf,9,1400,76.0515,0.996777
contriever-768,ivf,9,1500,67.8106,0.997012
deep-image-96-angular,ivf,9,5,2543.0,0.57647
deep-image-96-angular,ivf,9,10,2210.42,0.712536
deep-image-96-angular,ivf,9,20,1849.47,0.824804
deep-image-96-angular,ivf,9,30,1633.65,0.875502
deep-image-96-angular,ivf,9,40,1488.87,0.904545
deep-image-96-angular,ivf,9,50,1374.21,0.923347
deep-image-96-angular,ivf,9,60,1282.35,0.93633
deep-image-96-angular,ivf,9,70,1205.88,0.946059
deep-image-96-angular,ivf,9,80,1140.92,0.953635
deep-image-96-angular,ivf,9,90,1082.48,0.959365
deep-image-96-angular,ivf,9,100,1031.29,0.964153
deep-image-96-angular,ivf,9,110,984.566,0.96796
deep-image-96-angular,ivf,9,120,942.408,0.971184
deep-image-96-angular,ivf,9,130,909.584,0.973856
deep-image-96-angular,ivf,9,140,872.563,0.976168
deep-image-96-angular,ivf,9,150,840.483,0.978128
deep-image-96-angular,ivf,9,160,813.877,0.979768
deep-image-96-angular,ivf,9,170,785.927,0.98115
deep-image-96-angular,ivf,9,180,763.223,0.982456
deep-image-96-angular,ivf,9,190,740.166,0.98352
deep-image-96-angular,ivf,9,200,720.573,0.984522
deep-image-96-angular,ivf,9,240,646.754,0.987482
deep-image-96-angular,ivf,9,280,586.005,0.989585
deep-image-96-angular,ivf,9,320,538.238,0.991014
