dataset,method,bit,efsearch,recall,per_query_us
contriever-768,ivf,7,5,2010.11,0.602878
contriever-768,ivf,7,10,1691.1,0.694002
contriever-768,ivf,7,20,1356.14,0.768041
contriever-768,ivf,7,30,1155.69,0.80482
contriever-768,ivf,7,40,1014.47,0.828264
contriever-768,ivf,7,50,902.989,0.844897
contriever-768,ivf,7,60,814.877,0.857684
contriever-768,ivf,7,70,746.761,0.867787
contriever-768,ivf,7,80,689.863,0.876059
contriever-768,ivf,7,90,641.902,0.882991
contriever-768,ivf,7,100,599.518,0.889125
contriever-768,ivf,7,110,562.722,0.894517
contriever-768,ivf,7,120,530.045,0.89921
contriever-768,ivf,7,130,491.173,0.903408
contriever-768,ivf,7,140,465.255,0.907392
contriever-768,ivf,7,150,441.963,0.910961
contriever-768,ivf,7,160,442.146,0.914279
contriever-768,ivf,7,170,402.223,0.917332
contriever-768,ivf,7,180,385.316,0.920202
contriever-768,ivf,7,190,369.441,0.922729
contriever-768,ivf,7,200,373.023,0.925222
contriever-768,ivf,7,240,322.684,0.93396
contriever-768,ivf,7,280,284.393,0.941235
contriever-768,ivf,7,320,254.753,0.947402
contriever-768,ivf,7,360,230.563,0.95265
contriever-768,ivf,7,400,210.561,0.957277
contriever-768,ivf,7,500,166.269,0.966766
contriever-768,ivf,7,600,147.496,0.973748
contriever-768,ivf,7,700,121.129,0.979298
contriever-768,ivf,7,800,114.683,0.983431
contriever-768,ivf,7,900,100.104,0.986521
contriever-768,ivf,7,1000,95.8013,0.988838
contriever-768,ivf,7,1100,84.7243,0.990413
contriever-768,ivf,7,1200,81.4189,0.991474
contriever-768,ivf,7,1300,73.1437,0.992115
contriever-768,ivf,7,1400,74.4139,0.992478
contriever-768,ivf,7,1500,68.3993,0.992665
contriever-768,ivf,7,2000,64.9944,0.992766
contriever-768,ivf,7,2500,64.9822,0.992766
deep-image-96-angular,ivf,7,5,2646.92,0.576295
deep-image-96-angular,ivf,7,10,2310.43,0.712134
deep-image-96-angular,ivf,7,20,1940.99,0.82391
deep-image-96-angular,ivf,7,30,1712.12,0.874104
deep-image-96-angular,ivf,7,40,1553.07,0.902725
deep-image-96-angular,ivf,7,50,1431.05,0.921163
deep-image-96-angular,ivf,7,60,1330.67,0.933848
deep-image-96-angular,ivf,7,70,1245.08,0.943352
deep-image-96-angular,ivf,7,80,1171.82,0.95073
deep-image-96-angular,ivf,7,90,1112.53,0.956263
deep-image-96-angular,ivf,7,100,1058.64,0.960867
deep-image-96-angular,ivf,7,110,1008.59,0.964485
deep-image-96-angular,ivf,7,120,966.554,0.967566
deep-image-96-angular,ivf,7,130,927.21,0.9701
deep-image-96-angular,ivf,7,140,891.093,0.972272
deep-image-96-angular,ivf,7,150,858.513,0.974122
deep-image-96-angular,ivf,7,160,829.541,0.975662
deep-image-96-angular,ivf,7,170,801.73,0.976942
deep-image-96-angular,ivf,7,180,776.632,0.978147
deep-image-96-angular,ivf,7,190,752.435,0.979124
deep-image-96-angular,ivf,7,200,730.92,0.980035
deep-image-96-angular,ivf,7,240,657.969,0.982743
deep-image-96-angular,ivf,7,280,597.377,0.984663
