dataset,method,bit,efsearch,recall,per_query_us
instructorxl-arxiv-768,hnsw,7,170,1646.5,0.98
instructorxl-arxiv-768,hnsw,7,190,1524.48,0.9816
instructorxl-arxiv-768,hnsw,7,200,1455.72,0.9825
instructorxl-arxiv-768,hnsw,7,250,1207.06,0.9852
instructorxl-arxiv-768,hnsw,7,300,1029.85,0.9868
instructorxl-arxiv-768,hnsw,7,400,796.335,0.9873
instructorxl-arxiv-768,hnsw,7,500,650.849,0.9886
instructorxl-arxiv-768,hnsw,7,600,549.079,0.9892
instructorxl-arxiv-768,hnsw,7,700,477.567,0.9896
instructorxl-arxiv-768,hnsw,7,800,420.368,0.9896
instructorxl-arxiv-768,hnsw,7,1000,339.442,0.9899
instructorxl-arxiv-768,hnsw,7,1500,228.639,0.9902
instructorxl-arxiv-768,hnsw,7,2000,172.575,0.9902
instructorxl-arxiv-768,hnsw,7,2500,136.706,0.9905
instructorxl-arxiv-768,hnsw,7,3000,112.237,0.9905
msong-420,hnsw,7,10,16950.0,0.7537
msong-420,hnsw,7,20,12765.6,0.8646
msong-420,hnsw,7,40,8687.5,0.9371
msong-420,hnsw,7,50,7537.31,0.9501
msong-420,hnsw,7,60,6710.8,0.9576
msong-420,hnsw,7,80,5389.63,0.9659
msong-420,hnsw,7,100,4665.18,0.9705
msong-420,hnsw,7,150,3408.41,0.9763
msong-420,hnsw,7,170,3094.2,0.9773
msong-420,hnsw,7,190,2849.43,0.9779
msong-420,hnsw,7,200,2732.63,0.9782
msong-420,hnsw,7,250,2326.56,0.9792
msong-420,hnsw,7,300,1981.38,0.98
msong-420,hnsw,7,400,1546.83,0.9804
msong-420,hnsw,7,500,1285.84,0.9807
msong-420,hnsw,7,600,1083.06,0.981
msong-420,hnsw,7,700,952.995,0.981
msong-420,hnsw,7,800,835.081,0.981
msong-420,hnsw,7,1000,677.045,0.981
msong-420,hnsw,7,1500,464.38,0.9811
msong-420,hnsw,7,2000,346.997,0.9811
msong-420,hnsw,7,2500,279.969,0.9812
msong-420,hnsw,7,3000,232.105,0.9812
openai-1536-angular,hnsw,7,10,4833.0,0.7512
openai-1536-angular,hnsw,7,20,3649.11,0.8517
openai-1536-angular,hnsw,7,40,2487.0,0.918
openai-1536-angular,hnsw,7,50,2173.78,0.9361
openai-1536-angular,hnsw,7,60,1922.11,0.9476
openai-1536-angular,hnsw,7,80,1586.66,0.9587
openai-1536-angular,hnsw,7,100,1374.84,0.9679
openai-1536-angular,hnsw,7,150,1008.36,0.9782
openai-1536-angular,hnsw,7,170,912.086,0.981
openai-1536-angular,hnsw,7,190,833.804,0.982
openai-1536-angular,hnsw,7,200,800.776,0.9827
openai-1536-angular,hnsw,7,250,666.552,0.986
openai-1536-angular,hnsw,7,300,575.372,0.9868
openai-1536-angular,hnsw,7,400,449.407,0.9886
openai-1536-angular,hnsw,7,500,370.509,0.9896
openai-1536-angular,hnsw,7,600,315.453,0.9906
openai-1536-angular,hnsw,7,700,273.489,0.9913
openai-1536-angular,hnsw,7,800,241.533,0.9919
openai-1536-angular,hnsw,7,1000,198.212,0.9924
