dataset,method,bit,efsearch,recall,per_query_us
instructorxl-arxiv-768_100k,hnsw,7,1400,348.82,0.9887
instructorxl-arxiv-768_100k,hnsw,7,1500,330.35,0.9887
instructorxl-arxiv-768_100k,hnsw,7,2000,255.266,0.9888
instructorxl-arxiv-768_100k,hnsw,7,2500,213.637,0.9888
instructorxl-arxiv-768_100k,hnsw,7,3000,180.567,0.9888
instructorxl-arxiv-768_100k,hnsw,7,3500,157.388,0.9889
instructorxl-arxiv-768_100k,hnsw,7,4000,138.94,0.9889
instructorxl-arxiv-768_100k,hnsw,7,6000,97.5788,0.9889
instructorxl-arxiv-768_100k,hnsw,7,10000,58.33,0.9889
instructorxl-arxiv-768_100k,hnsw,7,15000,37.519,0.989
instructorxl-arxiv-768_10k,hnsw,7,10,15828.5,0.8358
instructorxl-arxiv-768_10k,hnsw,7,20,11714.6,0.9274
instructorxl-arxiv-768_10k,hnsw,7,30,9605.87,0.956
instructorxl-arxiv-768_10k,hnsw,7,40,8100.29,0.9717
instructorxl-arxiv-768_10k,hnsw,7,50,7081.61,0.9773
instructorxl-arxiv-768_10k,hnsw,7,60,6245.89,0.9812
instructorxl-arxiv-768_10k,hnsw,7,70,5624.88,0.9836
instructorxl-arxiv-768_10k,hnsw,7,80,5144.06,0.985
instructorxl-arxiv-768_10k,hnsw,7,90,4721.12,0.9863
instructorxl-arxiv-768_10k,hnsw,7,100,4384.23,0.9869
instructorxl-arxiv-768_10k,hnsw,7,110,3903.66,0.9871
instructorxl-arxiv-768_10k,hnsw,7,120,3641.71,0.9877
instructorxl-arxiv-768_10k,hnsw,7,130,3433.04,0.988
instructorxl-arxiv-768_10k,hnsw,7,140,3252.87,0.9881
instructorxl-arxiv-768_10k,hnsw,7,150,3095.34,0.9884
instructorxl-arxiv-768_10k,hnsw,7,160,2950.46,0.9887
instructorxl-arxiv-768_10k,hnsw,7,170,2836.13,0.9887
instructorxl-arxiv-768_10k,hnsw,7,180,2701.53,0.9887
instructorxl-arxiv-768_10k,hnsw,7,190,2588.8,0.9888
instructorxl-arxiv-768_10k,hnsw,7,200,2481.21,0.9889
instructorxl-arxiv-768_10k,hnsw,7,240,2182.08,0.9894
instructorxl-arxiv-768_10k,hnsw,7,280,1960.72,0.9894
instructorxl-arxiv-768_10k,hnsw,7,320,1788.04,0.9895
instructorxl-arxiv-768_10k,hnsw,7,360,1638.21,0.9896
instructorxl-arxiv-768_10k,hnsw,7,400,1529.98,0.9896
instructorxl-arxiv-768_10k,hnsw,7,500,1296.47,0.9896
instructorxl-arxiv-768_10k,hnsw,7,600,1147.16,0.9896
instructorxl-arxiv-768_10k,hnsw,7,700,1036.47,0.9896
instructorxl-arxiv-768_10k,hnsw,7,800,964.005,0.9896
instructorxl-arxiv-768_10k,hnsw,7,900,897.845,0.9896
instructorxl-arxiv-768_10k,hnsw,7,1000,814.215,0.9896
instructorxl-arxiv-768_10k,hnsw,7,1100,764.308,0.9896
instructorxl-arxiv-768_10k,hnsw,7,1200,716.763,0.9896
instructorxl-arxiv-768_10k,hnsw,7,1300,684.126,0.9896
instructorxl-arxiv-768_10k,hnsw,7,1400,651.06,0.9896
instructorxl-arxiv-768_10k,hnsw,7,1500,618.993,0.9896
instructorxl-arxiv-768_10k,hnsw,7,2000,511.65,0.9896
instructorxl-arxiv-768_10k,hnsw,7,2500,436.726,0.9896
instructorxl-arxiv-768_10k,hnsw,7,3000,386.524,0.9896
instructorxl-arxiv-768_10k,hnsw,7,3500,348.217,0.9896
instructorxl-arxiv-768_10k,hnsw,7,4000,318.383,0.9896
instructorxl-arxiv-768_10k,hnsw,7,6000,241.904,0.9896
instructorxl-arxiv-768_10k,hnsw,7,10000,185.321,0.9896
instructorxl-arxiv-768_10k,hnsw,7,15000,184.988,0.9896
instructorxl-arxiv-768_1k,hnsw,7,10,21198.0,0.9186
instructorxl-arxiv-768_1k,hnsw,7,20,16261.8,0.9752
instructorxl-arxiv-768_1k,hnsw,7,30,13533.7,0.9872
instructorxl-arxiv-768_1k,hnsw,7,40,11845.2,0.9911
instructorxl-arxiv-768_1k,hnsw,7,50,10577.0,0.9917
instructorxl-arxiv-768_1k,hnsw,7,60,9610.74,0.9924
instructorxl-arxiv-768_1k,hnsw,7,70,8910.3,0.9928
instructorxl-arxiv-768_1k,hnsw,7,80,8218.69,0.9931
instructorxl-arxiv-768_1k,hnsw,7,90,7708.64,0.9933
instructorxl-arxiv-768_1k,hnsw,7,100,7273.9,0.9933
instructorxl-arxiv-768_1k,hnsw,7,110,6712.64,0.9933
instructorxl-arxiv-768_1k,hnsw,7,120,6441.9,0.9933
instructorxl-arxiv-768_1k,hnsw,7,130,6144.03,0.9933
instructorxl-arxiv-768_1k,hnsw,7,140,5911.29,0.9933
instructorxl-arxiv-768_1k,hnsw,7,150,5686.37,0.9933
instructorxl-arxiv-768_1k,hnsw,7,160,5499.34,0.9934
instructorxl-arxiv-768_1k,hnsw,7,170,5309.02,0.9934
instructorxl-arxiv-768_1k,hnsw,7,180,5153.63,0.9934
instructorxl-arxiv-768_1k,hnsw,7,190,5016.67,0.9934
instructorxl-arxiv-768_1k,hnsw,7,200,4865.98,0.9934
instructorxl-arxiv-768_1k,hnsw,7,240,4397.92,0.9934
instructorxl-arxiv-768_1k,hnsw,7,280,4064.05,0.9934
instructorxl-arxiv-768_1k,hnsw,7,320,3812.47,0.9934
instructorxl-arxiv-768_1k,hnsw,7,360,3614.75,0.9934
instructorxl-arxiv-768_1k,hnsw,7,400,3446.59,0.9934
instructorxl-arxiv-768_1k,hnsw,7,500,3057.55,0.9934
instructorxl-arxiv-768_1k,hnsw,7,600,2807.38,0.9934
instructorxl-arxiv-768_1k,hnsw,7,700,2640.1,0.9934
instructorxl-arxiv-768_1k,hnsw,7,800,2519.93,0.9934
instructorxl-arxiv-768_1k,hnsw,7,900,2421.99,0.9934
instructorxl-arxiv-768_1k,hnsw,7,1000,2365.66,0.9934
instructorxl-arxiv-768_1k,hnsw,7,1100,2371.41,0.9934
instructorxl-arxiv-768_1k,hnsw,7,1200,2373.17,0.9934
instructorxl-arxiv-768_1k,hnsw,7,1300,2371.03,0.9934
instructorxl-arxiv-768_1k,hnsw,7,1400,2370.67,0.9934
instructorxl-arxiv-768_1k,hnsw,7,1500,2372.23,0.9934
instructorxl-arxiv-768_1k,hnsw,7,2000,2367.32,0.9934
instructorxl-arxiv-768_1k,hnsw,7,2500,2365.19,0.9934
instructorxl-arxiv-768_1k,hnsw,7,3000,2363.21,0.9934
instructorxl-arxiv-768_1k,hnsw,7,3500,2361.59,0.9934
instructorxl-arxiv-768_1k,hnsw,7,4000,2359.87,0.9934
instructorxl-arxiv-768_1k,hnsw,7,6000,2354.77,0.9934
instructorxl-arxiv-768_1k,hnsw,7,10000,2345.17,0.9934
instructorxl-arxiv-768_1k,hnsw,7,15000,2341.42,0.9934
