dataset,method,bit,efsearch,recall,per_query_us
glove-200-angular_1000k,hnsw,9,10,25088.7,0.36966
glove-200-angular_1000k,hnsw,9,20,17254.5,0.48971
glove-200-angular_1000k,hnsw,9,40,11248.4,0.59325
glove-200-angular_1000k,hnsw,9,50,9546.57,0.6225
glove-200-angular_1000k,hnsw,9,60,8322.95,0.64574
glove-200-angular_1000k,hnsw,9,80,6571.83,0.68
glove-200-angular_1000k,hnsw,9,100,5436.67,0.70459
glove-200-angular_1000k,hnsw,9,150,3691.94,0.7425
glove-200-angular_1000k,hnsw,9,170,3278.64,0.75384
glove-200-angular_1000k,hnsw,9,190,2871.06,0.76342
glove-200-angular_1000k,hnsw,9,200,2721.84,0.76751
glove-200-angular_1000k,hnsw,9,250,2160.62,0.78292
glove-200-angular_1000k,hnsw,9,300,1768.09,0.79466
glove-200-angular_1000k,hnsw,9,400,1270.37,0.81093
glove-200-angular_1000k,hnsw,9,500,1015.33,0.82175
glove-200-angular_1000k,hnsw,9,600,811.559,0.8298
glove-200-angular_1000k,hnsw,9,700,671.916,0.83609
glove-200-angular_1000k,hnsw,9,800,596.276,0.84096
glove-200-angular_1000k,hnsw,9,1000,458.339,0.85026
glove-200-angular_1000k,hnsw,9,1500,295.305,0.86395
glove-200-angular_1000k,hnsw,9,2000,209.175,0.87281
glove-200-angular_1000k,hnsw,9,2500,160.434,0.87815
glove-200-angular_1000k,hnsw,9,3000,141.439,0.88192
