dataset,method,bit,efsearch,recall,per_query_us
glove-200-angular_1000k,ivf,5,5,3614.31,0.206299
glove-200-angular_1000k,ivf,5,10,2644.84,0.266824
glove-200-angular_1000k,ivf,5,20,1839.05,0.357544
glove-200-angular_1000k,ivf,5,30,1466.1,0.432814
glove-200-angular_1000k,ivf,5,40,1232.31,0.499561
glove-200-angular_1000k,ivf,5,50,1067.3,0.553906
glove-200-angular_1000k,ivf,5,60,945.247,0.600906
glove-200-angular_1000k,ivf,5,70,850.146,0.640316
glove-200-angular_1000k,ivf,5,80,774.809,0.675244
glove-200-angular_1000k,ivf,5,90,713.778,0.70278
glove-200-angular_1000k,ivf,5,100,661.61,0.729682
glove-200-angular_1000k,ivf,5,110,617.653,0.753634
glove-200-angular_1000k,ivf,5,120,579.359,0.775841
glove-200-angular_1000k,ivf,5,130,543.26,0.796337
glove-200-angular_1000k,ivf,5,140,523.378,0.813843
glove-200-angular_1000k,ivf,5,150,489.285,0.829822
glove-200-angular_1000k,ivf,5,160,466.047,0.845076
glove-200-angular_1000k,ivf,5,170,444.108,0.858253
glove-200-angular_1000k,ivf,5,180,430.248,0.869964
glove-200-angular_1000k,ivf,5,190,398.054,0.88233
glove-200-angular_1000k,ivf,5,200,380.411,0.892916
glove-200-angular_1000k,ivf,5,240,323.511,0.922988
glove-200-angular_1000k,ivf,5,280,285.412,0.939462
glove-200-angular_1000k,ivf,5,320,256.51,0.949447
glove-200-angular_1000k,ivf,5,360,233.705,0.954767
glove-200-angular_1000k,ivf,5,400,216.055,0.957431
glove-200-angular_1000k,ivf,5,500,196.431,0.960036
glove-200-angular_1000k,ivf,5,600,169.632,0.960422
glove-200-angular_1000k,ivf,5,700,155.769,0.960498
glove-200-angular_1000k,ivf,5,800,136.505,0.960513
glove-200-angular_1000k,ivf,5,900,135.83,0.960521
