dataset,method,bit,efsearch,recall,per_query_us
glove-200-angular_1000k,ivf,9,5,3011.94,0.20689
glove-200-angular_1000k,ivf,9,10,2216.7,0.268018
glove-200-angular_1000k,ivf,9,20,1575.83,0.359981
glove-200-angular_1000k,ivf,9,30,1268.06,0.436623
glove-200-angular_1000k,ivf,9,40,1070.79,0.504769
glove-200-angular_1000k,ivf,9,50,936.781,0.560469
glove-200-angular_1000k,ivf,9,60,836.36,0.608658
glove-200-angular_1000k,ivf,9,70,758.471,0.649345
glove-200-angular_1000k,ivf,9,80,695.377,0.685332
glove-200-angular_1000k,ivf,9,90,642.613,0.71386
glove-200-angular_1000k,ivf,9,100,597.316,0.741763
glove-200-angular_1000k,ivf,9,110,559.958,0.766744
glove-200-angular_1000k,ivf,9,120,526.555,0.789898
glove-200-angular_1000k,ivf,9,130,478.574,0.811393
glove-200-angular_1000k,ivf,9,140,471.783,0.829735
glove-200-angular_1000k,ivf,9,150,430.447,0.846663
glove-200-angular_1000k,ivf,9,160,410.237,0.862807
glove-200-angular_1000k,ivf,9,170,394.481,0.876884
glove-200-angular_1000k,ivf,9,180,396.722,0.889527
glove-200-angular_1000k,ivf,9,190,363.183,0.902792
glove-200-angular_1000k,ivf,9,200,349.913,0.914267
glove-200-angular_1000k,ivf,9,240,304.832,0.947526
glove-200-angular_1000k,ivf,9,280,281.259,0.966768
glove-200-angular_1000k,ivf,9,320,258.244,0.979085
glove-200-angular_1000k,ivf,9,360,236.891,0.98621
glove-200-angular_1000k,ivf,9,400,219.469,0.990088
glove-200-angular_1000k,ivf,9,500,191.451,0.994112
glove-200-angular_1000k,ivf,9,600,158.948,0.994801
glove-200-angular_1000k,ivf,9,700,152.082,0.994947
glove-200-angular_1000k,ivf,9,800,138.457,0.994983
glove-200-angular_1000k,ivf,9,900,134.392,0.994997
glove-200-angular_1000k,ivf,9,1000,126.55,0.995004
