5	1809.9	0.67252
10	1580.86	0.77488
20	1302.15	0.85128
30	1128.05	0.88251
40	988.92	0.89943
50	882.747	0.91093
60	797.947	0.91795
70	728.983	0.92272
80	671.891	0.92666
90	624.793	0.92927
100	583.522	0.9313
110	547.444	0.9332
120	515.58	0.93469
130	466.082	0.93594
140	437.461	0.93702
150	437.85	0.93771
160	397.578	0.93835
170	380.021	0.93892
180	363.505	0.93944
190	366.113	0.93985
200	334.896	0.94032
240	288.323	0.94173
280	253.735	0.94247
320	227.471	0.94291
360	207.51	0.94328
400	189.923	0.94349
500	156.227	0.94392
600	132.948	0.94409
700	115.577	0.94415
800	102.481	0.94421
900	92.0124	0.94427
1000	83.4826	0.94428
1100	76.44	0.9443
1200	70.5155	0.94433
1300	65.4588	0.94434
1400	64.2298	0.94435
1500	60.2178	0.94436
2000	45.9741	0.94436
