
10	5739.38	0.58619	
20	4631	0.73709	
30	4098.13	0.80014	
40	3752.84	0.83654	
50	3483.4	0.86142	
60	3288.97	0.87742	
70	3056.19	0.88639	
80	2884.85	0.89551	
90	2721.58	0.90259	
100	2584.68	0.90885	
110	2471	0.91372	
120	2351.62	0.91682	
130	2249.77	0.92049	
140	2155.03	0.92316	
150	2072.15	0.92593	
160	1992.15	0.92859	
170	1919.66	0.93049	
180	1850.84	0.93217	
190	1790.57	0.93393	
200	1729.59	0.9353	
240	1526.9	0.94124	
280	1361.07	0.94524	
320	1227.11	0.94833	
360	1111.99	0.95053	
400	1013.61	0.95237	
500	810.457	0.95582	
600	670.627	0.95833	
700	574.379	0.96066	
800	496.347	0.96224	
900	438.247	0.96327	
1000	388.585	0.96419	
1100	345.681	0.96515	
1200	312.838	0.96571	
1300	289.793	0.96636	
1400	263.777	0.96666	
1500	242.222	0.96715	
2000	171.578	0.96879	
2500	137.535	0.96991	
3000	110.92	0.97047	
3500	92.6994	0.97124	
4000	79.3262	0.97148	
