
10	3899.02	0.7606	
20	3433.39	0.8637	
30	3067.82	0.8953	
40	2842.85	0.9212	
50	2634.3	0.9354	
60	2475.89	0.948	
70	2320.19	0.9556	
80	2186.02	0.9591	
90	2097.86	0.9641	
100	1978.99	0.9689	
110	1887.14	0.9715	
120	1798.81	0.9724	
130	1727.45	0.9744	
140	1642.8	0.9769	
150	1588.91	0.9774	
160	1522.72	0.9783	
170	1465.11	0.9798	
180	1421.17	0.981	
190	1359.4	0.9822	
200	1327.21	0.9824	
240	1181.74	0.9846	
280	1059.61	0.9857	
320	958.18	0.9867	
360	873.114	0.9878	
400	803.409	0.9879	
500	659.65	0.9898	
600	564.75	0.9902	
700	490.416	0.9906	
800	431.23	0.9908	
900	386.084	0.9912	
1000	356.999	0.9918	
1100	281.307	0.9919	
1200	294.374	0.9921	
1300	272.214	0.9921	
1400	253.093	0.9921	
1500	236.206	0.9921	
2000	179.409	0.9926	
2500	141.177	0.993	
3000	117.949	0.9933	
3500	101.131	0.9934	
4000	87.8042	0.9935	
