dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_10k,pdx-adsampling,0.222208,0.288883,0.1544,0.918201,8,2.1,10,1000,0.2,1,0.2216,0.3298,0.1414,0,0.134776
instructorxl-arxiv-768_10k,pdx-adsampling,0.195262,0.246151,0.145555,0.880701,6,2.1,10,1000,0.2,1,0.1951,0.2768,0.1334,0,0.108764
instructorxl-arxiv-768_10k,pdx-adsampling,0.16482,0.203043,0.126816,0.8089,4,2.1,10,1000,0.2,1,0.165,0.2317,0.1214,0,0.0792619
instructorxl-arxiv-768_10k,pdx-adsampling,0.128609,0.154304,0.104024,0.6488,2,2.1,10,1000,0.2,1,0.1288,0.174,0.104,0,0.0435219
instructorxl-arxiv-768_1000k,pdx-adsampling,10.6012,23.5338,2.69118,0.9995,512,2.1,10,1000,0.2,1,11.2,46.85,2.691,0,10.5973
instructorxl-arxiv-768_1000k,pdx-adsampling,6.88037,15.4816,1.80786,0.9985,256,2.1,10,1000,0.2,1,7.323,26.21,1.808,0,6.8073
instructorxl-arxiv-768_1000k,pdx-adsampling,6.37715,14.0364,1.69753,0.998,224,2.1,10,1000,0.2,1,6.639,22.61,1.698,0,6.11801
instructorxl-arxiv-768_1000k,pdx-adsampling,5.79615,12.6187,1.54994,0.9971,192,2.1,10,1000,0.2,1,6.031,20.24,1.55,0,5.53152
instructorxl-arxiv-768_1000k,pdx-adsampling,5.17485,11.3418,1.40722,0.9958,160,2.1,10,1000,0.2,1,5.396,17.3,1.407,0,4.9185
instructorxl-arxiv-768_1000k,pdx-adsampling,4.87386,10.6637,1.32816,0.9951,144,2.1,10,1000,0.2,1,5.057,16.18,1.328,0,4.5909
instructorxl-arxiv-768_1000k,pdx-adsampling,4.52787,9.81912,1.24897,0.9935,128,2.1,10,1000,0.2,1,4.704,14.84,1.249,0,4.25277
instructorxl-arxiv-768_1000k,pdx-adsampling,4.19783,9.27688,1.16436,0.9915,112,2.1,10,1000,0.2,1,4.339,18.36,1.164,0,3.90208
instructorxl-arxiv-768_1000k,pdx-adsampling,3.83215,8.43988,1.08933,0.989301,96,2.1,10,1000,0.2,1,3.949,11.58,1.089,0,3.53116
instructorxl-arxiv-768_1000k,pdx-adsampling,3.43761,7.43517,1.01774,0.986301,80,2.1,10,1000,0.2,1,3.529,9.974,1.018,0,3.13315
instructorxl-arxiv-768_1000k,pdx-adsampling,3.03304,6.48865,0.952974,0.980401,64,2.1,10,1000,0.2,1,3.092,8.542,0.953,0,2.71975
instructorxl-arxiv-768_1000k,pdx-adsampling,2.80319,5.93914,0.913754,0.978201,56,2.1,10,1000,0.2,1,2.863,10.42,0.9138,0,2.50128
