dataset,algorithm,avg,max,min,recall,ivf_nprobe,epsilon,knn,n_queries,selectivity,num_measure_runs,avg_all,max_all,min_all,false_pruning_rate,avg_distance_calculation
instructorxl-arxiv-768_10k,pdx-adsampling,0.238481,0.316032,0.162677,0.918201,8,2.1,10,1000,0.2,1,0.2376,0.3479,0.1432,0,0.150822
instructorxl-arxiv-768_10k,pdx-adsampling,0.206706,0.2674,0.146979,0.880701,6,2.1,10,1000,0.2,1,0.2062,0.2998,0.1327,0,0.121005
instructorxl-arxiv-768_10k,pdx-adsampling,0.17091,0.217819,0.123575,0.8089,4,2.1,10,1000,0.2,1,0.1714,0.4888,0.1227,0,0.0880103
instructorxl-arxiv-768_10k,pdx-adsampling,0.130806,0.1615,0.100606,0.6488,2,2.1,10,1000,0.2,1,0.1311,0.1774,0.1006,0,0.0492342
instructorxl-arxiv-768_1000k,pdx-adsampling,10.7019,23.6919,2.70795,0.9995,512,2.1,10,1000,0.2,1,11.2,41.8,2.708,0,10.5894
instructorxl-arxiv-768_1000k,pdx-adsampling,6.9517,15.3961,1.79028,0.9985,256,2.1,10,1000,0.2,1,7.327,28.19,1.79,0,6.78137
instructorxl-arxiv-768_1000k,pdx-adsampling,6.39563,14.1232,1.65999,0.998,224,2.1,10,1000,0.2,1,6.744,26.86,1.66,0,6.23347
instructorxl-arxiv-768_1000k,pdx-adsampling,5.83307,12.7319,1.51785,0.9971,192,2.1,10,1000,0.2,1,6.156,34.32,1.518,0,5.66282
instructorxl-arxiv-768_1000k,pdx-adsampling,5.25344,11.672,1.37938,0.9958,160,2.1,10,1000,0.2,1,5.512,18.92,1.379,0,5.04042
instructorxl-arxiv-768_1000k,pdx-adsampling,4.9094,10.8296,1.39908,0.9951,144,2.1,10,1000,0.2,1,5.172,30.17,1.399,0,4.71238
instructorxl-arxiv-768_1000k,pdx-adsampling,4.56465,9.92407,1.2355,0.9935,128,2.1,10,1000,0.2,1,4.817,20.63,1.235,0,4.37137
instructorxl-arxiv-768_1000k,pdx-adsampling,4.23207,9.31976,1.15436,0.9915,112,2.1,10,1000,0.2,1,4.44,25.31,1.154,0,4.0078
instructorxl-arxiv-768_1000k,pdx-adsampling,3.87367,8.61498,1.0896,0.989301,96,2.1,10,1000,0.2,1,4.049,19.81,1.09,0,3.63227
instructorxl-arxiv-768_1000k,pdx-adsampling,3.48125,7.63625,1.00372,0.986301,80,2.1,10,1000,0.2,1,3.641,21.25,1.004,0,3.24285
instructorxl-arxiv-768_1000k,pdx-adsampling,3.07448,6.61524,0.939263,0.980401,64,2.1,10,1000,0.2,1,3.177,21.55,0.9393,0,2.78936
instructorxl-arxiv-768_1000k,pdx-adsampling,2.842,5.99018,0.900767,0.978201,56,2.1,10,1000,0.2,1,2.936,17.3,0.9008,0,2.57436
instructorxl-arxiv-768_1000k,pdx-adsampling,2.59994,5.46574,0.845685,0.973101,48,2.1,10,1000,0.2,1,2.69,17.3,0.8457,0,2.34026
instructorxl-arxiv-768_1000k,pdx-adsampling,2.3553,4.89772,0.795839,0.964801,40,2.1,10,1000,0.2,1,2.42,16.64,0.7958,0,2.07907
instructorxl-arxiv-768_1000k,pdx-adsampling,2.08239,4.17772,0.726508,0.955601,32,2.1,10,1000,0.2,1,2.141,15.32,0.7265,0,1.81722
instructorxl-arxiv-768_1000k,pdx-adsampling,1.94917,3.96439,0.717871,0.947501,28,2.1,10,1000,0.2,1,1.997,15.98,0.7179,0,1.67216
instructorxl-arxiv-768_1000k,pdx-adsampling,1.86775,3.7609,0.699547,0.942801,26,2.1,10,1000,0.2,1,1.918,16.84,0.6995,0,1.60118
instructorxl-arxiv-768_1000k,pdx-adsampling,1.78872,3.58159,0.680014,0.938801,24,2.1,10,1000,0.2,1,1.825,16.5,0.68,0,1.51287
instructorxl-arxiv-768_1000k,pdx-adsampling,1.70431,3.30803,0.657475,0.933501,22,2.1,10,1000,0.2,1,1.737,15.05,0.6575,0,1.42785
instructorxl-arxiv-768_1000k,pdx-adsampling,1.62909,3.17471,0.64181,0.927401,20,2.1,10,1000,0.2,1,1.657,14.7,0.6418,0,1.3363
instructorxl-arxiv-768_1000k,pdx-adsampling,1.53541,2.99242,0.619175,0.920201,18,2.1,10,1000,0.2,1,1.574,16.15,0.6192,0,1.27222
instructorxl-arxiv-768_1000k,pdx-adsampling,1.45746,2.78916,0.603012,0.910401,16,2.1,10,1000,0.2,1,1.481,15.26,0.603,0,1.17931
instructorxl-arxiv-768_1000k,pdx-adsampling,1.36322,2.54275,0.539752,0.898401,14,2.1,10,1000,0.2,1,1.385,14.46,0.5398,0,1.06672
instructorxl-arxiv-768_1000k,pdx-adsampling,1.26496,2.33657,0.500015,0.884301,12,2.1,10,1000,0.2,1,1.287,15.01,0.5,0,0.976326
instructorxl-arxiv-768_1000k,pdx-adsampling,1.14851,2.05101,0.437977,0.8635,10,2.1,10,1000,0.2,1,1.172,15.05,0.438,0,0.87976
instructorxl-arxiv-768_1000k,pdx-adsampling,1.03219,1.76418,0.406972,0.8395,8,2.1,10,1000,0.2,1,1.057,14.86,0.407,0,0.767059
instructorxl-arxiv-768_1000k,pdx-adsampling,0.903417,1.46772,0.385798,0.801,6,2.1,10,1000,0.2,1,0.9131,6.455,0.3858,0,0.626581
instructorxl-arxiv-768_1000k,pdx-adsampling,0.755592,1.17995,0.361417,0.7369,4,2.1,10,1000,0.2,1,0.7655,6.398,0.3614,0,0.476665
instructorxl-arxiv-768_1000k,pdx-adsampling,0.567198,0.821175,0.340916,0.6015,2,2.1,10,1000,0.2,1,0.5765,6.195,0.3109,0,0.290784
instructorxl-arxiv-768_100k,pdx-adsampling,3.62548,7.61595,1.09933,0.9998,256,2.1,10,1000,0.2,1,3.794,18.95,1.099,0,3.60551
instructorxl-arxiv-768_100k,pdx-adsampling,3.52345,7.38182,1.05858,0.9998,224,2.1,10,1000,0.2,1,3.646,10.43,1.059,0,3.45464
instructorxl-arxiv-768_100k,pdx-adsampling,3.26852,6.9457,0.953794,0.9998,192,2.1,10,1000,0.2,1,3.379,9.552,0.9538,0,3.20184
instructorxl-arxiv-768_100k,pdx-adsampling,2.9714,6.30979,0.861013,0.9998,160,2.1,10,1000,0.2,1,3.086,8.312,0.861,0,2.92201
instructorxl-arxiv-768_100k,pdx-adsampling,2.83886,6.05889,0.789736,0.9997,144,2.1,10,1000,0.2,1,2.922,7.7,0.7897,0,2.7654
instructorxl-arxiv-768_100k,pdx-adsampling,2.71012,5.74629,0.750546,0.9997,128,2.1,10,1000,0.2,1,2.792,7.272,0.7505,0,2.63847
instructorxl-arxiv-768_100k,pdx-adsampling,2.53756,5.37129,0.689311,0.9997,112,2.1,10,1000,0.2,1,2.621,7.336,0.6893,0,2.4738
instructorxl-arxiv-768_100k,pdx-adsampling,2.3772,5.05142,0.654035,0.9993,96,2.1,10,1000,0.2,1,2.439,7.796,0.654,0,2.29759
instructorxl-arxiv-768_100k,pdx-adsampling,2.18174,4.63979,0.591711,0.9985,80,2.1,10,1000,0.2,1,2.227,7.162,0.5917,0,2.09152
instructorxl-arxiv-768_100k,pdx-adsampling,1.94572,4.03054,0.510031,0.9967,64,2.1,10,1000,0.2,1,1.994,5.449,0.51,0,1.8636
