dataset,method,efsearch,recall,per_query_us
msong-420,hnsw,200,2636.66,0.9557
msong-420,hnsw,250,2290.22,0.9561
msong-420,hnsw,300,1994.54,0.9567
msong-420,hnsw,400,1531.68,0.9573
msong-420,hnsw,500,1247.97,0.9576
msong-420,hnsw,600,1071.18,0.9577
msong-420,hnsw,700,944.962,0.9578
msong-420,hnsw,800,831.135,0.9578
msong-420,hnsw,1000,668.923,0.9578
msong-420,hnsw,1500,460.379,0.958
msong-420,hnsw,2000,344.942,0.958
openai-1536-angular,hnsw,10,5248.62,0.7411
openai-1536-angular,hnsw,20,3930.78,0.8477
openai-1536-angular,hnsw,40,2614.67,0.9128
openai-1536-angular,hnsw,50,2296.51,0.9276
openai-1536-angular,hnsw,60,2015.95,0.941
openai-1536-angular,hnsw,80,1664.65,0.9507
openai-1536-angular,hnsw,100,1426.67,0.9577
openai-1536-angular,hnsw,150,1042.52,0.9674
openai-1536-angular,hnsw,170,936.401,0.9695
openai-1536-angular,hnsw,190,856.458,0.9708
openai-1536-angular,hnsw,200,820.21,0.9719
openai-1536-angular,hnsw,250,683.234,0.9741
openai-1536-angular,hnsw,300,585.942,0.9759
openai-1536-angular,hnsw,400,458.704,0.9776
openai-1536-angular,hnsw,500,378.162,0.9778
openai-1536-angular,hnsw,600,321.933,0.9784
openai-1536-angular,hnsw,700,280.375,0.9791
openai-1536-angular,hnsw,800,248.445,0.9795
openai-1536-angular,hnsw,1000,203.196,0.9799
openai-1536-angular,hnsw,1500,138.741,0.9807
openai-1536-angular,hnsw,2000,106.226,0.9811
sift-128-euclidean,hnsw,10,30598.0,0.69689
sift-128-euclidean,hnsw,20,21064.1,0.8175
sift-128-euclidean,hnsw,40,13566.2,0.89134
sift-128-euclidean,hnsw,50,11544.2,0.90627
sift-128-euclidean,hnsw,60,10018.5,0.91643
sift-128-euclidean,hnsw,80,7958.07,0.92758
sift-128-euclidean,hnsw,100,6650.52,0.93345
sift-128-euclidean,hnsw,150,4536.85,0.93955
sift-128-euclidean,hnsw,170,4040.06,0.9405
sift-128-euclidean,hnsw,190,3631.64,0.94151
sift-128-euclidean,hnsw,200,3454.35,0.94188
sift-128-euclidean,hnsw,250,2804.94,0.9428
sift-128-euclidean,hnsw,300,2320.07,0.94327
sift-128-euclidean,hnsw,400,1745.76,0.9437
sift-128-euclidean,hnsw,500,1379.93,0.94393
sift-128-euclidean,hnsw,600,1149.0,0.94403
sift-128-euclidean,hnsw,700,969.62,0.94412
sift-128-euclidean,hnsw,800,835.994,0.94418
sift-128-euclidean,hnsw,1000,669.242,0.94421
sift-128-euclidean,hnsw,1500,423.177,0.94424
sift-128-euclidean,hnsw,2000,318.347,0.94425
