dataset,method,efsearch,recall,per_query_us
glove-200-angular,ivf,700,155.308,0.872122
glove-200-angular,ivf,800,144.276,0.872138
glove-200-angular,ivf,900,138.183,0.872144
instructorxl-arxiv-768,ivf,5,1809.9,0.67252
instructorxl-arxiv-768,ivf,10,1580.86,0.77488
instructorxl-arxiv-768,ivf,20,1302.15,0.85128
instructorxl-arxiv-768,ivf,30,1128.05,0.88251
instructorxl-arxiv-768,ivf,40,988.92,0.89943
instructorxl-arxiv-768,ivf,50,882.747,0.91093
instructorxl-arxiv-768,ivf,60,797.947,0.91795
instructorxl-arxiv-768,ivf,70,728.983,0.92272
instructorxl-arxiv-768,ivf,80,671.891,0.92666
instructorxl-arxiv-768,ivf,90,624.793,0.92927
instructorxl-arxiv-768,ivf,100,583.522,0.9313
instructorxl-arxiv-768,ivf,110,547.444,0.9332
instructorxl-arxiv-768,ivf,120,515.58,0.93469
instructorxl-arxiv-768,ivf,130,466.082,0.93594
instructorxl-arxiv-768,ivf,140,437.461,0.93702
instructorxl-arxiv-768,ivf,150,437.85,0.93771
instructorxl-arxiv-768,ivf,160,397.578,0.93835
instructorxl-arxiv-768,ivf,170,380.021,0.93892
instructorxl-arxiv-768,ivf,180,363.505,0.93944
instructorxl-arxiv-768,ivf,190,366.113,0.93985
instructorxl-arxiv-768,ivf,200,334.896,0.94032
instructorxl-arxiv-768,ivf,240,288.323,0.94173
instructorxl-arxiv-768,ivf,280,253.735,0.94247
instructorxl-arxiv-768,ivf,320,227.471,0.94291
instructorxl-arxiv-768,ivf,360,207.51,0.94328
instructorxl-arxiv-768,ivf,400,189.923,0.94349
instructorxl-arxiv-768,ivf,500,156.227,0.94392
instructorxl-arxiv-768,ivf,600,132.948,0.94409
instructorxl-arxiv-768,ivf,700,115.577,0.94415
instructorxl-arxiv-768,ivf,800,102.481,0.94421
instructorxl-arxiv-768,ivf,900,92.0124,0.94427
instructorxl-arxiv-768,ivf,1000,83.4826,0.94428
instructorxl-arxiv-768,ivf,1100,76.44,0.9443
instructorxl-arxiv-768,ivf,1200,70.5155,0.94433
instructorxl-arxiv-768,ivf,1300,65.4588,0.94434
instructorxl-arxiv-768,ivf,1400,64.2298,0.94435
