5	1846.53	0.37883
10	1559.1	0.52106
20	1249.47	0.67299
30	1065.65	0.75209
40	932.27	0.80125
50	834.579	0.83309
60	755.933	0.85517
70	693.17	0.87098
80	641.568	0.88307
90	596.355	0.89196
100	558.316	0.89925
110	524.656	0.90463
120	494.568	0.90873
130	447.589	0.91271
140	424.837	0.91551
150	425.318	0.91778
160	385.256	0.91919
170	368.573	0.92075
180	353.441	0.92205
190	357.919	0.92315
200	326.199	0.92413
240	283.388	0.92655
280	250.592	0.92832
320	224.383	0.92922
360	204.222	0.92976
400	187.2	0.93002
500	157.214	0.93042
600	134.114	0.93053
700	118.497	0.93059
800	106.144	0.93059
