10	6078.61	0.7388	
20	5155.86	0.8505	
30	4660.5	0.8962	
40	4271.89	0.9225	
50	3853.52	0.9377	
60	3608.73	0.9478	
70	3437.25	0.955	
80	3182.94	0.9592	
90	2993.9	0.9628	
100	2855.93	0.9657	
110	2708.99	0.9678	
120	2573.24	0.9703	
130	2431.12	0.974	
140	2359.34	0.9754	
150	2231.64	0.9761	
160	2154.59	0.9771	
170	2088.05	0.9779	
180	1990.35	0.9784	
190	1927.51	0.9793	
200	1870.52	0.9803	
240	1631.77	0.9832	
280	1469.71	0.9844	
320	1334.42	0.9859	
360	1212.85	0.9863	
400	1117.29	0.9868	
500	920.977	0.9875	
600	778.18	0.9877	
700	672.786	0.9883	
800	594.304	0.9886	
900	525.528	0.9886	
1000	473.158	0.9886	
1100	432.556	0.9886	
1200	395.87	0.989	
1300	364.577	0.989	
1400	337.806	0.9891	
1500	313.668	0.9894	
2000	234.575	0.9897	
2500	183.449	0.9897	
3000	147.877	0.9897	
3500	126.719	0.9898	
4000	108.936	0.9898	
