dataset,efsearch,recall,per_query_us,total_time,distance_time
glove-100-angular_100k,10,47.68,53.0129,0.047616,0.0425639
glove-100-angular_100k,20,60.98,74.8009,0.069404,0.0625903
glove-100-angular_100k,30,68.52,96.1949,0.090798,0.0839005
glove-100-angular_100k,40,73.43,116.882,0.111485,0.10754
glove-100-angular_100k,50,76.76,136.61,0.131213,0.127874
glove-100-angular_100k,60,79.01,159.999,0.154602,0.147352
glove-100-angular_100k,70,80.35,178.632,0.173235,0.165879
glove-100-angular_100k,80,81.79,201.988,0.196591,0.189085
glove-100-angular_100k,90,83.1,217.709,0.212312,0.204738
glove-100-angular_100k,100,83.94,236.668,0.231271,0.223697
glove-100-angular_100k,110,84.68,252.17,0.246773,0.239139
glove-100-angular_100k,120,85.21,273.586,0.268189,0.264279
glove-100-angular_100k,130,86.04,287.453,0.282056,0.278217
glove-100-angular_100k,140,86.5,312.486,0.307089,0.299168
glove-100-angular_100k,150,87.0,331.942,0.326545,0.318526
glove-100-angular_100k,160,87.34,340.359,0.334962,0.327009
glove-100-angular_100k,170,87.57,355.503,0.350106,0.34204
glove-100-angular_100k,180,87.86,368.763,0.363366,0.355328
glove-100-angular_100k,190,88.17,380.249,0.374852,0.370706
glove-100-angular_100k,200,88.39,399.845,0.394448,0.38632
glove-100-angular_100k,240,89.37,466.879,0.461482,0.453184
glove-100-angular_100k,280,90.23,525.592,0.520195,0.515706
glove-100-angular_100k,320,90.88,605.555,0.600158,0.591464
glove-100-angular_100k,360,91.36,645.031,0.639634,0.630979
glove-100-angular_100k,400,91.81,704.036,0.698639,0.689947
glove-100-angular_100k,500,92.51,833.25,0.827853,0.822994
glove-100-angular_100k,600,93.11,953.526,0.948129,0.939222
glove-100-angular_100k,700,93.44,1054.73,1.04934,1.04057
glove-100-angular_100k,800,93.75,1164.41,1.15902,1.15413
glove-100-angular_100k,900,93.93,1309.73,1.30434,1.29535
glove-100-angular_100k,1000,94.05,1377.74,1.37234,1.36351
glove-100-angular_100k,1100,94.15,1494.65,1.48925,1.48044
glove-100-angular_100k,1200,94.33,1589.91,1.58452,1.57574
glove-100-angular_100k,1300,94.4,1693.17,1.68777,1.68689
glove-100-angular_100k,1400,94.52,1773.24,1.76785,1.75903
glove-100-angular_100k,1500,94.56,1883.27,1.87787,1.86852
glove-100-angular_100k,2000,94.91,2286.46,2.28106,2.27635
glove-100-angular_100k,2500,95.1,2739.94,2.73455,2.72981
glove-100-angular_100k,3000,95.21,3084.9,3.0795,3.07079
glove-100-angular_100k,3500,95.35,3449.69,3.44429,3.43568
glove-100-angular_100k,4000,95.49,3781.4,3.776,3.76757
glove-100-angular_100k,6000,95.75,5059.21,5.05381,5.04545
glove-100-angular_100k,10000,95.96,7201.84,7.19644,7.18861
glove-100-angular_100k,15000,96.08,9546.84,9.54144,9.53388
glove-100-angular_100k,10,47.68,50.5322,0.046614,0.0413544
glove-100-angular_100k,20,60.98,71.0322,0.067114,0.0603859
glove-100-angular_100k,30,68.52,91.8352,0.087917,0.0810811
glove-100-angular_100k,40,73.43,109.489,0.105571,0.101445
glove-100-angular_100k,50,76.76,132.717,0.128799,0.121743
glove-100-angular_100k,60,79.01,148.065,0.144147,0.140829
glove-100-angular_100k,70,80.35,169.82,0.165902,0.158668
glove-100-angular_100k,80,81.79,185.837,0.181919,0.178492
glove-100-angular_100k,90,83.1,209.887,0.205969,0.198577
glove-100-angular_100k,100,83.94,224.082,0.220164,0.212793
glove-100-angular_100k,110,84.68,241.519,0.237601,0.2301
glove-100-angular_100k,120,85.21,253.917,0.249999,0.246342
glove-100-angular_100k,130,86.04,284.443,0.280525,0.272851
glove-100-angular_100k,140,86.5,293.686,0.289768,0.286034
glove-100-angular_100k,150,87.0,306.877,0.302959,0.295276
glove-100-angular_100k,160,87.34,324.179,0.320261,0.312489
glove-100-angular_100k,170,87.57,339.472,0.335554,0.327736
glove-100-angular_100k,180,87.86,355.023,0.351105,0.343243
glove-100-angular_100k,190,88.17,370.375,0.366457,0.358521
glove-100-angular_100k,200,88.39,385.876,0.381958,0.374025
glove-100-angular_100k,240,89.37,445.897,0.441979,0.433856
glove-100-angular_100k,280,90.23,510.18,0.506262,0.497989
glove-100-angular_100k,320,90.88,568.463,0.564545,0.556163
glove-100-angular_100k,360,91.36,611.904,0.607986,0.599629
glove-100-angular_100k,400,91.81,662.643,0.658725,0.654241
glove-100-angular_100k,500,92.51,789.839,0.785921,0.77738
glove-100-angular_100k,600,93.11,923.132,0.919214,0.910541
glove-100-angular_100k,700,93.44,1021.92,1.018,1.00941
glove-100-angular_100k,800,93.75,1143.02,1.1391,1.13045
glove-100-angular_100k,900,93.93,1255.56,1.25164,1.24293
glove-100-angular_100k,1000,94.05,1342.01,1.33809,1.32944
glove-100-angular_100k,1100,94.15,1448.94,1.44502,1.43626
glove-100-angular_100k,1200,94.33,1551.75,1.54783,1.53911
glove-100-angular_100k,1300,94.4,1631.16,1.62724,1.61857
glove-100-angular_100k,1400,94.52,1740.33,1.73641,1.72764
glove-100-angular_100k,1500,94.56,1837.45,1.83353,1.82471
glove-100-angular_100k,2000,94.91,2245.37,2.24145,2.23275
glove-100-angular_100k,2500,95.1,2663.59,2.65967,2.65093
glove-100-angular_100k,3000,95.21,3020.92,3.017,3.00828
glove-100-angular_100k,3500,95.35,3386.44,3.38252,3.37379
glove-100-angular_100k,4000,95.49,3719.68,3.71576,3.70709
glove-100-angular_100k,6000,95.75,4986.71,4.98279,4.98209
glove-100-angular_100k,10000,95.96,7177.9,7.17398,7.16574
glove-100-angular_100k,15000,96.08,9443.51,9.43959,9.43573
glove-200-angular_100k,10,61.89,52.5263,0.040222,0.0379482
