dataset,efsearch,recall,per_query_us,total_time,distance_time
glove-100-angular_100k,5,66.6,237.246,0.233657,0.228446
glove-100-angular_100k,10,78.17,409.676,0.406087,0.395311
glove-100-angular_100k,20,87.21,712.363,0.708774,0.687352
glove-100-angular_100k,30,91.37,965.749,0.96216,0.937528
glove-100-angular_100k,40,93.71,1200.08,1.19649,1.16139
glove-100-angular_100k,50,95.09,1403.38,1.39979,1.35967
glove-100-angular_100k,60,95.83,1581.85,1.57827,1.53635
glove-100-angular_100k,70,96.31,1763.52,1.75993,1.70758
glove-100-angular_100k,80,96.6,1912.03,1.90844,1.85057
glove-100-angular_100k,90,96.81,2053.21,2.04963,1.98955
glove-100-angular_100k,100,96.87,2176.11,2.17252,2.1068
glove-100-angular_100k,110,96.98,2284.24,2.28065,2.21433
glove-100-angular_100k,120,96.98,2400.1,2.39652,2.31634
glove-100-angular_100k,5,66.6,243.822,0.235923,0.227989
glove-100-angular_100k,10,78.17,414.005,0.406106,0.393765
glove-100-angular_100k,20,87.21,720.77,0.712871,0.692477
glove-100-angular_100k,30,91.37,978.47,0.970571,0.943678
glove-100-angular_100k,40,93.71,1200.02,1.19212,1.15876
glove-100-angular_100k,50,95.09,1405.63,1.39773,1.35958
glove-100-angular_100k,60,95.83,1599.13,1.59123,1.54714
glove-100-angular_100k,70,96.31,1764.07,1.75617,1.70623
glove-100-angular_100k,80,96.6,1918.38,1.91048,1.85525
glove-100-angular_100k,90,96.81,2071.32,2.06342,2.00145
glove-100-angular_100k,100,96.87,2175.72,2.16783,2.10383
glove-100-angular_100k,110,96.98,2298.29,2.29039,2.21936
glove-100-angular_100k,120,96.98,2453.66,2.44576,2.36723
glove-100-angular_100k,5,66.6,235.972,0.229555,0.22374
glove-100-angular_100k,10,78.17,412.532,0.406115,0.393668
glove-100-angular_100k,20,87.21,712.654,0.706237,0.685912
glove-100-angular_100k,30,91.37,964.111,0.957694,0.930878
glove-100-angular_100k,40,93.71,1191.75,1.18533,1.15212
glove-100-angular_100k,50,95.09,1420.68,1.41426,1.37781
glove-100-angular_100k,60,95.83,1574.55,1.56813,1.52448
glove-100-angular_100k,70,96.31,1753.9,1.74748,1.69766
glove-100-angular_100k,80,96.6,1890.64,1.88422,1.82891
glove-100-angular_100k,90,96.81,2045.42,2.039,1.97732
glove-100-angular_100k,100,96.87,2156.93,2.15051,2.08343
glove-100-angular_100k,110,96.98,2281.33,2.27491,2.20082
glove-100-angular_100k,120,96.98,2373.64,2.36722,2.28933
glove-200-angular_100k,5,45.32,900.833,0.884879,0.868025
glove-200-angular_100k,10,60.12,1524.98,1.50902,1.4766
glove-200-angular_100k,20,75.75,2461.9,2.44594,2.39384
glove-200-angular_100k,30,83.68,3160.82,3.14487,3.07378
glove-200-angular_100k,40,87.27,3641.96,3.62601,3.54237
glove-200-angular_100k,50,87.84,3964.5,3.94854,3.85278
glove-200-angular_100k,60,87.88,4149.72,4.13376,4.03046
glove-200-angular_100k,70,87.89,4233.73,4.21778,4.10999
glove-200-angular_100k,80,87.89,4241.6,4.22565,4.11677
glove-200-angular_100k,5,45.32,886.247,0.87104,0.854773
glove-200-angular_100k,10,60.12,1510.26,1.49505,1.46561
glove-200-angular_100k,20,75.75,2452.44,2.43723,2.39384
glove-200-angular_100k,30,83.68,3201.92,3.18671,3.11468
glove-200-angular_100k,40,87.27,3705.04,3.68983,3.60829
glove-200-angular_100k,50,87.84,4053.01,4.0378,3.94236
glove-200-angular_100k,60,87.88,4229.42,4.21421,4.10585
glove-200-angular_100k,70,87.89,4293.35,4.27815,4.17084
glove-200-angular_100k,80,87.89,4330.22,4.31502,4.20141
glove-200-angular_100k,5,45.32,894.535,0.881891,0.866868
glove-200-angular_100k,10,60.12,1533.26,1.52062,1.48947
glove-200-angular_100k,20,75.75,2456.66,2.44402,2.39596
