dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,20,94.382,11059.1,33730786400
contriever-768,40,96.784,18016.0,53779539168
contriever-768,60,97.636,23963.9,70380259872
contriever-768,80,98.069,29504.3,85377309504
contriever-768,100,98.325,34355.0,99352474656
contriever-768,120,98.507,39043.3,112617532640
contriever-768,140,98.658,43667.2,125345878976
contriever-768,160,98.779,48165.1,137643048928
contriever-768,180,98.874,52531.7,149584318048
contriever-768,200,98.952,56765.3,161150264704
contriever-768,220,99.034,60952.7,172419338816
contriever-768,240,99.084,64970.7,183439234080
contriever-768,260,99.133,68930.3,194189227712
contriever-768,280,99.191,72897.4,204691555936
contriever-768,300,99.228,76702.5,214957089216
contriever-768,320,99.27,80404.4,225017245184
deep-image-96-angular,20,88.081,2427.38,6347311392
deep-image-96-angular,40,94.084,3828.73,11477601264
deep-image-96-angular,60,96.274,5253.17,16276929624
deep-image-96-angular,80,97.416,6606.49,20860135200
deep-image-96-angular,100,98.102,7872.33,25313127960
deep-image-96-angular,120,98.534,9148.82,29645884824
deep-image-96-angular,140,98.821,10404.4,33892024464
deep-image-96-angular,160,99.036,11640.0,38061375504
deep-image-96-angular,180,99.202,12854.7,42152284416
deep-image-96-angular,200,99.31,14047.5,46204019208
deep-image-96-angular,220,99.41,15231.2,50207944320
deep-image-96-angular,240,99.474,16403.7,54166775088
deep-image-96-angular,260,99.536,17564.3,58078675704
gist-960-euclidean,20,79.46,4806.67,1321870592
gist-960-euclidean,40,89.92,6070.33,2232021216
gist-960-euclidean,60,94.08,8000.08,3047743136
gist-960-euclidean,80,96.4,9895.01,3792457152
gist-960-euclidean,100,97.76,11714.4,4496756736
gist-960-euclidean,120,98.56,13462.0,5165577280
gist-960-euclidean,140,98.95,15086.9,5801374816
gist-960-euclidean,160,99.23,16702.0,6415279008
gist-960-euclidean,180,99.42,18317.9,7013838080
gist-960-euclidean,200,99.5,19816.2,7587676096
glove-200-angular,20,64.813,17688.8,50198330032
glove-200-angular,40,80.535,32244.8,90846552136
glove-200-angular,60,87.968,45744.0,127280980896
glove-200-angular,80,91.43,58020.6,160348190080
glove-200-angular,100,92.928,68377.6,190453931792
glove-200-angular,120,93.714,78379.7,218100469608
glove-200-angular,140,94.158,87797.5,243466990176
glove-200-angular,160,94.39,96711.0,266836178408
glove-200-angular,180,94.512,104964.0,288350428112
glove-200-angular,200,94.587,113609.0,308218451576
glove-200-angular,220,94.627,119826.0,326442159840
glove-200-angular,240,94.641,126576.0,343178577936
glove-200-angular,260,94.655,134670.0,358462802888
glove-200-angular,280,94.666,138818.0,372368450192
glove-200-angular,300,94.67,143533.0,384906939400
glove-200-angular,320,94.677,148292.0,396149209376
glove-200-angular,340,94.679,152864.0,406024372904
glove-200-angular,360,94.679,155741.0,414607965120
glove-200-angular,380,94.681,158489.0,421913618232
glove-200-angular,400,94.681,161194.0,428073656296
glove-50-angular,20,84.993,1786.01,4011001024
glove-50-angular,40,91.172,3318.23,7558368932
glove-50-angular,60,93.727,4828.41,10921058656
glove-50-angular,80,95.08,6255.57,14171609714
glove-50-angular,100,95.966,7658.52,17326920326
glove-50-angular,120,96.59,9068.83,20418549766
glove-50-angular,140,97.019,10500.0,23434782236
glove-50-angular,160,97.344,11946.1,26396455090
glove-50-angular,180,97.572,13326.5,29289732618
glove-50-angular,200,97.746,14651.1,32129920320
glove-50-angular,220,97.903,15958.4,34922016854
glove-50-angular,240,98.02,17298.8,37664147908
glove-50-angular,260,98.116,18627.0,40360333772
glove-50-angular,280,98.207,19951.4,43016810500
glove-50-angular,300,98.27,21275.1,45623064518
glove-50-angular,320,98.314,22563.9,48178959070
glove-50-angular,340,98.346,23896.0,50707268868
glove-50-angular,360,98.384,25213.5,53194140266
glove-50-angular,380,98.412,26465.8,55641845546
glove-50-angular,400,98.431,27675.7,58055696782
instructorxl-arxiv-768,20,92.43,5265.42,1346626944
instructorxl-arxiv-768,40,96.19,6335.16,2299289088
instructorxl-arxiv-768,60,97.6,7807.94,3165153472
instructorxl-arxiv-768,80,98.41,9694.65,3974279616
instructorxl-arxiv-768,100,98.88,11471.7,4741631808
instructorxl-arxiv-768,120,99.23,13246.8,5482212320
instructorxl-arxiv-768,140,99.39,14909.0,6197672992
instructorxl-arxiv-768,160,99.5,16596.2,6893341216
msong-420,20,97.86,2498.37,670605896
msong-420,40,99.53,4258.1,1191186276
openai-1536-angular,20,87.13,4956.25,1098037600
openai-1536-angular,40,91.73,7376.45,1746810432
openai-1536-angular,60,94.03,7394.86,2318832064
openai-1536-angular,80,95.28,7969.91,2848109888
openai-1536-angular,100,96.13,9210.23,3345391808
openai-1536-angular,120,96.66,10413.3,3824334976
openai-1536-angular,140,97.1,11559.5,4289908352
openai-1536-angular,160,97.41,12734.2,4739029280
openai-1536-angular,180,97.67,13851.8,5181735360
openai-1536-angular,200,97.97,14913.0,5614688320
openai-1536-angular,220,98.2,16012.7,6035137472
openai-1536-angular,240,98.33,17055.1,6448114080
openai-1536-angular,260,98.4,18116.3,6854689376
openai-1536-angular,280,98.58,19175.9,7260730752
openai-1536-angular,300,98.76,20166.0,7658028576
openai-1536-angular,320,98.8,21252.8,8049803328
openai-1536-angular,340,98.93,22293.2,8438273280
openai-1536-angular,360,98.99,23261.1,8824482400
openai-1536-angular,380,99.05,24327.3,9208096736
openai-1536-angular,400,99.16,25318.4,9584850240
sift-128-euclidean,20,91.293,1600.47,4497842720
sift-128-euclidean,40,96.843,2875.01,8266208320
sift-128-euclidean,60,98.505,4093.49,11866229216
sift-128-euclidean,80,99.25,5271.88,15372667488
sift-128-euclidean,100,99.58,6409.83,18813838144
