dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,10,62.121,447.387,1782566272
contriever-768,20,77.048,614.379,2743227776
contriever-768,30,83.013,755.152,3571627136
contriever-768,40,86.211,896.136,4346437408
contriever-768,50,88.347,1027.74,5096708096
contriever-768,60,89.776,1160.08,5827862272
contriever-768,70,90.823,1287.26,6550619328
contriever-768,80,91.647,1414.5,7263041024
deep-image-96-angular,10,61.041,146.97,289507128
deep-image-96-angular,20,74.605,220.381,430349304
deep-image-96-angular,30,81.406,284.021,559744992
deep-image-96-angular,40,85.671,354.336,684707880
deep-image-96-angular,50,88.394,466.759,805969056
deep-image-96-angular,60,90.43,540.074,924798384
deep-image-96-angular,70,91.865,607.019,1041082296
deep-image-96-angular,80,93.019,639.438,1156687704
gist-960-euclidean,50,73.72,1037.68,395942528
gist-960-euclidean,100,84.83,1629.52,688707936
gist-960-euclidean,150,89.87,2179.14,962082400
gist-960-euclidean,200,92.81,2716.48,1222231680
gist-960-euclidean,250,94.56,3228.59,1472498688
gist-960-euclidean,300,95.85,3736.11,1714658464
gist-960-euclidean,350,96.7,4224.68,1949912160
gist-960-euclidean,400,97.25,4699.57,2179260128
glove-200-angular,1000,86.801,3468.07,16214140728
glove-200-angular,2000,88.655,7074.28,29232775344
glove-200-angular,3000,89.361,10512.9,41052255856
glove-200-angular,4000,89.779,13718.4,52006898584
glove-200-angular,5000,90.046,16835.0,62268291920
glove-200-angular,6000,90.226,20724.3,71959990784
glove-200-angular,7000,90.348,22735.8,81155999112
glove-200-angular,8000,90.44,25470.7,89927664304
glove-50-angular,50,79.158,241.807,433995612
glove-50-angular,100,86.506,422.144,742820298
glove-50-angular,150,89.858,592.977,1037876564
glove-50-angular,200,91.796,759.476,1324800244
glove-50-angular,50,79.158,240.448,433995612
glove-50-angular,100,86.506,418.967,742820298
glove-50-angular,150,89.858,590.669,1037876564
glove-50-angular,200,91.796,758.717,1324800244
glove-50-angular,250,93.074,922.759,1603799198
glove-50-angular,300,93.99,1084.92,1877540714
glove-50-angular,350,94.679,1243.28,2146125110
glove-50-angular,400,95.211,1403.37,2409900672
instructorxl-arxiv-768,10,73.92,475.32,102834112
instructorxl-arxiv-768,20,85.63,617.649,156786080
instructorxl-arxiv-768,30,90.52,759.881,205947648
instructorxl-arxiv-768,40,93.03,912.354,252139392
instructorxl-arxiv-768,50,94.95,1033.62,297331136
instructorxl-arxiv-768,60,96.09,1161.86,341339840
instructorxl-arxiv-768,70,96.77,1306.02,384220224
instructorxl-arxiv-768,80,97.31,1441.57,426616512
msong-420,10,75.87,175.678,51212316
msong-420,20,87.57,230.715,77204164
msong-420,30,92.79,281.945,100664072
msong-420,40,95.51,334.02,122832532
msong-420,50,96.81,386.663,143708816
msong-420,60,97.64,434.721,164027144
msong-420,70,98.16,478.136,183548232
msong-420,80,98.57,528.531,202755480
nytimes-16-angular,5,69.618,26.8673,33232140
nytimes-16-angular,10,69.618,26.3352,33232140
nytimes-16-angular,15,77.738,34.6852,41969000
nytimes-16-angular,20,82.556,41.6204,50393608
nytimes-16-angular,25,85.828,49.2754,58606496
nytimes-16-angular,30,88.238,56.9546,66736236
nytimes-16-angular,35,90.079,63.9971,74878208
nytimes-16-angular,40,91.375,71.0343,82941796
nytimes-16-angular,5,69.608,30.8406,33221580
nytimes-16-angular,10,69.608,30.0466,33221580
nytimes-16-angular,15,77.719,39.7495,41963980
nytimes-16-angular,20,82.53,47.9844,50396464
nytimes-16-angular,25,85.803,56.3044,58613696
nytimes-16-angular,30,88.217,67.4918,66752760
nytimes-16-angular,35,90.06,73.5587,74897248
nytimes-16-angular,40,91.346,82.8994,82974972
nytimes-16-angular,5,69.608,31.9665,33221580
nytimes-16-angular,10,69.608,31.0246,33221580
nytimes-16-angular,15,77.719,38.3111,41963980
nytimes-16-angular,20,82.53,49.0665,50396464
nytimes-16-angular,25,85.803,56.4334,58613696
nytimes-16-angular,30,88.217,63.9564,66752760
nytimes-16-angular,35,90.06,73.5317,74897248
nytimes-16-angular,40,91.346,81.6812,82974972
nytimes-16-angular,5,69.608,31.116,33221580
nytimes-16-angular,10,69.608,29.8578,33221580
nytimes-16-angular,15,77.719,39.9986,41963980
nytimes-16-angular,20,82.53,47.4673,50396464
nytimes-16-angular,25,85.803,56.7519,58613696
nytimes-16-angular,30,88.217,66.7199,66752760
nytimes-16-angular,35,90.06,72.5437,74897248
nytimes-16-angular,40,91.346,82.0909,82974972
openai-1536-angular,10,74.83,1130.47,181117184
openai-1536-angular,20,86.33,1367.51,279744768
openai-1536-angular,30,90.48,1594.59,366674752
openai-1536-angular,40,93.18,1827.96,450036640
openai-1536-angular,50,94.76,2018.31,528839168
openai-1536-angular,60,95.75,2224.98,605768960
openai-1536-angular,70,96.48,2412.82,681942336
openai-1536-angular,80,96.94,2641.64,755659552
sift-128-euclidean,5,71.336,80.1119,280455712
sift-128-euclidean,10,71.336,80.1979,280455712
sift-128-euclidean,15,79.414,101.477,354028768
sift-128-euclidean,20,84.177,121.15,423008192
sift-128-euclidean,25,87.453,142.022,490489408
sift-128-euclidean,30,89.849,160.641,555361824
sift-128-euclidean,35,91.704,178.666,619975328
sift-128-euclidean,40,93.036,198.289,682577632
