5	1362.44	0.69617
10	1219.16	0.77029
20	1031.66	0.82729
30	901.216	0.85618
40	799.731	0.87447
50	720.273	0.88721
60	655.995	0.89699
70	602.958	0.90471
80	558.121	0.91073
90	520.153	0.91574
100	486.583	0.91973
110	456.461	0.92304
120	430.414	0.92598
130	388.487	0.92846
140	368.492	0.93072
150	367.281	0.93294
160	333.6	0.93492
170	318.723	0.93643
180	305.098	0.9379
190	307.925	0.93949
200	281.179	0.941
240	240.852	0.94473
280	212.628	0.94741
320	190.146	0.94943
360	172.037	0.95123
400	157.651	0.95274
500	130.81	0.95547
600	111.371	0.95692
700	97.3487	0.95797
800	86.5511	0.95867
900	77.9764	0.95915
1000	71.012	0.95955
1100	65.0287	0.95981
1200	59.946	0.96002
1300	55.7131	0.96021
1400	52.2087	0.96042
1500	49.0706	0.96061
2000	40.5424	0.96092
2500	40.5482	0.96092
