dataset,efsearch,recall,per_query_us,total_time,distance_time
instructorxl-arxiv-768_1000k,10,75.56,412.544,0.194291,0.161066
instructorxl-arxiv-768_1000k,20,86.67,497.409,0.279156,0.251387
instructorxl-arxiv-768_1000k,30,90.85,554.358,0.336105,0.304733
instructorxl-arxiv-768_1000k,40,93.11,616.768,0.398515,0.375922
instructorxl-arxiv-768_1000k,50,94.63,680.194,0.461941,0.42973
instructorxl-arxiv-768_1000k,60,95.49,745.819,0.527566,0.497931
instructorxl-arxiv-768_1000k,70,95.98,803.807,0.585554,0.555477
instructorxl-arxiv-768_1000k,80,96.49,842.573,0.62432,0.587425
instructorxl-arxiv-768_1000k,90,96.87,899.729,0.681476,0.651789
instructorxl-arxiv-768_1000k,100,97.19,958.967,0.740714,0.709929
instructorxl-arxiv-768_1000k,110,97.51,1001.49,0.783237,0.749076
instructorxl-arxiv-768_1000k,120,97.71,1038.75,0.820501,0.791144
instructorxl-arxiv-768_1000k,130,97.87,1071.99,0.853733,0.825186
instructorxl-arxiv-768_1000k,140,98.03,1134.56,0.916304,0.894541
instructorxl-arxiv-768_1000k,150,98.23,1177.87,0.959616,0.929635
instructorxl-arxiv-768_1000k,160,98.45,1204.73,0.986479,0.957952
instructorxl-arxiv-768_1000k,170,98.53,1247.4,1.02915,1.0122
instructorxl-arxiv-768_1000k,180,98.69,1284.27,1.06601,1.04119
instructorxl-arxiv-768_1000k,190,98.76,1336.08,1.11783,1.08886
instructorxl-arxiv-768_1000k,200,98.81,1369.5,1.15125,1.13443
instructorxl-arxiv-768_1000k,240,99.02,1537.86,1.31961,1.29879
instructorxl-arxiv-768_1000k,280,99.22,1709.02,1.49076,1.46209
instructorxl-arxiv-768_1000k,320,99.27,1848.99,1.63074,1.6096
instructorxl-arxiv-768_1000k,360,99.36,1996.3,1.77805,1.75689
instructorxl-arxiv-768_1000k,400,99.4,2145.47,1.92722,1.91791
instructorxl-arxiv-768_1000k,500,99.54,2496.31,2.27805,2.2647
instructorxl-arxiv-768_100k,10,77.12,359.293,0.137823,0.118158
instructorxl-arxiv-768_100k,20,88.69,406.722,0.185252,0.172823
instructorxl-arxiv-768_100k,30,93.04,463.189,0.241719,0.220861
instructorxl-arxiv-768_100k,40,95.03,502.901,0.281431,0.260471
instructorxl-arxiv-768_100k,50,96.26,538.749,0.317279,0.296251
instructorxl-arxiv-768_100k,60,96.98,573.726,0.352256,0.331039
instructorxl-arxiv-768_100k,70,97.63,605.892,0.384422,0.366863
instructorxl-arxiv-768_100k,80,97.93,641.841,0.420371,0.398881
instructorxl-arxiv-768_100k,90,98.25,672.344,0.450874,0.429318
instructorxl-arxiv-768_100k,100,98.54,702.311,0.480841,0.459073
instructorxl-arxiv-768_100k,110,98.68,732.187,0.510717,0.488799
instructorxl-arxiv-768_100k,120,98.84,758.404,0.536934,0.51877
instructorxl-arxiv-768_100k,130,98.92,790.262,0.568792,0.546736
instructorxl-arxiv-768_100k,140,98.97,810.687,0.589217,0.571084
instructorxl-arxiv-768_100k,150,99.07,842.589,0.621119,0.598948
instructorxl-arxiv-768_100k,160,99.13,869.724,0.648254,0.626089
instructorxl-arxiv-768_100k,170,99.2,892.656,0.671186,0.652685
instructorxl-arxiv-768_100k,180,99.28,917.561,0.696091,0.673802
instructorxl-arxiv-768_100k,190,99.34,944.196,0.722726,0.70035
instructorxl-arxiv-768_100k,200,99.4,966.323,0.744853,0.722417
instructorxl-arxiv-768_100k,240,99.56,1066.28,0.844812,0.822062
instructorxl-arxiv-768_10k,10,84.24,298.839,0.076869,0.066355
instructorxl-arxiv-768_10k,20,93.58,328.846,0.106876,0.0956386
instructorxl-arxiv-768_10k,30,96.47,350.785,0.128815,0.117424
instructorxl-arxiv-768_10k,40,97.6,367.559,0.145589,0.134217
instructorxl-arxiv-768_10k,50,98.45,386.659,0.164689,0.153108
instructorxl-arxiv-768_10k,60,98.96,399.837,0.177867,0.166307
instructorxl-arxiv-768_10k,70,99.22,408.991,0.187021,0.175596
instructorxl-arxiv-768_10k,80,99.36,422.174,0.200204,0.188776
instructorxl-arxiv-768_10k,90,99.5,434.538,0.212568,0.20112
instructorxl-arxiv-768_1k,10,92.61,273.068,0.054019,0.0473502
instructorxl-arxiv-768_1k,20,98.08,288.329,0.06928,0.0623634
instructorxl-arxiv-768_1k,30,99.21,297.955,0.078906,0.0719795
instructorxl-arxiv-768_1k,40,99.69,301.632,0.082583,0.0795047
