dataset,efsearch,recall,per_query_us,total_time,distance_time
instructorxl-arxiv-768_1000k,5,80.61,2237.77,2.01945,1.01841
instructorxl-arxiv-768_1000k,10,89.5,2934.24,2.71592,1.72586
instructorxl-arxiv-768_1000k,20,95.2,4090.84,3.87252,2.9088
instructorxl-arxiv-768_1000k,30,97.03,5068.81,4.85049,3.86913
instructorxl-arxiv-768_1000k,40,98.02,5928.41,5.71009,4.71965
instructorxl-arxiv-768_1000k,50,98.63,7313.8,7.09548,7.44182
instructorxl-arxiv-768_1000k,60,99.07,7915.11,7.69679,7.44293
instructorxl-arxiv-768_1000k,70,99.23,8410.63,8.19231,7.12612
instructorxl-arxiv-768_1000k,80,99.46,9017.65,8.79933,7.723
instructorxl-arxiv-768_1000k,90,99.54,9588.47,9.37016,8.27701
instructorxl-arxiv-768_100k,5,81.46,920.283,0.699666,0.38613
instructorxl-arxiv-768_100k,10,90.91,1171.91,0.951288,0.634991
instructorxl-arxiv-768_100k,20,96.69,1560.92,1.3403,1.01806
instructorxl-arxiv-768_100k,30,98.3,1869.77,1.64915,1.32525
instructorxl-arxiv-768_100k,40,99.18,2131.39,1.91077,1.58094
instructorxl-arxiv-768_100k,50,99.43,2355.61,2.13499,1.80357
instructorxl-arxiv-768_100k,60,99.65,2566.7,2.34608,2.01057
instructorxl-arxiv-768_10k,5,84.78,420.385,0.199587,0.0996804
instructorxl-arxiv-768_10k,10,94.04,467.083,0.246285,0.145191
instructorxl-arxiv-768_10k,20,98.36,533.589,0.312791,0.210157
instructorxl-arxiv-768_10k,30,99.48,583.337,0.362539,0.258577
instructorxl-arxiv-768_10k,40,99.86,625.752,0.404954,0.299697
instructorxl-arxiv-768_1k,5,89.61,289.37,0.067794,0.0405
instructorxl-arxiv-768_1k,10,97.73,307.659,0.086083,0.0541678
instructorxl-arxiv-768_1k,20,99.93,324.187,0.102611,0.0702817
