10	41770.9	0.4917	
20	28229.5	0.6263	
30	21850.2	0.6945	
40	17992.6	0.7395	
50	15297.3	0.769	
60	13212.8	0.7936	
70	11498.8	0.8108	
80	10308.2	0.8259	
90	9195.66	0.8372	
100	8334.54	0.847	
110	6899.64	0.8552	
120	6332.6	0.8646	
130	5770.53	0.8696	
140	5277.22	0.8739	
150	4994.26	0.8792	
160	4692.86	0.8832	
170	4346.02	0.8883	
180	4094.69	0.8922	
190	3854.06	0.8952	
200	3634.04	0.8982	
240	2927.58	0.9086	
280	2568.3	0.9155	
320	2224.24	0.9211	
360	1951.85	0.9258	
400	1726.74	0.9286	
500	1426.99	0.9354	
600	1157.28	0.9405	
700	972.402	0.9443	
800	835.864	0.9462	
900	772.517	0.9491	
1000	698.765	0.9506	
1100	624.941	0.9522	
1200	569.612	0.9545	
1300	521.487	0.9552	
1400	482.09	0.9561	
1500	445.684	0.9573	
2000	322.668	0.9608	
2500	276.973	0.9622	
3000	229.439	0.964	
3500	193.588	0.965	
4000	167.157	0.966	
6000	105.251	0.9679	
10000	63.5383	0.9698	
15000	38.0532	0.9706	
