
10	14051.9	0.37	
20	10343.7	0.48656	
30	8555.68	0.55062	
40	7398.53	0.59102	
50	6578.48	0.62222	
60	5886.56	0.64516	
70	5345.97	0.66312	
80	4910.16	0.67784	
90	4541.76	0.68982	
100	4230.91	0.70174	
110	3883.41	0.71163	
120	3658.64	0.72	
130	3406.8	0.7277	
140	3221.83	0.7342	
150	3060.75	0.74033	
160	2907.83	0.74619	
170	2760.4	0.75145	
180	2634.82	0.75583	
190	2518.3	0.76022	
200	2409.37	0.76386	
240	2040.86	0.7761	
280	1795.39	0.78563	
320	1576.85	0.79324	
360	1392.41	0.7994	
400	1243.8	0.80474	
500	999.951	0.81515	
600	813.174	0.82325	
700	675.236	0.82918	
800	605.833	0.83472	
900	530.55	0.83949	
1000	468.183	0.84336	
1100	416.38	0.84695	
1200	373.303	0.84942	
1300	356.792	0.85239	
1400	329.422	0.85457	
1500	300.493	0.85666	
2000	213.72	0.86532	
2500	166.907	0.87039	
3000	148.803	0.8744	
3500	124.508	0.87743	
4000	107.497	0.87945	
6000	73.054	0.88494	
10000	38.1295	0.8893	
15000	20.9704	0.89179	
