
10	672.226	0.43683
20	367.411	0.53254
30	253.725	0.60115
40	193.512	0.65628
50	156.36	0.70043
60	131.171	0.73717
70	113.033	0.76672
80	99.3768	0.79323
90	88.7182	0.81443
100	80.2059	0.83435
110	73.2098	0.8502
120	67.3927	0.86603
130	62.4804	0.88041
140	58.2958	0.89206
150	54.595	0.903
160	51.3935	0.91315
170	48.4895	0.92157
180	46.04	0.92909
190	43.7925	0.9365
200	41.7617	0.94267
240	35.3029	0.9605
280	30.7093	0.96933
320	27.3691	0.9745
360	24.682	0.97717
400	22.6461	0.97873
500	18.9424	0.98016
600	16.5557	0.98051
700	14.9227	0.98058
800	13.7338	0.98064
900	12.9574	0.98068
1000	12.4057	0.9807
1100	12.1361	0.9807
