dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,5,85.21,3723.47,1171343008
contriever-768,10,91.36,4878.34,1893108128
contriever-768,20,94.81,6987.36,3166676416
contriever-768,30,96.37,8949.31,4319306048
contriever-768,40,97.04,10811.9,5394131488
contriever-768,50,97.49,12621.8,6431235072
contriever-768,60,97.89,14415.5,7452702176
contriever-768,70,98.07,16160.0,8444630272
contriever-768,80,98.32,17917.9,9443230368
contriever-768,90,98.43,19652.6,10425436192
contriever-768,100,98.61,21371.2,11400107872
contriever-768,110,98.68,23080.2,12362218336
contriever-768,120,98.78,24769.7,13315948320
contriever-768,130,98.86,26474.0,14272797056
contriever-768,140,98.95,28143.8,15220901344
contriever-768,150,99.04,29809.8,16161948160
contriever-768,160,99.12,31480.5,17100022400
contriever-768,170,99.2,33158.6,18031816096
contriever-768,180,99.3,34766.2,18956459424
contriever-768,190,99.32,36386.2,19869057088
contriever-768,200,99.38,38064.0,20786749952
contriever-768,240,99.53,44411.6,24386818624
deep-image-96-angular,5,64.5,1353.26,287832608
deep-image-96-angular,10,77.03,1662.96,519443584
deep-image-96-angular,20,87.17,2163.24,930581024
deep-image-96-angular,30,91.8,2612.4,1313680736
deep-image-96-angular,40,94.06,2973.88,1678215008
deep-image-96-angular,50,95.38,3382.48,2027741952
deep-image-96-angular,60,96.17,3777.17,2370243104
deep-image-96-angular,70,96.81,4158.38,2703358560
deep-image-96-angular,80,97.4,4530.44,3030209920
deep-image-96-angular,90,97.74,5001.2,3352089888
deep-image-96-angular,100,98.13,5472.48,3669247520
deep-image-96-angular,110,98.38,5838.62,3981521856
deep-image-96-angular,120,98.52,6209.29,4292166400
deep-image-96-angular,130,98.69,6558.65,4595327520
deep-image-96-angular,140,98.8,6899.58,4897035168
deep-image-96-angular,150,98.87,7251.91,5197880288
deep-image-96-angular,160,99.07,7593.66,5496173216
deep-image-96-angular,170,99.2,7941.88,5790853952
deep-image-96-angular,180,99.24,8283.64,6080426016
deep-image-96-angular,190,99.27,8615.84,6370428896
deep-image-96-angular,200,99.32,8935.61,6656290592
deep-image-96-angular,240,99.53,10229.5,7778487552
gist-960-euclidean,5,50.5,4057.35,931984864
gist-960-euclidean,10,65.66,4949.81,1516610208
gist-960-euclidean,20,79.09,6488.86,2457524320
gist-960-euclidean,30,86.01,7895.28,3278086304
gist-960-euclidean,40,90.11,9315.58,4025873920
gist-960-euclidean,50,92.29,10558.6,4718037312
gist-960-euclidean,60,94.08,11741.9,5369845216
gist-960-euclidean,70,95.21,12863.7,5983489824
gist-960-euclidean,80,96.11,13939.1,6576075296
gist-960-euclidean,90,96.8,14998.8,7154512128
gist-960-euclidean,100,97.23,16015.4,7708276960
gist-960-euclidean,110,97.67,16973.5,8238768448
gist-960-euclidean,120,97.97,17917.4,8765481120
gist-960-euclidean,130,98.19,18671.1,9273840448
gist-960-euclidean,140,98.37,19396.3,9768598528
gist-960-euclidean,150,98.57,20298.9,10249967616
gist-960-euclidean,160,98.69,21123.8,10722181632
gist-960-euclidean,170,98.82,21913.8,11177012288
gist-960-euclidean,180,98.94,22727.6,11626570048
gist-960-euclidean,190,99.05,23490.2,12071996512
gist-960-euclidean,200,99.2,24293.4,12511900032
gist-960-euclidean,240,99.42,27228.1,14185520480
gist-960-euclidean,280,99.56,29961.0,15752045856
glove-200-angular,5,38.84,2521.35,1718756680
glove-200-angular,10,49.31,4344.75,3136133360
glove-200-angular,20,62.92,7885.85,5835666096
glove-200-angular,30,71.49,11225.7,8359353592
glove-200-angular,40,78.07,14497.0,10780348808
glove-200-angular,50,82.71,17694.2,13140308056
glove-200-angular,60,86.05,20754.9,15387927720
glove-200-angular,70,89.0,23759.8,17592506016
glove-200-angular,80,91.01,26695.5,19738738648
glove-200-angular,90,92.8,29474.8,21782727096
glove-200-angular,100,94.36,32121.8,23767911056
glove-200-angular,110,95.95,34696.4,25705271880
glove-200-angular,120,96.97,37274.1,27585199400
glove-200-angular,130,97.95,39741.9,29387482616
glove-200-angular,140,98.46,42132.4,31152794720
glove-200-angular,150,98.94,44400.1,32850937400
glove-200-angular,160,99.29,46625.2,34481071088
glove-200-angular,170,99.5,48738.9,36046391888
instructorxl-arxiv-768,5,76.75,4315.85,780054528
instructorxl-arxiv-768,10,85.6,4976.57,1195623616
instructorxl-arxiv-768,20,91.77,6202.27,1896504384
instructorxl-arxiv-768,30,94.43,7305.05,2521246496
instructorxl-arxiv-768,40,95.88,8350.63,3108324320
instructorxl-arxiv-768,50,96.71,9338.09,3663877152
instructorxl-arxiv-768,60,97.43,10296.6,4197208576
instructorxl-arxiv-768,70,97.84,11186.5,4717415456
instructorxl-arxiv-768,80,98.29,12082.9,5226527712
instructorxl-arxiv-768,90,98.62,12960.3,5724425568
instructorxl-arxiv-768,100,98.85,13803.1,6213392416
instructorxl-arxiv-768,110,98.97,14780.4,6694245056
instructorxl-arxiv-768,120,99.12,15794.1,7170940096
instructorxl-arxiv-768,130,99.19,16307.2,7633654016
instructorxl-arxiv-768,140,99.27,17092.1,8095175616
instructorxl-arxiv-768,150,99.35,17966.4,8547490144
instructorxl-arxiv-768,160,99.38,18647.4,8998577248
instructorxl-arxiv-768,170,99.42,19417.8,9442754432
instructorxl-arxiv-768,180,99.49,20405.7,9885298336
instructorxl-arxiv-768,190,99.56,21320.1,10318743776
msong-420,5,81.35,1620.26,371491396
msong-420,10,92.12,2009.53,598686808
msong-420,20,97.48,2607.74,972172536
msong-420,30,98.81,3107.12,1303501000
msong-420,40,99.25,3562.35,1607584716
msong-420,50,99.45,3972.63,1896311220
msong-420,60,99.61,4354.98,2175007848
openai-1536-angular,5,74.65,6029.65,849946144
openai-1536-angular,10,81.14,6645.7,1209917280
openai-1536-angular,20,86.75,7689.58,1786682560
openai-1536-angular,30,89.45,8640.6,2298844160
openai-1536-angular,40,91.52,9555.87,2779821216
openai-1536-angular,50,92.66,10439.3,3240465056
openai-1536-angular,60,93.62,11292.0,3684284160
openai-1536-angular,70,94.31,12116.1,4111447584
openai-1536-angular,80,94.89,12920.1,4527485472
openai-1536-angular,90,95.25,13712.7,4938679968
openai-1536-angular,100,95.55,14495.8,5340331648
openai-1536-angular,110,95.9,15279.9,5741968128
openai-1536-angular,120,96.27,16036.7,6133079264
openai-1536-angular,130,96.48,16802.8,6524134080
openai-1536-angular,140,96.7,17546.3,6907590752
openai-1536-angular,150,96.98,18278.9,7285139872
openai-1536-angular,160,97.3,19019.3,7662991008
openai-1536-angular,170,97.46,19718.6,8035679936
openai-1536-angular,180,97.6,20408.2,8404433248
openai-1536-angular,190,97.73,21116.7,8771201824
openai-1536-angular,200,97.91,21827.0,9136452224
openai-1536-angular,240,98.32,24622.3,10575655904
openai-1536-angular,280,98.65,27333.0,11973543776
openai-1536-angular,320,98.86,29968.5,13338699392
openai-1536-angular,360,98.99,32566.3,14683691264
openai-1536-angular,400,99.17,35147.1,16015662720
openai-1536-angular,500,99.39,41389.1,19256940960
openai-1536-angular,600,99.53,47492.4,22428014848
sift-128-euclidean,5,68.82,450.769,185278656
sift-128-euclidean,10,82.22,697.271,323307072
sift-128-euclidean,20,92.08,1034.73,569204480
sift-128-euclidean,30,95.54,1259.65,796210240
sift-128-euclidean,40,97.37,1486.47,1009050432
sift-128-euclidean,50,98.23,1734.31,1216141728
sift-128-euclidean,60,98.72,1984.94,1419311392
sift-128-euclidean,70,99.14,2210.26,1616241088
sift-128-euclidean,80,99.4,2442.22,1810215264
sift-128-euclidean,90,99.56,2659.4,2000665088
