10	17137.1	0.70702	
20	12424.9	0.83477	
30	10096.7	0.88881	
40	8614.29	0.91849	
50	7540.36	0.93673	
60	6721.91	0.94872	
70	6066.23	0.95702	
80	5562.96	0.96268	
90	5140.86	0.96659	
100	4777.05	0.97031	
110	4404.62	0.97263	
120	4134.71	0.97444	
130	3859.62	0.97588	
140	3665.63	0.97694	
150	3479.08	0.97798	
160	3304.71	0.97857	
170	3158.06	0.97912	
180	3016.69	0.97976	
190	2887.15	0.98029	
200	2766.06	0.98075	
240	2406.88	0.9819	
280	2106.36	0.98264	
320	1849.06	0.9831	
360	1653.67	0.9833	
400	1479.05	0.98344	
500	1199.16	0.98376	
600	1021.96	0.98395	
700	877.857	0.98407	
800	768.421	0.98414	
900	681.842	0.98418	
1000	621.31	0.98419	
1100	567.125	0.98418	
1200	519.693	0.9842	
1300	478.398	0.9842	
1400	443.538	0.98422	
1500	412.087	0.98423	
2000	315.932	0.98424	
2500	247.021	0.98425	
3000	201.751	0.98425	
3500	178.437	0.98425	
4000	155.055	0.98425	
