dataset,efsearch,recall,per_query_us,total_time,distance_time
gist-960-euclidean,190,92.21,1614.9,1.44089,1.43647
gist-960-euclidean,200,92.53,1655.43,1.48142,1.48133
gist-960-euclidean,240,93.58,1844.13,1.67012,1.70964
gist-960-euclidean,280,94.48,2052.8,1.87879,1.88645
gist-960-euclidean,320,95.25,2173.54,1.99953,2.03901
gist-960-euclidean,360,95.86,2377.6,2.20359,2.21123
gist-960-euclidean,400,96.29,2504.79,2.33078,2.34244
gist-960-euclidean,500,97.09,2914.21,2.7402,2.77971
gist-960-euclidean,600,97.71,3249.48,3.07547,3.05947
gist-960-euclidean,700,98.11,3608.43,3.43442,3.41818
gist-960-euclidean,800,98.39,3948.95,3.77494,3.75092
gist-960-euclidean,900,98.62,4231.24,4.05723,4.03346
gist-960-euclidean,1000,98.83,4540.74,4.36673,4.34698
gist-960-euclidean,1100,98.96,4835.95,4.66194,4.65012
gist-960-euclidean,1200,99.11,5126.43,4.95242,4.93273
gist-960-euclidean,1300,99.15,5412.99,5.23898,5.22335
gist-960-euclidean,1400,99.26,5700.28,5.52627,5.49868
gist-960-euclidean,1500,99.32,5953.23,5.77922,5.7557
gist-960-euclidean,2000,99.5,7243.41,7.0694,7.04613
glove-200-angular,10,34.921,80.1153,0.71494,0.629514
glove-200-angular,20,46.112,120.487,1.11866,1.03456
glove-200-angular,30,52.623,157.245,1.48624,1.40606
glove-200-angular,40,57.095,191.67,1.83048,1.75911
glove-200-angular,50,60.187,225.634,2.17013,2.09602
glove-200-angular,60,62.657,259.421,2.508,2.42432
glove-200-angular,70,64.551,294.167,2.85545,2.77525
glove-200-angular,80,66.171,326.05,3.17429,3.08817
glove-200-angular,90,67.418,357.027,3.48405,3.41132
glove-200-angular,100,68.541,389.418,3.80797,3.72215
glove-200-angular,110,69.573,419.477,4.10856,4.03684
glove-200-angular,120,70.451,448.495,4.39874,4.33429
glove-200-angular,130,71.14,476.85,4.68229,4.63233
glove-200-angular,140,71.787,506.432,4.9781,4.92349
glove-200-angular,150,72.455,536.767,5.28145,5.21779
glove-200-angular,160,73.02,562.348,5.53726,5.48238
glove-200-angular,170,73.567,587.398,5.78776,5.74179
glove-200-angular,180,74.065,615.805,6.07184,6.02952
glove-200-angular,190,74.51,642.638,6.34017,6.29358
glove-200-angular,200,74.918,670.874,6.62253,6.59154
glove-200-angular,240,76.265,783.476,7.74855,7.70054
glove-200-angular,280,77.263,889.447,8.80825,8.78218
glove-200-angular,320,78.005,992.985,9.84363,9.82905
glove-200-angular,360,78.712,1093.43,10.8481,10.853
glove-200-angular,400,79.247,1195.59,11.8697,11.8781
glove-200-angular,500,80.31,1441.46,14.3284,14.3558
glove-200-angular,600,81.048,1674.53,16.6591,16.714
glove-200-angular,700,81.62,1900.5,18.9188,18.994
glove-200-angular,800,82.082,2121.42,21.128,21.2235
glove-200-angular,900,82.45,2338.17,23.2955,23.4257
glove-200-angular,1000,82.775,2550.39,25.4177,25.5674
glove-200-angular,1100,82.99,2751.26,27.4264,27.6047
glove-200-angular,1200,83.213,2952.15,29.4353,29.6178
glove-200-angular,1300,83.386,3146.59,31.3797,31.5782
glove-200-angular,1400,83.522,3336.8,33.2818,33.5044
glove-200-angular,1500,83.667,3498.01,34.8939,34.8122
glove-200-angular,2000,84.277,4387.91,43.7929,43.7232
glove-200-angular,2500,84.603,5209.55,52.0093,51.92
glove-200-angular,3000,84.851,5983.66,59.7504,59.6617
glove-200-angular,3500,85.039,6722.25,67.1363,67.0481
glove-200-angular,4000,85.157,7435.6,74.2698,74.1955
glove-200-angular,6000,85.562,10036.7,100.281,100.213
glove-200-angular,10000,85.913,14600.7,145.921,145.879
glove-200-angular,15000,86.125,19662.6,196.54,196.516
instructorxl-arxiv-768,10,73.92,340.427,0.226426,0.191096
instructorxl-arxiv-768,20,86.21,436.462,0.322461,0.306365
instructorxl-arxiv-768,30,90.68,541.273,0.427272,0.402934
instructorxl-arxiv-768,40,93.55,586.144,0.472143,0.471259
instructorxl-arxiv-768,50,95.1,687.778,0.573777,0.552514
instructorxl-arxiv-768,60,96.04,748.404,0.634403,0.636705
instructorxl-arxiv-768,70,96.63,792.109,0.678108,0.704469
instructorxl-arxiv-768,80,97.09,901.175,0.787174,0.780819
instructorxl-arxiv-768,90,97.55,945.737,0.831736,0.845402
instructorxl-arxiv-768,100,97.71,1023.16,0.909158,0.914569
instructorxl-arxiv-768,110,98.07,1050.68,0.93668,0.985793
instructorxl-arxiv-768,120,98.33,1153.72,1.03972,1.04765
instructorxl-arxiv-768,130,98.42,1197.19,1.08319,1.06091
instructorxl-arxiv-768,140,98.57,1238.95,1.12495,1.16488
instructorxl-arxiv-768,150,98.65,1279.04,1.16504,1.18244
instructorxl-arxiv-768,160,98.72,1347.87,1.23386,1.2571
instructorxl-arxiv-768,170,98.82,1383.73,1.26973,1.31038
instructorxl-arxiv-768,180,98.88,1437.33,1.32333,1.34845
instructorxl-arxiv-768,190,98.93,1506.73,1.39273,1.42901
instructorxl-arxiv-768,200,98.97,1535.91,1.4219,1.47046
instructorxl-arxiv-768,240,99.2,1758.72,1.64472,1.68557
instructorxl-arxiv-768,280,99.37,1949.69,1.83568,1.84883
instructorxl-arxiv-768,320,99.49,2128.8,2.0148,2.06332
instructorxl-arxiv-768,360,99.56,2400.12,2.28612,2.37773
msong-420,10,72.85,148.375,0.113723,0.0956756
msong-420,20,79.37,193.546,0.158894,0.141161
msong-420,30,82.48,232.983,0.198331,0.180582
msong-420,40,84.71,268.196,0.233544,0.215644
msong-420,50,86.22,303.491,0.268839,0.257146
msong-420,60,87.19,331.302,0.29665,0.278393
msong-420,70,88.18,359.564,0.324912,0.318128
msong-420,80,89.07,393.619,0.358967,0.348132
msong-420,90,89.73,417.407,0.382755,0.375881
msong-420,100,90.42,441.599,0.406947,0.403979
msong-420,110,90.88,476.511,0.441859,0.430858
msong-420,120,91.54,499.526,0.464874,0.457713
msong-420,130,91.96,524.838,0.490186,0.483099
msong-420,140,92.36,556.353,0.521701,0.518379
msong-420,150,92.69,576.635,0.541983,0.530719
msong-420,160,92.92,599.989,0.565337,0.554031
msong-420,170,93.19,615.695,0.581043,0.585587
msong-420,180,93.41,644.326,0.609674,0.598341
msong-420,190,93.66,667.927,0.633275,0.62978
msong-420,200,93.91,686.306,0.651654,0.644112
msong-420,240,95.03,781.856,0.747204,0.743583
msong-420,280,95.61,863.955,0.829303,0.825549
msong-420,320,96.2,945.536,0.910884,0.907011
msong-420,360,96.51,1017.79,0.983133,0.983138
msong-420,400,96.72,1093.61,1.05895,1.063
msong-420,500,97.26,1264.88,1.23023,1.23805
msong-420,600,97.91,1437.48,1.40283,1.40653
msong-420,700,98.18,1597.59,1.56293,1.57453
msong-420,800,98.37,1747.55,1.7129,1.72437
msong-420,900,98.52,1897.18,1.86253,1.87404
msong-420,1000,98.78,2038.13,2.00347,2.02293
msong-420,1100,98.93,2176.87,2.14222,2.16165
msong-420,1200,99.08,2305.55,2.2709,2.29826
msong-420,1300,99.13,2426.36,2.39171,2.41506
msong-420,1400,99.3,2559.76,2.52511,2.55248
msong-420,1500,99.39,2681.67,2.64702,2.68219
msong-420,2000,99.71,3269.9,3.23525,3.27064
openai-1536-angular,10,74.83,696.22,0.254529,0.209749
openai-1536-angular,20,86.78,796.328,0.354637,0.330844
openai-1536-angular,30,91.01,876.779,0.435088,0.4073
openai-1536-angular,40,93.69,927.375,0.485684,0.493282
openai-1536-angular,50,94.64,1012.95,0.571262,0.570577
openai-1536-angular,60,95.54,1120.74,0.679051,0.649661
openai-1536-angular,70,96.11,1158.63,0.716939,0.711397
openai-1536-angular,80,96.6,1219.62,0.777931,0.784098
openai-1536-angular,90,96.87,1270.48,0.828793,0.854054
openai-1536-angular,100,97.12,1439.62,0.997932,0.999963
openai-1536-angular,110,97.34,1533.41,1.09172,1.14504
openai-1536-angular,120,97.46,1526.39,1.08469,1.22608
openai-1536-angular,130,97.67,1643.49,1.20179,1.27593
openai-1536-angular,140,97.76,1634.26,1.19257,1.34121
openai-1536-angular,150,97.91,1707.43,1.26574,1.43575
openai-1536-angular,160,98.03,1684.37,1.24268,1.27672
openai-1536-angular,170,98.19,1719.46,1.27777,1.30795
openai-1536-angular,180,98.24,1812.88,1.37119,1.3537
openai-1536-angular,190,98.37,1841.84,1.40015,1.40534
openai-1536-angular,200,98.43,1881.72,1.44003,1.46736
openai-1536-angular,240,98.66,2060.9,1.61921,1.65795
openai-1536-angular,280,98.82,2279.02,1.83733,1.80018
openai-1536-angular,320,98.89,2447.84,2.00615,1.98112
openai-1536-angular,360,98.94,2636.0,2.19431,2.16115
openai-1536-angular,400,99.02,2810.31,2.36861,2.34358
openai-1536-angular,500,99.12,3529.12,3.08743,3.04206
openai-1536-angular,600,99.27,3671.47,3.22978,3.19234
openai-1536-angular,700,99.32,4098.19,3.6565,3.61859
openai-1536-angular,800,99.39,4473.24,4.03154,4.08881
openai-1536-angular,900,99.41,4877.22,4.43552,4.47238
openai-1536-angular,1000,99.44,5308.37,4.86668,4.88411
openai-1536-angular,1100,99.47,5600.9,5.15921,5.12924
openai-1536-angular,1200,99.49,6272.53,5.83083,5.83487
openai-1536-angular,1300,99.51,6477.66,6.03597,6.35522
sift-128-euclidean,10,71.333,78.3416,0.74438,0.621274
sift-128-euclidean,20,83.917,119.768,1.15865,1.02756
sift-128-euclidean,30,89.106,156.582,1.52679,1.39722
sift-128-euclidean,40,91.973,185.759,1.81855,1.69498
sift-128-euclidean,50,93.755,213.813,2.09909,1.9883
sift-128-euclidean,60,94.981,240.503,2.36599,2.25409
sift-128-euclidean,70,95.813,265.959,2.62055,2.50735
sift-128-euclidean,80,96.47,290.459,2.86555,2.75548
sift-128-euclidean,90,97.029,314.721,3.10817,2.99708
sift-128-euclidean,100,97.398,337.52,3.33617,3.22796
sift-128-euclidean,110,97.77,361.687,3.57784,3.46841
sift-128-euclidean,120,98.036,383.977,3.80074,3.69447
sift-128-euclidean,130,98.262,404.989,4.01086,3.9156
sift-128-euclidean,140,98.426,426.734,4.2283,4.13601
sift-128-euclidean,150,98.567,449.556,4.45653,4.35116
sift-128-euclidean,160,98.706,471.691,4.67787,4.57557
sift-128-euclidean,170,98.829,492.442,4.88538,4.78104
sift-128-euclidean,180,98.936,513.658,5.09754,5.00157
sift-128-euclidean,190,99.027,534.477,5.30573,5.20499
sift-128-euclidean,200,99.095,555.333,5.51429,5.42446
sift-128-euclidean,240,99.359,638.545,6.34641,6.25434
sift-128-euclidean,280,99.478,717.354,7.1345,7.04683
sift-128-euclidean,320,99.585,794.856,7.90952,7.82637
