dataset,efsearch,recall,per_query_us,total_time,distance_time
gist-960-euclidean,1100,98.96,5344.39,5.16884,5.14672
gist-960-euclidean,1200,99.11,5687.57,5.51202,5.47803
gist-960-euclidean,1300,99.15,6007.64,5.83209,5.80999
gist-960-euclidean,1400,99.26,6313.18,6.13763,6.11565
gist-960-euclidean,1500,99.32,6628.74,6.4532,6.43137
gist-960-euclidean,2000,99.5,8096.36,7.92081,7.91521
glove-200-angular,10,34.921,100.319,0.912601,0.807238
glove-200-angular,20,46.112,163.243,1.54184,1.54582
glove-200-angular,30,52.623,207.026,1.97967,2.27873
glove-200-angular,40,57.095,243.464,2.34405,2.24722
glove-200-angular,50,60.187,281.192,2.72133,2.62706
glove-200-angular,60,62.657,326.528,3.1747,3.04483
glove-200-angular,70,64.551,365.277,3.56218,3.43296
glove-200-angular,80,66.171,405.169,3.9611,3.82885
glove-200-angular,90,67.418,443.881,4.34823,4.21742
glove-200-angular,100,68.541,481.953,4.72895,4.58493
glove-200-angular,110,69.573,521.084,5.12025,4.97306
glove-200-angular,120,70.451,557.44,5.48381,5.34506
glove-200-angular,130,71.14,594.782,5.85723,5.70952
glove-200-angular,140,71.787,630.727,6.21669,6.07207
glove-200-angular,150,72.455,667.159,6.581,6.43969
glove-200-angular,160,73.02,704.627,6.95569,6.81371
glove-200-angular,170,73.567,738.154,7.29096,7.15662
glove-200-angular,180,74.065,777.005,7.67946,7.52417
glove-200-angular,190,74.51,809.852,8.00793,7.87227
glove-200-angular,200,74.918,845.811,8.36752,8.21951
glove-200-angular,240,76.265,984.326,9.75267,9.59573
glove-200-angular,280,77.263,1114.37,11.0531,10.915
glove-200-angular,320,78.005,1247.57,12.3851,12.2422
glove-200-angular,360,78.712,1374.41,13.6535,13.5139
glove-200-angular,400,79.247,1499.81,14.9076,14.7512
glove-200-angular,500,80.31,1805.31,17.9626,17.8095
glove-200-angular,600,81.048,2094.07,20.8502,20.7124
glove-200-angular,700,81.62,2373.47,23.6442,23.5104
glove-200-angular,800,82.082,2649.23,26.4017,26.2439
glove-200-angular,900,82.45,2920.25,29.1119,28.9616
glove-200-angular,1000,82.775,3181.04,31.7198,31.5714
glove-200-angular,1100,82.99,3434.13,34.2508,34.0981
glove-200-angular,1200,83.213,3676.04,36.6698,36.505
glove-200-angular,1300,83.386,3909.9,39.0084,38.8639
glove-200-angular,1400,83.522,4147.35,41.3829,41.2308
glove-200-angular,1500,83.667,4364.07,43.5501,43.4165
glove-200-angular,2000,84.277,5449.78,54.4072,54.2544
glove-200-angular,2500,84.603,6429.13,64.2007,64.0611
glove-200-angular,3000,84.851,7348.88,73.3982,73.2523
glove-200-angular,3500,85.039,8225.2,82.1614,82.0129
glove-200-angular,4000,85.157,9057.8,90.4875,90.3521
glove-200-angular,6000,85.562,12090.0,120.81,120.69
glove-200-angular,10000,85.913,17329.7,173.207,173.129
glove-200-angular,15000,86.125,22961.7,229.527,229.447
instructorxl-arxiv-768,10,73.92,376.334,0.262336,0.231114
instructorxl-arxiv-768,20,86.21,473.817,0.359819,0.331752
instructorxl-arxiv-768,30,90.68,558.231,0.444233,0.424532
instructorxl-arxiv-768,40,93.55,635.574,0.521576,0.516905
instructorxl-arxiv-768,50,95.1,701.018,0.58702,0.590764
instructorxl-arxiv-768,60,96.04,789.238,0.67524,0.670812
instructorxl-arxiv-768,70,96.63,852.88,0.738882,0.734807
instructorxl-arxiv-768,80,97.09,907.276,0.793278,0.782146
instructorxl-arxiv-768,90,97.55,980.833,0.866835,0.855765
instructorxl-arxiv-768,100,97.71,1058.1,0.944099,0.920634
instructorxl-arxiv-768,110,98.07,1139.79,1.02579,0.994975
instructorxl-arxiv-768,120,98.33,1298.77,1.18477,1.15239
instructorxl-arxiv-768,130,98.42,1388.34,1.27434,1.2471
instructorxl-arxiv-768,140,98.57,1474.05,1.36006,1.51033
instructorxl-arxiv-768,150,98.65,1479.92,1.36593,1.37579
instructorxl-arxiv-768,160,98.72,1526.27,1.41228,1.45839
instructorxl-arxiv-768,170,98.82,1628.43,1.51443,1.51261
instructorxl-arxiv-768,180,98.88,1732.31,1.61831,1.59662
instructorxl-arxiv-768,190,98.93,1741.53,1.62753,1.63448
instructorxl-arxiv-768,200,98.97,1797.26,1.68326,1.66063
instructorxl-arxiv-768,240,99.2,2035.98,1.92199,1.99366
instructorxl-arxiv-768,280,99.37,2298.48,2.18448,2.2356
instructorxl-arxiv-768,320,99.49,2528.83,2.41484,2.43802
instructorxl-arxiv-768,360,99.56,2739.83,2.62583,2.6926
msong-420,10,72.85,199.455,0.163879,0.144012
msong-420,20,79.37,274.11,0.238534,0.216247
