dataset,efsearch,recall,per_query_us,total_time,distance_time
instructorxl-arxiv-768,120,99.23,20045.1,19.931,16.7799
instructorxl-arxiv-768,130,99.32,21317.4,21.2033,18.0492
instructorxl-arxiv-768,140,99.39,22501.2,22.3871,19.2218
instructorxl-arxiv-768,150,99.46,23733.5,23.6194,20.417
instructorxl-arxiv-768,160,99.5,24930.1,24.816,21.6136
msong-420,5,82.69,1695.02,1.65942,0.59239
msong-420,10,93.03,2199.09,2.16349,1.07704
msong-420,20,97.86,3119.94,3.08434,2.04458
msong-420,30,98.97,4019.83,3.98423,2.93946
msong-420,40,99.53,4890.99,4.85539,3.81397
openai-1536-angular,5,74.82,5871.77,5.39574,1.57699
openai-1536-angular,10,81.84,6364.15,5.88813,2.54939
openai-1536-angular,20,87.13,7182.34,6.70632,2.5691
openai-1536-angular,30,89.73,8160.46,7.68443,3.49249
openai-1536-angular,40,91.73,9110.1,8.63407,4.43239
openai-1536-angular,50,93.12,10041.0,9.56493,5.36221
openai-1536-angular,60,94.03,10935.9,10.4599,6.25034
openai-1536-angular,70,94.77,11823.1,11.3471,7.15272
openai-1536-angular,80,95.28,12666.0,12.1899,7.95737
openai-1536-angular,90,95.71,13514.5,13.0385,8.80038
openai-1536-angular,100,96.13,14342.6,13.8665,9.63425
openai-1536-angular,110,96.45,15168.2,14.6922,10.4621
openai-1536-angular,120,96.66,15995.8,15.5198,11.2899
openai-1536-angular,130,96.85,16799.2,16.3231,12.0684
openai-1536-angular,140,97.1,17609.2,17.1332,12.8898
openai-1536-angular,150,97.21,18416.3,17.9402,13.6917
openai-1536-angular,160,97.41,19188.4,18.7123,14.4627
openai-1536-angular,170,97.53,19974.8,19.4988,15.2375
openai-1536-angular,180,97.67,20576.6,20.1006,15.8153
openai-1536-angular,190,97.83,21407.5,20.9315,16.6466
openai-1536-angular,200,97.97,22182.2,21.7062,17.409
openai-1536-angular,240,98.33,25186.7,24.7107,20.3894
openai-1536-angular,280,98.58,28140.9,27.6648,23.3398
openai-1536-angular,320,98.8,31016.5,30.5405,26.1692
openai-1536-angular,360,98.99,33894.6,33.4185,29.0383
openai-1536-angular,400,99.16,36811.4,36.3353,31.9156
openai-1536-angular,500,99.4,43844.5,43.3684,38.8846
openai-1536-angular,600,99.52,50824.7,50.3487,45.778
sift-128-euclidean,5,67.895,489.208,4.85119,2.21567
sift-128-euclidean,10,81.597,670.618,6.66528,4.01533
sift-128-euclidean,5,67.895,482.23,4.78052,2.22221
sift-128-euclidean,10,81.597,676.588,6.7241,4.04243
sift-128-euclidean,20,91.292,1034.6,10.3042,7.47627
sift-128-euclidean,30,94.993,1349.54,13.4536,10.6284
sift-128-euclidean,40,96.841,1680.89,16.7671,14.264
sift-128-euclidean,50,97.881,1958.91,19.5474,16.6161
sift-128-euclidean,60,98.502,2262.46,22.5828,19.5821
sift-128-euclidean,70,98.975,2568.87,25.6469,22.546
sift-128-euclidean,80,99.247,2868.96,28.6478,25.4559
sift-128-euclidean,90,99.427,3167.2,31.6302,28.371
sift-128-euclidean,100,99.577,3464.05,34.5987,31.2478
