dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,10,59.49,384.186,246267808
contriever-768,20,74.34,480.125,335388672
contriever-768,30,80.26,561.084,407393344
contriever-768,40,83.51,636.856,466042528
contriever-768,50,84.88,719.948,521549376
contriever-768,60,86.68,781.36,576736480
contriever-768,70,87.87,846.672,630267776
contriever-768,80,88.7,906.996,680952896
contriever-768,100,89.47,1047.99,780068640
contriever-768,200,91.97,1687.04,1248827264
contriever-768,300,92.78,2303.06,1683260672
contriever-768,400,93.26,2905.67,2095096480
contriever-768,500,93.73,3479.42,2482971648
contriever-768,600,93.96,4059.37,2851731328
contriever-768,700,94.12,4606.36,3204127552
contriever-768,800,94.28,5173.95,3542760480
deep-image-96-angular,10,57.85,100.743,34188240
deep-image-96-angular,20,70.91,137.857,48736128
deep-image-96-angular,30,77.72,177.872,61627080
deep-image-96-angular,40,82.02,212.557,73795824
deep-image-96-angular,50,84.83,249.864,85604016
deep-image-96-angular,60,86.72,285.685,96712800
deep-image-96-angular,70,88.26,315.565,107623632
deep-image-96-angular,80,89.35,348.552,118317744
deep-image-96-angular,100,91.12,446.382,139064304
deep-image-96-angular,200,94.43,755.354,233507904
deep-image-96-angular,300,95.48,1051.46,317623656
deep-image-96-angular,400,95.91,1352.67,395255568
deep-image-96-angular,500,96.16,1613.71,468092400
deep-image-96-angular,600,96.28,1907.08,537078504
deep-image-96-angular,700,96.4,2176.13,603065472
deep-image-96-angular,800,96.46,2434.31,666586344
gist-960-euclidean,50,74.17,577.743,171150720
gist-960-euclidean,100,85.06,734.469,236309664
gist-960-euclidean,150,89.45,887.449,290444896
gist-960-euclidean,200,92.1,998.902,338764960
gist-960-euclidean,250,93.6,1137.5,383131488
gist-960-euclidean,300,94.66,1255.34,423889280
gist-960-euclidean,350,95.38,1368.96,462005888
gist-960-euclidean,400,95.93,1511.92,498310208
gist-960-euclidean,500,96.6,1741.34,565459968
gist-960-euclidean,600,97.22,1948.39,627324896
gist-960-euclidean,700,97.53,2148.11,685113248
gist-960-euclidean,800,97.75,2868.87,739472352
glove-200-angular,500,83.71,1649.18,1517496880
glove-200-angular,1000,86.17,3174.21,2655790240
glove-200-angular,1500,87.33,4790.02,3626577368
glove-200-angular,2000,87.98,6247.15,4477683176
glove-200-angular,2500,88.41,7754.65,5241939224
glove-200-angular,3000,88.67,9088.28,5937846600
glove-200-angular,3500,88.96,10435.8,6576910296
glove-200-angular,4000,89.12,11615.0,7171915160
glove-200-angular,5000,89.38,14329.6,8251366176
glove-200-angular,6000,89.62,16192.1,9215541120
glove-200-angular,7000,89.83,18323.1,10090124088
glove-200-angular,8000,90.02,20634.8,10891346376
glove-50-angular,50,78.9,219.538,59367768
glove-50-angular,100,85.8,368.855,100168716
glove-50-angular,150,89.19,519.077,139465924
glove-50-angular,200,91.08,659.037,177350614
glove-50-angular,250,92.47,815.309,214133900
glove-50-angular,300,93.6,946.33,249941472
glove-50-angular,350,94.51,1104.45,285205048
glove-50-angular,400,95.07,1220.27,319868866
glove-50-angular,500,95.9,1488.46,387254680
glove-50-angular,600,96.45,1752.4,452865194
glove-50-angular,700,96.93,2020.09,517164860
glove-50-angular,800,97.23,2268.61,579975828
instructorxl-arxiv-768,10,73.1,321.328,115204096
instructorxl-arxiv-768,20,84.22,375.801,143033344
instructorxl-arxiv-768,30,88.67,417.592,166164416
instructorxl-arxiv-768,40,91.29,458.316,187974976
instructorxl-arxiv-768,50,93.19,498.27,208966176
instructorxl-arxiv-768,60,94.32,539.344,228926208
instructorxl-arxiv-768,70,95.19,577.669,248403488
instructorxl-arxiv-768,80,95.73,610.379,267291456
instructorxl-arxiv-768,100,96.7,797.998,304433568
instructorxl-arxiv-768,200,98.37,1060.03,471043840
instructorxl-arxiv-768,300,98.8,1370.52,619345696
instructorxl-arxiv-768,400,98.96,1680.75,755797792
instructorxl-arxiv-768,500,99.09,1964.59,884131360
instructorxl-arxiv-768,600,99.19,2260.32,1005125600
instructorxl-arxiv-768,700,99.22,2532.39,1121195040
instructorxl-arxiv-768,800,99.24,2804.79,1232328704
msong-420,10,74.4,140.656,51242920
msong-420,20,86.58,169.522,67050272
msong-420,30,90.9,198.149,80048788
msong-420,40,93.21,223.711,92137080
msong-420,50,94.68,288.642,103499720
msong-420,60,95.62,355.072,114020492
msong-420,70,96.08,391.126,123953440
msong-420,80,96.54,371.887,133522708
msong-420,100,97.13,347.868,151741212
msong-420,200,98.05,526.419,227732140
msong-420,300,98.27,690.307,290325496
msong-420,400,98.3,839.542,345044060
msong-420,500,98.3,984.586,394528004
msong-420,600,98.31,1115.22,440377656
msong-420,700,98.32,1254.2,483148668
msong-420,800,98.32,1366.92,523459704
nytimes-16-angular,5,76.57,33.8943,5649156
nytimes-16-angular,10,76.57,29.1903,5649156
nytimes-16-angular,15,83.8,35.7613,7061708
nytimes-16-angular,20,87.69,40.1066,8391636
nytimes-16-angular,25,90.96,52.6523,9756260
nytimes-16-angular,30,92.93,59.3533,11088404
nytimes-16-angular,35,94.33,68.5863,12409508
nytimes-16-angular,40,95.38,76.3336,13712536
nytimes-16-angular,50,96.9,103.004,16283032
nytimes-16-angular,100,99.13,169.12,28880492
nytimes-16-angular,150,99.51,247.877,40687324
