dataset,k,ef,tri_ef,time,min_time,recall
instructorxl-arxiv-768,10,10,9,0.0320644000000000,0.0142170000000000,0.9968000054359436
instructorxl-arxiv-768,10,10,8,0.0170442000000000,0.0126170000000000,0.9968000054359436
instructorxl-arxiv-768,10,10,7,0.0218504000000000,0.0198440000000000,0.9968000054359436
instructorxl-arxiv-768,10,10,6,0.0142832000000000,0.0123130000000000,0.9969000220298767
instructorxl-arxiv-768,10,10,5,0.0124282000000000,0.0123930000000000,0.9969000220298767
instructorxl-arxiv-768,10,10,4,0.0125386000000000,0.0124030000000000,0.9969000220298767
instructorxl-arxiv-768,10,10,3,0.0126842000000000,0.0124070000000000,0.9969000220298767
instructorxl-arxiv-768,10,10,2,0.0125624000000000,0.0123630000000000,0.9969000220298767
instructorxl-arxiv-768,10,10,1,0.0124370000000000,0.0124210000000000,0.9969000220298767
instructorxl-arxiv-768,10,10,0,0.0166564000000000,0.0120320000000000,0.9968000054359436
instructorxl-arxiv-768,10,11,10,0.0134808000000000,0.0130270000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,9,0.0148698000000000,0.0130680000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,8,0.0134190000000000,0.0130530000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,7,0.0179160000000000,0.0131790000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,6,0.0132136000000000,0.0130520000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,5,0.0133398000000000,0.0130780000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,4,0.0130972000000000,0.0130640000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,3,0.0137232000000000,0.0130690000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,2,0.0131066000000000,0.0130680000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,1,0.0134932000000000,0.0132770000000000,0.9973000288009644
instructorxl-arxiv-768,10,11,0,0.0182836000000000,0.0130850000000000,0.9973000288009644
instructorxl-arxiv-768,10,12,11,0.0140806000000000,0.0139060000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,10,0.0140178000000000,0.0139510000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,9,0.0140420000000000,0.0139730000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,8,0.0139724000000000,0.0139360000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,7,0.0143876000000000,0.0140870000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,6,0.0149034000000000,0.0140950000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,5,0.0141730000000000,0.0140050000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,4,0.0150700000000000,0.0141990000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,3,0.0144752000000000,0.0140770000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,2,0.0149498000000000,0.0139810000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,1,0.0141672000000000,0.0140820000000000,0.9977999925613403
instructorxl-arxiv-768,10,12,0,0.0138814000000000,0.0137560000000000,0.9977999925613403
instructorxl-arxiv-768,10,13,12,0.0149478000000000,0.0148000000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,11,0.0149164000000000,0.0148130000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,10,0.0149406000000000,0.0148330000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,9,0.0160006000000000,0.0148350000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,8,0.0147488000000000,0.0142990000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,7,0.0159002000000000,0.0144870000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,6,0.0149150000000000,0.0148960000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,5,0.0148728000000000,0.0147910000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,4,0.0148596000000000,0.0147960000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,3,0.0170826000000000,0.0145260000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,2,0.0149362000000000,0.0146770000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,1,0.0148922000000000,0.0147760000000000,0.9979000091552734
instructorxl-arxiv-768,10,13,0,0.0145060000000000,0.0143940000000000,0.9979000091552734
instructorxl-arxiv-768,10,14,13,0.0157080000000000,0.0156080000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,12,0.0155986000000000,0.0155510000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,11,0.0156102000000000,0.0155620000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,10,0.0157138000000000,0.0156370000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,9,0.0157142000000000,0.0156050000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,8,0.0157558000000000,0.0156190000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,7,0.0156232000000000,0.0155190000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,6,0.0156640000000000,0.0155610000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,5,0.0156250000000000,0.0155090000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,4,0.0158490000000000,0.0155700000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,3,0.0161118000000000,0.0155240000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,2,0.0155938000000000,0.0154470000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,1,0.0169200000000000,0.0153280000000000,0.9981999993324280
instructorxl-arxiv-768,10,14,0,0.0165750000000000,0.0151170000000000,0.9981999993324280
instructorxl-arxiv-768,10,15,14,0.0167914000000000,0.0160580000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,13,0.0164996000000000,0.0163000000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,12,0.0163414000000000,0.0163010000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,11,0.0164260000000000,0.0163020000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,10,0.0164284000000000,0.0162530000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,9,0.0162906000000000,0.0162250000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,8,0.0197554000000000,0.0162460000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,7,0.0175884000000000,0.0157770000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,6,0.0159456000000000,0.0157420000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,5,0.0196124000000000,0.0159940000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,4,0.0164094000000000,0.0162330000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,3,0.0165586000000000,0.0162690000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,2,0.0164432000000000,0.0162210000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,1,0.0243256000000000,0.0196750000000000,0.9983000159263611
instructorxl-arxiv-768,10,15,0,0.0242872000000000,0.0194930000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,15,0.0198810000000000,0.0165510000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,14,0.0169350000000000,0.0167010000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,13,0.0189634000000000,0.0165740000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,12,0.0170568000000000,0.0169630000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,11,0.0170598000000000,0.0169990000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,10,0.0171718000000000,0.0168900000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,9,0.0170946000000000,0.0169780000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,8,0.0170634000000000,0.0169590000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,7,0.0170238000000000,0.0169030000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,6,0.0170184000000000,0.0169540000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,5,0.0170068000000000,0.0169310000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,4,0.0170586000000000,0.0169430000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,3,0.0173332000000000,0.0169190000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,2,0.0170410000000000,0.0169170000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,1,0.0170466000000000,0.0170270000000000,0.9983000159263611
instructorxl-arxiv-768,10,16,0,0.0165670000000000,0.0164960000000000,0.9983000159263611
instructorxl-arxiv-768,10,17,16,0.0177400000000000,0.0176130000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,15,0.0175978000000000,0.0175380000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,14,0.0211164000000000,0.0172810000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,13,0.0197100000000000,0.0172230000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,12,0.0178554000000000,0.0172460000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,11,0.0175104000000000,0.0174490000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,10,0.0175866000000000,0.0174670000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,9,0.0175112000000000,0.0174040000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,8,0.0174826000000000,0.0174420000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,7,0.0174898000000000,0.0174460000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,6,0.0175658000000000,0.0174720000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,5,0.0196468000000000,0.0174910000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,4,0.0174522000000000,0.0171900000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,3,0.0177508000000000,0.0174460000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,2,0.0177158000000000,0.0174240000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,1,0.0177902000000000,0.0173960000000000,0.9986000061035156
instructorxl-arxiv-768,10,17,0,0.0171908000000000,0.0168880000000000,0.9986000061035156
instructorxl-arxiv-768,10,18,17,0.0185338000000000,0.0180460000000000,0.9986000061035156
instructorxl-arxiv-768,10,18,16,0.0185334000000000,0.0180900000000000,0.9986000061035156
instructorxl-arxiv-768,10,18,15,0.0192010000000000,0.0179180000000000,0.9986000061035156
instructorxl-arxiv-768,10,18,14,0.0180132000000000,0.0175550000000000,0.9986000061035156
instructorxl-arxiv-768,10,18,13,0.0182270000000000,0.0181190000000000,0.9986000061035156
instructorxl-arxiv-768,10,18,12,0.0187244000000000,0.0181030000000000,0.9986000061035156
instructorxl-arxiv-768,10,18,11,0.0186696000000000,0.0180440000000000,0.9986000061035156
instructorxl-arxiv-768,10,18,10,0.0187556000000000,0.0176760000000000,0.9986000061035156
instructorxl-arxiv-768,10,18,9,0.0184630000000000,0.0180550000000000,0.9986000061035156
