dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,10,63.47,795.254,275007744
contriever-768,20,76.71,1192.87,437804544
contriever-768,30,82.9,1534.45,582239232
contriever-768,40,86.8,1877.0,715785984
contriever-768,50,88.14,2193.71,842857728
contriever-768,60,89.7,2522.67,974424576
contriever-768,70,90.48,2823.65,1099666176
contriever-768,80,91.12,3160.77,1231683072
deep-image-96-angular,10,60.05,148.469,30863808
deep-image-96-angular,20,73.84,207.487,50425440
deep-image-96-angular,30,80.71,266.156,68445888
deep-image-96-angular,40,85.38,321.274,86260512
deep-image-96-angular,50,87.93,381.798,103135008
deep-image-96-angular,60,90.06,441.95,120087168
deep-image-96-angular,70,91.59,496.677,136554144
deep-image-96-angular,80,92.61,569.517,152983104
deep-image-96-angular,100,94.4,714.638,185299488
deep-image-96-angular,200,97.66,1247.84,336332640
deep-image-96-angular,300,98.7,1756.8,475519968
deep-image-96-angular,400,99.21,2251.72,607808832
deep-image-96-angular,500,99.45,2762.25,734170272
deep-image-96-angular,600,99.59,3222.38,856437120
deep-image-96-angular,700,99.66,3704.16,974680416
deep-image-96-angular,800,99.72,4141.0,1089814560
gist-960-euclidean,50,74.66,2997.55,1128029760
gist-960-euclidean,100,85.5,5198.73,2007155520
gist-960-euclidean,150,90.28,7292.87,2846116800
gist-960-euclidean,200,92.8,9299.88,3647982720
gist-960-euclidean,250,94.26,11236.0,4418547840
gist-960-euclidean,300,95.54,13087.7,5160324480
gist-960-euclidean,350,96.35,14893.0,5875866240
gist-960-euclidean,400,96.84,16650.1,6573876480
gist-960-euclidean,500,97.59,20405.8,7923891840
gist-960-euclidean,600,98.16,23713.6,9210972480
gist-960-euclidean,700,98.41,26933.1,10451288640
gist-960-euclidean,800,98.64,29981.3,11649829440
glove-200-angular,500,83.93,4327.3,2073927400
glove-200-angular,1000,86.35,8849.28,3925304400
glove-200-angular,1500,87.6,13466.2,5634125800
glove-200-angular,2000,88.28,18083.8,7212601400
glove-200-angular,2500,88.7,23692.1,8681741800
glove-200-angular,3000,88.96,26977.7,10056453200
glove-200-angular,3500,89.19,30953.9,11346735600
glove-200-angular,4000,89.44,34388.5,12560631600
glove-200-angular,5000,89.65,41947.7,14802224800
glove-200-angular,6000,89.83,48448.1,16830565200
glove-200-angular,7000,90.07,54472.0,18691789400
glove-200-angular,8000,90.19,60169.9,20416076800
glove-50-angular,50,78.8,208.715,56070200
glove-50-angular,100,86.19,361.973,98933850
glove-50-angular,150,89.61,505.477,140094550
