dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,10,63.96,618.219,161772832
contriever-768,20,77.39,775.085,225845696
contriever-768,30,83.4,911.813,273835776
contriever-768,40,86.96,1043.4,316939456
contriever-768,50,88.76,1151.09,354611200
contriever-768,60,89.89,1243.76,390099744
contriever-768,70,91.33,1346.25,424909088
contriever-768,80,92.44,1444.91,458945056
deep-image-96-angular,10,59.42,150.539,38429616
deep-image-96-angular,20,70.63,225.641,57645456
deep-image-96-angular,30,76.3,279.886,74742696
deep-image-96-angular,40,80.05,333.184,90332976
deep-image-96-angular,50,82.85,383.95,105207408
deep-image-96-angular,60,84.95,432.758,118904808
deep-image-96-angular,70,86.48,477.209,131884656
deep-image-96-angular,80,87.6,516.389,144003384
deep-image-96-angular,100,89.57,632.008,168789120
deep-image-96-angular,200,94.04,1001.3,276383856
deep-image-96-angular,300,96.08,1372.95,371913672
deep-image-96-angular,400,97.3,1681.54,461126904
deep-image-96-angular,500,97.82,1985.44,542584656
deep-image-96-angular,600,98.29,2307.51,621808560
deep-image-96-angular,700,98.52,2577.8,697125552
deep-image-96-angular,800,98.76,2885.44,771830592
gist-960-euclidean,50,75.24,1312.83,329758912
gist-960-euclidean,100,85.81,1813.93,496577696
gist-960-euclidean,150,89.81,2240.3,646458112
gist-960-euclidean,200,92.64,2670.66,785583680
gist-960-euclidean,250,94.12,3033.05,915500288
gist-960-euclidean,300,95.34,3437.12,1038462368
gist-960-euclidean,350,96.1,3782.47,1156031552
gist-960-euclidean,400,96.75,4130.19,1267682528
gist-960-euclidean,500,97.6,4872.69,1479704768
gist-960-euclidean,600,98.01,5496.15,1677934688
gist-960-euclidean,700,98.41,6097.07,1865079776
gist-960-euclidean,800,98.56,6662.03,2043367744
glove-200-angular,500,83.49,2535.92,1322583960
glove-200-angular,1000,86.3,4713.77,2261753160
glove-200-angular,1500,87.47,6787.98,3050758424
glove-200-angular,2000,88.24,8734.36,3743344872
glove-200-angular,2500,88.64,11700.9,4363439544
glove-200-angular,3000,88.81,12320.4,4923886384
glove-200-angular,3500,89.09,14084.9,5436933944
glove-200-angular,4000,89.25,15485.7,5905587792
glove-200-angular,5000,89.52,18382.5,6753736928
glove-200-angular,6000,89.71,20983.8,7503621280
glove-200-angular,7000,89.83,23351.9,8174517944
glove-200-angular,8000,89.89,25613.6,8783785168
glove-50-angular,50,60.25,308.358,81073620
glove-50-angular,100,0.0,344.062,100954524
glove-50-angular,150,61.86,741.0,192781738
glove-50-angular,200,0.0,629.976,179834616
glove-50-angular,250,62.63,1142.91,292695536
glove-50-angular,300,0.0,930.05,256752480
glove-50-angular,350,63.5,1514.16,389199132
glove-50-angular,400,0.0,1219.97,331043784
glove-50-angular,500,0.0,1516.52,409390800
glove-50-angular,600,0.0,1806.53,480596940
glove-50-angular,700,0.0,2099.31,553745484
glove-50-angular,800,0.0,2369.05,620712324
instructorxl-arxiv-768,10,55.15,491.04,83989600
instructorxl-arxiv-768,20,85.42,654.567,137962784
instructorxl-arxiv-768,30,89.47,717.825,159598848
instructorxl-arxiv-768,40,92.13,791.447,180077152
instructorxl-arxiv-768,50,94.04,854.121,199948896
instructorxl-arxiv-768,60,95.05,916.306,218974784
instructorxl-arxiv-768,70,95.58,967.74,236673824
instructorxl-arxiv-768,80,96.14,1035.67,254267872
instructorxl-arxiv-768,100,97.22,1169.47,289000320
instructorxl-arxiv-768,200,98.71,1716.67,446818688
instructorxl-arxiv-768,300,99.16,2184.41,588714560
instructorxl-arxiv-768,400,99.38,2639.4,720342848
instructorxl-arxiv-768,500,99.51,3073.51,844844064
instructorxl-arxiv-768,600,99.57,3495.66,962915168
instructorxl-arxiv-768,700,99.63,3891.23,1076482368
instructorxl-arxiv-768,800,99.68,4281.83,1185893184
msong-420,10,74.37,247.958,64371112
msong-420,20,87.96,312.128,89073324
msong-420,30,92.35,363.772,108986748
msong-420,40,94.7,426.795,127608688
msong-420,50,96.02,469.407,145211940
msong-420,60,96.93,518.335,162071144
msong-420,70,97.58,558.985,178294588
msong-420,80,98.07,602.383,193899112
msong-420,100,98.76,696.652,224528524
msong-420,200,99.58,1066.23,358917776
msong-420,300,99.85,1409.81,476326688
msong-420,400,99.86,1717.34,583215396
msong-420,500,99.87,2000.36,683020232
msong-420,600,99.87,2294.24,776837416
msong-420,700,99.87,2546.03,866798472
msong-420,800,99.87,2819.57,953291944
nytimes-16-angular,5,76.36,85.8315,6905320
nytimes-16-angular,10,76.36,78.9825,6905320
nytimes-16-angular,15,81.65,103.91,8793228
nytimes-16-angular,20,82.95,128.542,10808380
nytimes-16-angular,25,83.95,150.248,12697832
nytimes-16-angular,30,84.17,172.525,14541716
nytimes-16-angular,35,84.37,194.149,16329632
nytimes-16-angular,40,84.46,211.817,17987016
nytimes-16-angular,50,84.85,257.49,21297664
nytimes-16-angular,100,85.17,439.795,36662308
nytimes-16-angular,150,85.4,618.907,51152240
