dataset,efsearch,recall,per_query_us,dimensionality
contriever-768,10,59.49,786.701,246267744
contriever-768,20,74.34,1006.71,335388576
contriever-768,30,80.26,1214.37,407393120
contriever-768,40,83.51,1372.25,466042368
contriever-768,50,84.88,1525.16,521549120
contriever-768,60,86.68,1681.05,576736192
contriever-768,70,87.87,1829.74,630274112
contriever-768,80,88.7,1972.46,680952512
deep-image-96-angular,10,57.85,142.191,34188216
deep-image-96-angular,20,70.91,204.694,48736104
deep-image-96-angular,30,77.72,260.789,61627056
deep-image-96-angular,40,82.02,317.116,73795824
deep-image-96-angular,50,84.83,366.095,85604016
deep-image-96-angular,60,86.72,416.126,96712800
deep-image-96-angular,70,88.26,474.514,107623608
deep-image-96-angular,80,89.35,517.424,118317720
deep-image-96-angular,100,91.12,637.315,139064280
deep-image-96-angular,200,94.43,1082.45,233509344
deep-image-96-angular,300,95.48,1525.61,317626104
deep-image-96-angular,400,95.91,1925.82,395255664
deep-image-96-angular,500,96.16,2317.22,468091752
deep-image-96-angular,600,96.28,2699.02,537079248
deep-image-96-angular,700,96.4,3062.4,603065448
deep-image-96-angular,800,96.46,3402.69,666586680
gist-960-euclidean,50,74.17,958.879,171152544
gist-960-euclidean,100,85.06,1229.1,236310816
gist-960-euclidean,150,89.45,1474.81,290444288
gist-960-euclidean,200,92.1,1713.45,338763328
gist-960-euclidean,250,93.6,1922.42,383134592
gist-960-euclidean,300,94.66,2118.25,423895008
gist-960-euclidean,350,95.38,2316.43,462005152
gist-960-euclidean,400,95.93,2494.32,498311104
gist-960-euclidean,500,96.6,2881.08,565461216
gist-960-euclidean,600,97.22,3213.97,627327072
gist-960-euclidean,700,97.53,3528.68,685116544
gist-960-euclidean,800,97.75,3817.3,739473504
glove-200-angular,500,83.71,3259.31,1517498520
glove-200-angular,1000,86.17,6337.51,2655789664
glove-200-angular,1500,87.33,9439.96,3626577688
glove-200-angular,2000,87.98,12456.1,4477683240
glove-200-angular,2500,88.41,15203.9,5241944248
glove-200-angular,3000,88.67,17923.0,5937840328
glove-200-angular,3500,88.96,20475.9,6576911568
glove-200-angular,4000,89.12,22891.0,7171918016
glove-200-angular,5000,89.38,27546.4,8251361240
glove-200-angular,6000,89.62,31673.9,9215544800
glove-200-angular,7000,89.83,35483.2,10090126744
glove-200-angular,8000,90.02,39022.8,10891349128
glove-50-angular,50,78.9,233.863,59367768
glove-50-angular,100,85.8,395.55,100168718
glove-50-angular,150,89.19,562.959,139465926
glove-50-angular,200,91.08,712.581,177350990
glove-50-angular,250,92.47,866.932,214133906
glove-50-angular,300,93.6,1014.41,249940254
glove-50-angular,350,94.51,1157.04,285205054
glove-50-angular,400,95.07,1315.06,319868872
glove-50-angular,500,95.9,1599.16,387254246
glove-50-angular,600,96.45,1891.06,452865448
glove-50-angular,700,96.93,2165.29,517165874
glove-50-angular,800,97.23,2445.77,579976746
instructorxl-arxiv-768,10,73.1,593.592,115201472
instructorxl-arxiv-768,20,84.22,693.164,143030656
instructorxl-arxiv-768,30,88.67,775.727,166161792
instructorxl-arxiv-768,40,91.29,856.683,187974464
instructorxl-arxiv-768,50,93.19,938.255,208963584
instructorxl-arxiv-768,60,94.32,1017.52,228923456
instructorxl-arxiv-768,70,95.19,1089.98,248401056
instructorxl-arxiv-768,80,95.73,1175.67,267287936
instructorxl-arxiv-768,100,96.7,1336.29,304431008
instructorxl-arxiv-768,200,98.37,2023.52,471043072
instructorxl-arxiv-768,300,98.8,2654.57,619341248
instructorxl-arxiv-768,400,98.96,3240.51,755797536
instructorxl-arxiv-768,500,99.09,3812.84,884130144
instructorxl-arxiv-768,600,99.19,4362.74,1005120800
instructorxl-arxiv-768,700,99.22,4875.75,1121193664
instructorxl-arxiv-768,800,99.24,5386.98,1232327008
msong-420,10,74.39,245.781,51243524
msong-420,20,86.58,297.139,67058240
msong-420,30,90.86,347.973,80037572
msong-420,40,93.2,393.704,92136596
msong-420,50,94.67,440.761,103502372
msong-420,60,95.61,473.959,114022280
msong-420,70,96.07,514.676,123955004
msong-420,80,96.53,555.061,133525552
msong-420,100,97.11,644.334,151735064
msong-420,200,98.04,945.873,227735432
msong-420,300,98.26,1216.65,290328276
msong-420,400,98.29,1455.82,345043608
msong-420,500,98.29,1702.08,394530592
msong-420,600,98.3,1896.86,440380084
msong-420,700,98.31,2110.78,483152344
msong-420,800,98.31,2303.08,523463032
nytimes-16-angular,5,76.48,29.4369,5642204
nytimes-16-angular,10,76.48,24.6039,5642204
nytimes-16-angular,15,83.71,31.3379,7056420
nytimes-16-angular,20,87.6,38.2689,8387372
nytimes-16-angular,25,90.87,45.1969,9752716
nytimes-16-angular,30,92.84,52.3029,11085068
nytimes-16-angular,35,94.24,59.2069,12406668
nytimes-16-angular,40,95.29,66.5289,13710588
nytimes-16-angular,50,96.81,85.2896,16281292
nytimes-16-angular,100,99.04,147.832,28879856
nytimes-16-angular,150,99.42,212.354,40688304
nytimes-16-angular,200,99.47,271.104,51864108
nytimes-16-angular,250,99.7,333.642,62719896
nytimes-16-angular,300,99.71,396.186,73136696
nytimes-16-angular,350,99.72,458.669,83245544
nytimes-16-angular,400,99.72,525.477,92995080
openai-1536-angular,10,76.17,1450.88,213732448
openai-1536-angular,20,86.3,1576.55,256615264
openai-1536-angular,30,90.19,1684.46,289389760
openai-1536-angular,40,92.55,1783.66,319018880
openai-1536-angular,50,93.7,1884.4,346630816
openai-1536-angular,60,94.53,1983.41,372951328
openai-1536-angular,70,95.19,2064.7,398412960
openai-1536-angular,80,95.9,2151.65,423315040
openai-1536-angular,100,96.62,2349.25,470169088
openai-1536-angular,200,98.19,3121.49,680122944
openai-1536-angular,300,98.5,3810.33,865422656
openai-1536-angular,400,98.72,4469.86,1036502656
openai-1536-angular,500,98.84,5096.14,1197047680
openai-1536-angular,600,98.91,5689.03,1349666912
openai-1536-angular,700,98.94,6265.2,1495546208
openai-1536-angular,800,98.98,6833.71,1636616704
sift-128-euclidean,5,76.39,160.826,27760608
sift-128-euclidean,10,76.39,149.531,27760608
sift-128-euclidean,15,83.63,181.975,33414272
sift-128-euclidean,20,87.45,252.787,38364000
sift-128-euclidean,25,90.01,222.212,43112672
sift-128-euclidean,30,91.72,250.491,47527264
sift-128-euclidean,35,93.23,280.984,51978688
sift-128-euclidean,40,94.28,267.477,56342144
sift-128-euclidean,100,98.55,424.088,102643904
sift-128-euclidean,200,99.57,701.153,165611584
sift-128-euclidean,300,99.75,950.906,219205920
sift-128-euclidean,400,99.81,1184.49,267027296
sift-128-euclidean,500,99.84,1407.53,310645184
sift-128-euclidean,600,99.85,1600.68,351290944
sift-128-euclidean,700,99.86,1800.08,389611712
sift-128-euclidean,800,99.87,1998.63,425987968
