dataset,efsearch,recall,per_query_us,pruing_rate
contriever-768,5,85.21,3690.04,1.54383
contriever-768,10,91.36,4845.58,2.69519
contriever-768,20,94.81,6955.3,4.84231
contriever-768,30,96.37,8914.14,6.84
contriever-768,40,97.04,10790.5,8.72804
contriever-768,50,97.49,12597.1,10.5444
contriever-768,60,97.89,15087.7,14.9678
contriever-768,70,98.07,16376.2,14.0784
contriever-768,80,98.32,18207.4,15.9077
contriever-768,90,98.43,19926.8,17.5973
contriever-768,100,98.61,21691.0,19.3458
contriever-768,110,98.68,23513.2,21.1506
contriever-768,120,98.78,25171.4,22.7919
contriever-768,130,98.86,26923.1,24.5135
contriever-768,140,98.95,28571.7,26.1485
contriever-768,150,99.04,30531.2,28.102
contriever-768,160,99.12,32703.6,30.2391
contriever-768,170,99.2,34117.5,31.6499
contriever-768,180,99.3,35339.8,32.8651
contriever-768,190,99.32,37364.4,34.8668
contriever-768,200,99.38,38865.1,36.3416
contriever-768,240,99.53,45649.0,43.0534
deep-image-96-angular,5,64.5,1341.1,0.327875
deep-image-96-angular,10,77.03,1620.86,0.608297
deep-image-96-angular,20,87.17,2102.15,1.08972
deep-image-96-angular,30,91.8,2557.16,1.55786
deep-image-96-angular,40,94.06,2971.82,1.95298
deep-image-96-angular,50,95.38,3383.02,2.34893
deep-image-96-angular,60,96.17,3881.66,2.82266
deep-image-96-angular,70,96.81,4278.92,3.1855
deep-image-96-angular,80,97.4,4657.81,3.5612
deep-image-96-angular,90,97.74,5034.92,3.93338
deep-image-96-angular,100,98.13,5414.62,4.29121
deep-image-96-angular,110,98.38,5775.25,4.64135
deep-image-96-angular,120,98.52,6141.92,4.9839
deep-image-96-angular,130,98.69,6495.1,5.32997
deep-image-96-angular,140,98.8,6842.19,5.66343
deep-image-96-angular,150,98.87,7189.76,5.98417
deep-image-96-angular,160,99.07,7411.34,6.20251
deep-image-96-angular,170,99.2,7580.69,6.35911
deep-image-96-angular,180,99.24,7933.06,6.69867
deep-image-96-angular,190,99.27,8245.46,6.98133
deep-image-96-angular,200,99.32,8577.67,7.31091
deep-image-96-angular,240,99.53,9800.71,8.4798
deep-image-96-angular,5,64.5,1414.6,0.442702
deep-image-96-angular,10,77.03,1779.89,1.50899
deep-image-96-angular,20,87.17,2218.24,1.58141
deep-image-96-angular,30,91.8,2542.39,1.66718
deep-image-96-angular,40,94.06,2956.11,2.00993
deep-image-96-angular,50,95.38,3366.6,2.34607
deep-image-96-angular,60,96.17,3752.42,2.7086
deep-image-96-angular,70,96.81,4140.26,3.085
deep-image-96-angular,80,97.4,4522.19,3.42106
deep-image-96-angular,90,97.74,4888.62,3.78055
deep-image-96-angular,100,98.13,5229.5,4.12043
deep-image-96-angular,110,98.38,5587.23,4.45737
deep-image-96-angular,120,98.52,5935.42,4.77919
deep-image-96-angular,130,98.69,6277.94,5.10924
deep-image-96-angular,140,98.8,6607.62,5.43622
deep-image-96-angular,150,98.87,6948.7,5.75665
deep-image-96-angular,160,99.07,7269.43,6.06583
deep-image-96-angular,170,99.2,7591.3,6.36815
deep-image-96-angular,180,99.24,7929.44,6.69518
deep-image-96-angular,190,99.27,8228.66,6.98658
deep-image-96-angular,200,99.32,8541.07,7.27231
deep-image-96-angular,240,99.53,9784.12,8.45814
gist-960-euclidean,5,50.5,4013.06,1.17058
gist-960-euclidean,10,65.66,4906.75,2.12168
gist-960-euclidean,20,79.09,6442.65,3.63012
gist-960-euclidean,30,86.01,7826.7,5.06207
gist-960-euclidean,40,90.11,9133.31,6.37451
gist-960-euclidean,50,92.29,10331.3,7.5499
gist-960-euclidean,60,94.08,11496.9,8.75402
gist-960-euclidean,70,95.21,13400.8,13.1213
gist-960-euclidean,80,96.11,13992.4,11.1013
gist-960-euclidean,90,96.8,14860.0,11.9079
gist-960-euclidean,100,97.23,15868.0,12.9282
gist-960-euclidean,110,97.67,16833.6,13.8698
gist-960-euclidean,120,97.97,17798.3,14.83
gist-960-euclidean,130,98.19,18773.0,15.801
gist-960-euclidean,140,98.37,19643.5,16.6397
gist-960-euclidean,150,98.57,20525.6,17.5229
gist-960-euclidean,160,98.69,21699.4,18.6679
gist-960-euclidean,170,98.82,22197.9,19.1727
gist-960-euclidean,180,98.94,23092.5,20.0448
gist-960-euclidean,190,99.05,24096.1,21.0434
gist-960-euclidean,200,99.2,24682.2,21.6112
gist-960-euclidean,240,99.42,27814.7,24.6809
gist-960-euclidean,280,99.56,30516.7,27.3769
glove-200-angular,5,38.84,2490.06,2.03503
glove-200-angular,10,49.31,4343.72,3.88318
glove-200-angular,20,62.92,7876.66,7.42077
glove-200-angular,5,38.84,2490.88,2.03571
glove-200-angular,10,49.31,4333.96,3.87756
glove-200-angular,20,62.92,7884.71,7.42414
glove-200-angular,30,71.49,11252.5,10.7828
glove-200-angular,40,78.07,14524.7,14.0479
glove-200-angular,50,82.71,17714.3,17.237
glove-200-angular,60,86.05,20773.3,20.2634
glove-200-angular,70,89.0,23669.5,22.9791
glove-200-angular,80,91.01,26689.3,25.9212
glove-200-angular,90,92.8,29298.6,28.4903
glove-200-angular,100,94.36,31988.7,31.1398
glove-200-angular,110,95.95,34738.9,33.8367
glove-200-angular,120,96.97,37589.4,36.6376
glove-200-angular,130,97.95,39829.1,38.8498
glove-200-angular,140,98.46,42086.8,41.0819
glove-200-angular,150,98.94,44342.2,43.2763
glove-200-angular,160,99.29,46569.9,45.4906
glove-200-angular,170,99.5,48697.9,47.561
instructorxl-arxiv-768,5,76.75,4300.14,1.08558
instructorxl-arxiv-768,10,85.6,4994.02,1.79458
instructorxl-arxiv-768,20,91.77,6264.04,3.08494
instructorxl-arxiv-768,30,94.43,7398.94,4.23253
instructorxl-arxiv-768,40,95.88,8458.56,5.27404
instructorxl-arxiv-768,50,96.71,9413.47,6.27107
instructorxl-arxiv-768,60,97.43,10247.9,7.1069
instructorxl-arxiv-768,70,97.84,11339.9,8.2305
instructorxl-arxiv-768,80,98.29,12279.0,9.13761
instructorxl-arxiv-768,90,98.62,14394.4,15.7634
instructorxl-arxiv-768,100,98.85,14064.0,10.8812
instructorxl-arxiv-768,110,98.97,14925.8,11.6266
instructorxl-arxiv-768,120,99.12,15782.1,12.4716
instructorxl-arxiv-768,130,99.19,16600.6,13.2905
instructorxl-arxiv-768,140,99.27,17432.0,14.0718
instructorxl-arxiv-768,150,99.35,18233.5,14.8714
instructorxl-arxiv-768,160,99.38,19025.8,15.63
instructorxl-arxiv-768,170,99.42,19802.2,16.4356
instructorxl-arxiv-768,180,99.49,20591.6,17.1908
instructorxl-arxiv-768,190,99.56,21348.6,17.9326
msong-420,5,81.35,1597.67,0.536447
msong-420,10,92.12,1980.35,0.914061
msong-420,20,97.48,2565.57,1.53479
msong-420,30,98.81,3075.68,2.00766
msong-420,40,99.25,3513.71,2.47972
msong-420,50,99.45,3929.34,2.87001
msong-420,60,99.61,4319.89,3.2442
openai-1536-angular,5,74.65,6000.8,1.00972
openai-1536-angular,10,81.14,6749.83,1.83879
openai-1536-angular,20,86.75,8167.66,6.62882
openai-1536-angular,30,89.45,8648.34,3.77661
openai-1536-angular,40,91.52,9591.39,4.61497
openai-1536-angular,50,92.66,10488.2,5.51267
openai-1536-angular,60,93.62,11351.1,6.35699
openai-1536-angular,70,94.31,12179.2,7.16664
openai-1536-angular,80,94.89,13012.4,7.98585
openai-1536-angular,90,95.25,13830.3,8.80698
openai-1536-angular,100,95.55,14612.6,9.58748
openai-1536-angular,5,74.65,6016.87,1.04803
openai-1536-angular,10,81.14,6628.33,1.65946
openai-1536-angular,20,86.75,7652.29,2.68285
openai-1536-angular,30,89.45,8606.74,3.63488
openai-1536-angular,40,91.52,9505.49,4.53392
openai-1536-angular,50,92.66,10377.0,5.42872
openai-1536-angular,60,93.62,11227.7,6.28326
openai-1536-angular,70,94.31,12043.3,7.0839
openai-1536-angular,80,94.89,12839.4,7.83283
openai-1536-angular,90,95.25,13634.7,8.64164
openai-1536-angular,100,95.55,14418.3,9.42077
openai-1536-angular,110,95.9,15191.6,10.1654
openai-1536-angular,120,96.27,15944.5,10.9385
openai-1536-angular,130,96.48,16700.6,11.6775
openai-1536-angular,140,96.7,17446.3,12.4222
openai-1536-angular,150,96.98,18159.9,13.1135
openai-1536-angular,160,97.3,18901.3,13.8651
openai-1536-angular,170,97.46,19631.6,14.5768
openai-1536-angular,180,97.6,20346.6,15.2681
openai-1536-angular,190,97.73,21048.2,15.9631
openai-1536-angular,200,97.91,21744.6,16.6716
openai-1536-angular,240,98.32,24541.5,19.3946
openai-1536-angular,280,98.65,27238.9,22.0639
openai-1536-angular,320,98.86,29879.2,24.6939
openai-1536-angular,360,98.99,32492.4,27.2591
openai-1536-angular,400,99.17,35047.1,29.8036
openai-1536-angular,500,99.39,41236.2,35.8982
openai-1536-angular,600,99.53,47326.0,41.9246
sift-128-euclidean,5,68.82,447.336,0.223923
sift-128-euclidean,10,82.22,626.893,0.398271
sift-128-euclidean,20,92.08,940.857,0.708123
sift-128-euclidean,30,95.54,1230.34,0.986184
sift-128-euclidean,40,97.37,1496.31,1.24488
sift-128-euclidean,50,98.23,1747.59,1.49518
sift-128-euclidean,60,98.72,1995.24,1.73579
sift-128-euclidean,70,99.14,2227.67,1.95197
sift-128-euclidean,80,99.4,2454.59,2.18033
sift-128-euclidean,90,99.56,2677.95,2.39339
sift-128-euclidean,5,68.82,446.904,0.222227
