
10	11394.2	0.60454	
20	8375.64	0.73944	
30	6757.58	0.80692	
40	5762.46	0.84643	
50	5006.05	0.87188	
60	4470	0.89146	
70	4032.94	0.90467	
80	3703.36	0.91507	
90	3422.76	0.92283	
100	3185.25	0.92947	
110	2974.89	0.93479	
120	2805.74	0.93936	
130	2643.61	0.9432	
140	2511	0.94647	
150	2393.8	0.94926	
160	2280.96	0.95191	
170	2185.76	0.95388	
180	2095.64	0.95569	
190	2018.54	0.95749	
200	1941.99	0.959	
240	1686.35	0.96348	
280	1485.09	0.96632	
320	1186.65	0.96841	
360	1199.4	0.96989	
400	1104.14	0.97098	
500	915.995	0.97302	
600	783.563	0.97442	
700	683.165	0.97515	
800	605.877	0.97567	
900	543.263	0.97602	
1000	492.014	0.97634	
1100	446.691	0.97654	
1200	410.474	0.97673	
1300	377.362	0.97694	
1400	354.739	0.97713	
1500	331.156	0.97728	
2000	246.58	0.97783	
2500	196.34	0.97816	
3000	160.878	0.97832	
3500	135.128	0.97842	
4000	118.206	0.97858	
